#{"t_start": 1604383187.5723753, "env_id": "SlimeVolley-v0"}
r,l,t
-5,562,2.570997
-5,458,3.088997
-4,785,4.051996
-5,626,4.827997
-5,634,5.613997
-5,497,6.238998
-5,693,11.879997
-5,560,12.589996
-5,620,13.364997
-5,642,14.161997
-5,483,14.774998
-5,555,15.519998
-5,801,16.669997
-5,730,21.908506
-5,484,22.831094
-5,432,23.462093
-5,555,24.229095
-5,649,25.376785
-5,524,26.305742
-5,614,27.184741
-5,514,32.669704
-5,447,33.269774
-5,534,33.979739
-5,478,35.215206
-5,650,37.248565
-5,527,38.320142
-5,649,39.494143
-5,461,40.408181
-5,538,46.107274
-5,568,46.787376
-5,543,47.452776
-5,559,48.234423
-5,548,49.054446
-5,450,49.679513
-5,540,50.372457
-5,566,51.054506
-4,717,56.176391
-4,528,56.861388
-5,789,57.880725
-5,777,58.813364
-5,578,59.5085
-5,563,60.243933
-5,494,64.864519
-5,407,65.379699
-5,749,66.398849
-5,453,66.982384
-5,462,67.557636
-5,689,68.426723
-5,489,69.032234
-5,564,74.001335
-5,782,75.181705
-5,873,76.417138
-5,631,77.247523
-5,618,77.991324
-5,672,78.84658
-5,597,84.615686
-5,618,85.420685
-5,757,86.612349
-5,548,87.359514
-5,479,88.000403
-5,852,89.224469
-5,763,94.895726
-5,514,95.517019
-5,540,96.186644
-5,454,96.87009
-5,480,97.539513
-5,449,98.166103
-5,456,98.803617
-5,735,99.752494
-5,643,104.69745
-5,646,105.508679
-5,691,106.435576
-5,706,107.462796
-5,375,107.980948
-5,472,108.613179
-5,572,109.368516
-5,468,114.199755
-5,417,114.720491
-5,447,115.291066
-5,571,116.025544
-5,566,116.760544
-5,568,117.540398
-5,413,118.168918
-5,694,119.215499
-5,707,124.719485
-5,620,125.497066
-5,578,126.231492
-5,653,127.053394
-5,430,127.577401
-5,785,128.64245
-5,781,134.111373
-5,837,135.176991
-5,713,136.09244
-4,722,137.040428
-4,544,137.769373
-5,542,138.448444
-5,535,139.163219
-5,597,144.35506
-5,564,145.07881
-5,452,145.640063
-5,564,146.340541
-5,428,146.872333
-5,620,147.669589
-5,642,148.503643
-5,658,153.402544
-5,693,154.265497
-4,1011,155.544543
-5,400,156.076497
-5,620,156.872641
-5,775,157.809633
-5,536,162.557677
-4,695,163.528895
-5,749,164.679812
-5,462,165.316343
-5,459,165.97998
-5,560,166.838444
-5,622,167.858916
-5,572,174.892656
-5,525,176.64816
-5,500,178.434731
-4,595,179.315428
-5,619,180.16939
-5,676,181.090609
-5,574,181.914598
-5,459,186.890963
-5,793,188.219541
-5,600,189.167106
-5,751,190.32514
-5,719,191.418138
-5,491,192.133142
-5,458,192.823138
-5,530,197.968479
-5,669,198.841079
-5,549,199.552358
-4,617,200.392507
-5,556,201.124392
-5,491,201.951344
-5,471,203.51096
-5,517,209.127898
-5,551,209.839675
-5,652,210.72125
-5,581,211.450907
-4,715,212.384496
-5,394,212.921213
-5,532,213.63073
-4,791,218.757471
-5,696,219.615423
-5,568,220.364646
-5,656,221.223515
-5,564,221.935032
-4,651,222.728547
-5,509,223.350493
-5,555,228.278104
-5,578,229.036403
-5,678,229.89153
-5,431,230.433467
-5,778,231.462574
-5,599,232.303849
-5,1300,239.102068
-5,527,239.81171
-5,610,240.639274
-5,835,241.837592
-5,742,242.796349
-4,815,248.087346
-5,1005,249.397409
-5,705,251.319429
-5,567,252.081307
-5,585,252.867126
-5,850,253.988461
-5,909,255.199398
-4,627,256.041703
-5,489,256.684676
-5,625,257.475529
-5,929,258.649031
-5,503,259.308101
-4,617,260.123584
-5,629,260.982395
-5,581,261.712211
-5,562,262.412393
-5,510,263.050595
-5,755,264.013785
-5,407,264.564523
-5,533,265.320465
-5,816,266.493369
-5,532,267.209972
-4,593,267.968902
-5,947,269.182532
-5,615,270.005248
-5,491,270.622312
-5,709,271.528529
-5,611,272.320322
-5,626,273.148492
-5,527,273.808381
-5,582,274.5375
-4,991,275.78457
-5,512,276.44457
-5,425,276.993501
-5,603,277.766255
-5,405,278.280998
-5,647,279.096351
-5,487,279.706191
-5,795,280.702999
-3,900,281.825401
-5,513,282.471859
-5,750,283.41062
-4,671,284.254581
-5,549,284.96607
-5,673,285.971245
-5,479,286.631244
-5,958,287.902385
-5,615,288.681413
-3,767,289.693121
-5,710,290.705122
-5,535,291.425103
-5,713,292.34831
-4,864,293.485445
-5,768,294.538434
-5,499,295.226623
-5,663,296.20859
-5,605,296.99394
-5,521,297.747821
-5,883,299.051338
-5,575,299.78357
-5,689,300.704735
-5,460,301.31034
-5,582,302.08449
-5,556,302.84673
-4,598,303.695349
-5,447,304.332304
-5,629,305.188294
-5,577,306.045327
-5,661,306.968843
-5,494,307.664531
-5,619,308.510449
-5,549,309.262857
-5,449,309.881503
-5,554,310.65172
-5,492,311.313461
-4,798,312.339615
-5,533,313.082589
-5,473,313.765786
-5,479,314.516472
-5,575,315.399751
-5,767,316.668674
-5,689,317.632695
-5,764,319.052002
-5,496,319.921141
-5,493,320.566848
-5,731,321.691453
-5,546,322.522619
-5,746,324.154585
-5,517,325.181847
-5,531,326.015534
-5,636,327.124835
-5,553,327.854465
-4,663,328.861243
-5,481,329.513765
-5,522,330.325605
-4,767,331.967687
-5,581,333.309124
-5,498,334.277375
-5,733,335.822897
-5,741,337.587577
-5,649,338.606884
-5,517,339.690145
-5,524,340.646593
-5,582,341.506581
-5,594,342.442627
-5,958,350.537686
-5,788,352.044767
-5,644,353.365376
-5,865,355.009352
-5,981,356.867888
-5,966,365.006117
-5,644,366.240605
-5,746,367.531082
-5,783,369.16259
-5,450,370.167697
-5,569,371.789717
-4,743,380.588795
-5,762,382.037562
-5,744,383.604665
-5,486,384.631182
-5,788,386.279654
-5,690,387.565447
-5,1041,396.386664
-5,509,397.378183
-5,862,398.979548
-5,629,399.979436
-3,823,401.40782
-4,650,408.109836
-5,714,409.267459
-5,501,409.958698
-5,479,410.600096
-5,526,411.291285
-5,625,412.06487
-5,545,412.878162
-5,527,413.80362
-5,580,421.823041
-5,533,422.969575
-5,474,423.984097
-5,547,425.2026
-5,592,426.919644
-4,670,428.108542
-5,422,428.710491
-5,600,436.272167
-5,533,437.302791
-5,651,438.410998
-5,577,439.503021
-5,583,440.388487
-5,594,441.200706
-5,632,441.993543
-5,549,446.853311
-4,545,447.592592
-5,480,448.225677
-5,552,448.922431
-4,778,449.910472
-5,814,450.939298
-5,529,451.561505
-5,438,456.181274
-5,509,456.80763
-4,700,457.681504
-5,403,458.253094
-5,701,459.487494
-5,447,460.367434
-5,657,461.60628
-5,414,462.599278
-5,742,469.980598
-5,659,471.304117
-5,595,472.440616
-4,764,473.808143
-5,434,474.56914
-4,485,475.483535
-5,812,491.343329
-5,738,492.752885
-5,704,494.561898
-4,572,496.037727
