EpRewMean,loss_pol_entpen,EpThisIter,loss_ent,TimestepsSoFar,EpisodesSoFar,EpLenMean,ev_tdlam_before,loss_vf_loss,loss_kl,TimeElapsed,loss_pol_surr
-5.0,0.0,7,2.0740757,4096,7,555.4285714285714,-0.05475425720214844,0.014275958,0.0053531737,7.54748272895813,-0.0077647828
-5.0,0.0,7,2.063149,8192,14,568.3571428571429,0.6748729944229126,0.015355832,0.008123223,14.482995986938477,-0.00880381
-5.0,0.0,8,2.0704682,12288,22,553.3181818181819,0.8167069554328918,0.012879929,0.0053417035,21.434396028518677,-0.006945271
-4.928571428571429,0.0,6,2.0619261,16384,28,574.7857142857143,0.7524239718914032,0.01972238,0.008200501,28.398402214050293,-0.007040952
-4.885714285714286,0.0,7,2.0396338,20480,35,577.4285714285714,0.7503783255815506,0.022914506,0.010175016,35.42447566986084,-0.008478374
-4.857142857142857,0.0,7,2.016779,24576,42,581.5714285714286,0.760502353310585,0.024015779,0.006638304,42.35573983192444,-0.0070871813
-4.88,0.0,8,2.0136006,28672,50,573.2,0.8394187390804291,0.014972785,0.0036999222,49.295878171920776,-0.005757971
-4.879310344827586,0.0,8,2.0228395,32768,58,564.3965517241379,0.8219402432441711,0.01725901,0.006023203,56.3167667388916,-0.006503933
-4.84375,0.0,6,2.0251753,36864,64,570.5,0.7617853134870529,0.020996524,0.004235819,63.28478527069092,-0.007865926
-4.857142857142857,0.0,6,2.005677,40960,70,574.5285714285715,0.8217785656452179,0.015547803,0.00608427,70.25059723854065,-0.00658157
-4.8311688311688314,0.0,7,1.9983788,45056,77,581.4805194805194,0.7814896553754807,0.016962236,0.005912462,77.27080535888672,-0.006277902
-4.833333333333333,0.0,7,2.003198,49152,84,584.9166666666666,0.8106472939252853,0.017359462,0.006558868,84.29578685760498,-0.008536309
-4.820224719101123,0.0,5,2.0132892,53248,89,591.943820224719,0.7991101443767548,0.017725803,0.006362031,91.2719783782959,-0.0065992237
-4.810526315789474,0.0,6,2.021308,57344,95,597.8421052631579,0.7549244165420532,0.022161806,0.0059612086,98.23246359825134,-0.0068640527
-4.81,0.0,7,2.013287,61440,102,598.46,0.7945589274168015,0.017256344,0.00702128,105.21058678627014,-0.006607322
-4.81,0.0,7,2.0144064,65536,109,598.55,0.8332506418228149,0.013834158,0.0070897993,112.21692991256714,-0.007870083
-4.78,0.0,6,1.9908746,69632,115,607.87,0.7680100351572037,0.020194357,0.0074104588,119.466144323349,-0.008796446
-4.77,0.0,7,1.981108,73728,122,613.37,0.7857811003923416,0.020037446,0.006390327,126.43626189231873,-0.0073762843
-4.76,0.0,7,1.9673766,77824,129,610.66,0.7831559181213379,0.021977622,0.007242359,133.422833442688,-0.0069810827
-4.74,0.0,6,1.9543592,81920,135,615.01,0.7379669547080994,0.020136237,0.008582807,140.41734981536865,-0.011558702
-4.75,0.0,7,1.9387665,86016,142,613.84,0.8372665792703629,0.013700073,0.0069017606,147.43177676200867,-0.004299475
-4.75,0.0,7,1.9090167,90112,149,613.14,0.8205577880144119,0.01550053,0.00830825,154.75927782058716,-0.008860723
-4.75,0.0,6,1.90719,94208,155,623.12,0.8133342564105988,0.01638346,0.006398102,162.25136399269104,-0.0046599004
-4.76,0.0,7,1.845762,98304,162,624.68,0.7905322164297104,0.016324611,0.008341475,169.71860146522522,-0.006513344
-4.73,0.0,6,1.8184161,102400,168,632.73,0.7736179083585739,0.019077202,0.0066855373,807.0675444602966,-0.0074373083
-4.75,0.0,6,1.8179387,106496,174,633.78,0.8408600389957428,0.013216069,0.006562385,814.2456333637238,-0.008142907
-4.73,0.0,6,1.8330771,110592,180,634.78,0.7676709443330765,0.021078717,0.00863863,821.8054032325745,-0.009409741
-4.74,0.0,6,1.7960445,114688,186,635.77,0.7720647603273392,0.016260155,0.007609591,828.9517998695374,-0.006776397
