EpisodesSoFar,loss_vf_loss,EpLenMean,EpThisIter,loss_kl,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,TimeElapsed,ev_tdlam_before,loss_ent,EpRewMean
6,0.020814426,623.0,6,0.011278717,-0.006778977,0.0,4096,7.729818344116211,0.14030110836029053,2.0682802,-4.833333333333333
13,0.015403164,614.0,7,0.005798513,-0.006889334,0.0,8192,14.841677904129028,0.6645702123641968,2.0708826,-4.923076923076923
20,0.019045563,599.55,7,0.009371603,-0.007836015,0.0,12288,22.045249223709106,0.7428549230098724,2.0571392,-4.9
27,0.016554717,590.5555555555555,7,0.004643775,-0.0066248355,0.0,16384,29.45917248725891,0.8156514763832092,2.0508826,-4.888888888888889
35,0.016761567,579.0571428571428,8,0.007583919,-0.006099265,0.0,20480,36.859506607055664,0.8262270987033844,2.0368705,-4.885714285714286
43,0.014545888,570.7906976744187,8,0.0073013734,-0.007536553,0.0,24576,44.11269545555115,0.834856316447258,2.0402758,-4.906976744186046
49,0.01919361,576.2857142857143,6,0.004954884,-0.0041243187,0.0,28672,51.17380094528198,0.7437912225723267,2.024047,-4.8979591836734695
56,0.017355924,576.4821428571429,7,0.004548068,-0.004986516,0.0,32768,58.52259039878845,0.7654590904712677,2.0393176,-4.892857142857143
64,0.016801514,573.28125,8,0.006245492,-0.009709671,0.0,36864,65.95272469520569,0.783802255988121,2.036114,-4.890625
71,0.014029844,571.5492957746479,7,0.0051686573,-0.0060764095,0.0,40960,73.37621736526489,0.816214069724083,2.0321884,-4.901408450704225
78,0.015501443,573.1282051282051,7,0.0076660803,-0.00926229,0.0,45056,80.80506587028503,0.8152995407581329,2.008872,-4.897435897435898
85,0.016338244,569.4588235294118,7,0.00513793,-0.007279108,0.0,49152,88.23516988754272,0.7696829438209534,2.0165913,-4.905882352941177
92,0.01670709,574.0108695652174,7,0.004836612,-0.0060726106,0.0,53248,95.67094588279724,0.7898373007774353,2.0216973,-4.891304347826087
98,0.014613151,578.204081632653,6,0.0056827003,-0.0066028945,0.0,57344,103.11619019508362,0.8062831312417984,2.020815,-4.8979591836734695
104,0.014702681,584.57,6,0.0065746806,-0.008200796,0.0,61440,110.54840111732483,0.7981412708759308,2.01474,-4.89
110,0.01478353,588.58,6,0.0054170354,-0.008880789,0.0,65536,117.94657707214355,0.7919349521398544,2.0056899,-4.88
118,0.012768457,586.61,8,0.0062997956,-0.0075548775,0.0,69632,125.0147659778595,0.7961425334215164,2.024209,-4.89
124,0.017502489,590.83,6,0.0073090554,-0.007638209,0.0,73728,132.2503538131714,0.7871239185333252,2.0250847,-4.89
131,0.014785363,595.03,7,0.005655553,-0.007586878,0.0,77824,139.68205404281616,0.8093133270740509,2.0212812,-4.89
139,0.015510869,591.44,8,0.008346761,-0.008426828,0.0,81920,146.94013214111328,0.787359431385994,2.0176404,-4.9
146,0.013911534,595.97,7,0.0049074055,-0.0046118987,0.0,86016,154.07795190811157,0.8180874437093735,2.0041664,-4.9
152,0.0133565795,594.51,6,0.00616555,-0.0073552183,0.0,90112,161.46098375320435,0.8200250864028931,1.9836227,-4.92
159,0.017256765,600.26,7,0.006109628,-0.0063815005,0.0,94208,168.52762627601624,0.7846668511629105,1.9864846,-4.92
165,0.013721925,606.13,6,0.0068017603,-0.008626471,0.0,98304,175.6736741065979,0.8144351840019226,1.9864106,-4.92
171,0.012744216,617.91,6,0.008669076,-0.00654104,0.0,102400,259.1477198600769,0.8338424116373062,1.9525883,-4.92
176,0.014445369,626.44,5,0.0077359085,-0.00864229,0.0,106496,266.2284300327301,0.8019155710935593,1.9401504,-4.91
181,0.016866228,634.8,5,0.008278686,-0.008039216,0.0,110592,273.3746190071106,0.8060518801212311,1.9146942,-4.9
187,0.013751831,643.73,6,0.006660158,-0.005086339,0.0,114688,280.61224699020386,0.8160627484321594,1.934261,-4.91
194,0.015001394,648.28,7,0.006933367,-0.005887626,0.0,118784,288.07080483436584,0.8045923262834549,1.9338946,-4.89
199,0.019674392,646.03,5,0.0060256827,-0.007519128,0.0,122880,295.24394273757935,0.7443526983261108,1.927534,-4.88
206,0.012117285,643.19,7,0.005473363,-0.007467437,0.0,126976,302.6356427669525,0.8098773509263992,1.9447255,-4.89
212,0.01735889,644.66,6,0.0076648328,-0.0066634137,0.0,131072,310.0866072177887,0.7830243855714798,1.9369556,-4.89
218,0.015711427,651.48,6,0.008780893,-0.008185986,0.0,135168,317.53990173339844,0.7770679146051407,1.9175494,-4.89
225,0.011131371,653.55,7,0.00902634,-0.007685769,0.0,139264,325.0074887275696,0.8492394536733627,1.8893923,-4.9
231,0.014105242,654.44,6,0.008856794,-0.0073663406,0.0,143360,332.3574240207672,0.7914849072694778,1.9002038,-4.9
238,0.010391096,662.09,7,0.0083900755,-0.005818099,0.0,147456,339.65590167045593,0.8472313582897186,1.8812801,-4.9
244,0.013314223,667.23,6,0.0064027933,-0.0044455007,0.0,151552,346.9785249233246,0.8314310312271118,1.8779981,-4.89
249,0.015072781,676.55,5,0.008578849,-0.007338251,0.0,155648,354.18459010124207,0.7856059819459915,1.8629613,-4.86
256,0.015587619,674.49,7,0.009052363,-0.009331895,0.0,159744,361.6254541873932,0.7824070751667023,1.8769159,-4.85
263,0.013654629,670.72,7,0.007834607,-0.0062665115,0.0,163840,368.7697842121124,0.8216580450534821,1.8392999,-4.85
269,0.015264054,660.54,6,0.0092379525,-0.006181186,0.0,167936,375.96186804771423,0.8013330698013306,1.8410177,-4.84
275,0.012996592,662.8,6,0.008572254,-0.008341381,0.0,172032,383.21938467025757,0.7901239693164825,1.8105516,-4.86
281,0.011724259,661.04,6,0.008182375,-0.008052549,0.0,176128,390.3037610054016,0.8182977885007858,1.7807757,-4.86
287,0.010930525,659.0,6,0.008429677,-0.004560885,0.0,180224,397.46027755737305,0.8442190587520599,1.7880081,-4.86
293,0.015138331,661.8,6,0.007700482,-0.0052332045,0.0,184320,404.7311124801636,0.798849806189537,1.7743005,-4.86
298,0.011588379,665.53,5,0.006889176,-0.0046828496,0.0,188416,412.18993306159973,0.8361102193593979,1.758864,-4.87
304,0.011138825,668.87,6,0.008833581,-0.0045228824,0.0,192512,419.6567687988281,0.8391070663928986,1.7426186,-4.87
310,0.015217872,667.93,6,0.010999272,-0.0062939054,0.0,196608,427.11577343940735,0.7600048631429672,1.7426727,-4.87
316,0.013148176,671.84,6,0.010319549,-0.0027518193,0.0,200704,519.8674635887146,0.8124612122774124,1.7311358,-4.87
321,0.011687793,674.72,5,0.009860628,-0.0063115233,0.0,204800,526.9596481323242,0.8432252407073975,1.6865528,-4.87
327,0.01413576,681.31,6,0.008169771,-0.0029536178,0.0,208896,534.0920751094818,0.8263302892446518,1.6709524,-4.85
332,0.011469792,687.34,5,0.008942363,-0.007575626,0.0,212992,541.2691671848297,0.8421469032764435,1.6412348,-4.85
339,0.0122743165,692.28,7,0.009983436,-0.0055094357,0.0,217088,548.4024941921234,0.8399314433336258,1.6721013,-4.84
