EpLenMean,EpRewMean,loss_pol_surr,loss_kl,ev_tdlam_before,EpThisIter,EpisodesSoFar,loss_vf_loss,TimeElapsed,loss_ent,loss_pol_entpen,TimestepsSoFar
520.4285714285714,-4.857142857142857,-0.010745375,0.008727384,-4.312388896942139,7,7,0.024361683,4.36896824836731,2.0706608,0.0,4096
529.7333333333333,-4.866666666666666,-0.010921182,0.008116296,0.5550627708435059,8,15,0.013212071,8.124276399612427,2.0572045,0.0,8192
535.8636363636364,-4.863636363636363,-0.006876191,0.006316958,0.7149387300014496,7,22,0.01898367,11.838321924209595,2.0456502,0.0,12288
550.7931034482758,-4.862068965517241,-0.008594696,0.005656396,0.7842803746461868,7,29,0.016820874,15.544002056121826,2.0460997,0.0,16384
551.8918918918919,-4.864864864864865,-0.009880029,0.008925619,0.8180672079324722,8,37,0.014255881,19.294566869735718,2.0180383,0.0,20480
552.3409090909091,-4.863636363636363,-0.00981784,0.0069525926,0.8394154608249664,7,44,0.013247599,23.006296634674072,2.0012114,0.0,24576
550.1923076923077,-4.865384615384615,-0.010865912,0.0073170303,0.8138992041349411,8,52,0.014604663,26.710910081863403,2.001193,0.0,28672
550.0847457627119,-4.8474576271186445,-0.009206726,0.0058519347,0.7897492349147797,7,59,0.018699292,30.417330980300903,1.9825728,0.0,32768
548.6119402985074,-4.850746268656716,-0.009673327,0.007178671,0.843916118144989,8,67,0.014498255,34.12857675552368,1.973237,0.0,36864
549.972972972973,-4.864864864864865,-0.010957219,0.0075104386,0.8281766772270203,7,74,0.014991716,37.83498740196228,1.9566562,0.0,40960
553.5802469135803,-4.864197530864198,-0.010221074,0.0061393594,0.7998636066913605,7,81,0.016161004,41.53631138801575,1.936746,0.0,45056
556.6590909090909,-4.875,-0.010674495,0.008177933,0.8312935531139374,7,88,0.014602593,45.24963164329529,1.9019225,0.0,49152
563.3723404255319,-4.882978723404255,-0.009213259,0.007195509,0.7917974591255188,6,94,0.014384857,48.97184872627258,1.9058387,0.0,53248
560.38,-4.88,-0.010214153,0.005451341,0.758351668715477,8,102,0.018814912,52.888447999954224,1.8964872,0.0,57344
559.33,-4.89,-0.008666877,0.005121339,0.7740394026041031,7,109,0.017930403,56.82256889343262,1.8847857,0.0,61440
568.31,-4.9,-0.009709558,0.006891053,0.7778642773628235,6,115,0.013980804,60.52546811103821,1.8766743,0.0,65536
572.93,-4.91,-0.011482183,0.005954844,0.8326562196016312,7,122,0.012861434,64.23216247558594,1.8628441,0.0,69632
575.91,-4.92,-0.012443803,0.0071376367,0.7963222116231918,6,128,0.014362228,67.94116973876953,1.8787503,0.0,73728
579.84,-4.93,-0.01062573,0.006225977,0.7884238511323929,7,135,0.015757833,71.642498254776,1.8859404,0.0,77824
581.1,-4.93,-0.012263897,0.0054492,0.7661408931016922,7,142,0.01693086,75.34650254249573,1.8707429,0.0,81920
582.56,-4.92,-0.009881348,0.006446947,0.7658771574497223,7,149,0.0187257,79.07533240318298,1.8774687,0.0,86016
588.05,-4.93,-0.012651581,0.0072548985,0.8057515621185303,7,156,0.013188512,83.0366439819336,1.8310279,0.0,90112
589.17,-4.95,-0.012223476,0.0062671914,0.7948809564113617,8,164,0.015613084,87.13250684738159,1.8322309,0.0,94208
591.34,-4.94,-0.011468926,0.0062093735,0.8011190295219421,7,171,0.0149529325,91.22790837287903,1.805423,0.0,98304
599.49,-4.95,-0.01163948,0.006258064,0.8328502923250198,5,176,0.012557039,513.3937349319458,1.7963176,0.0,102400
601.54,-4.95,-0.013296477,0.006965938,0.8262419104576111,7,183,0.011066714,517.147891998291,1.7640898,0.0,106496
601.85,-4.94,-0.013078596,0.0065130824,0.7615266293287277,7,190,0.014848877,521.0886924266815,1.763519,0.0,110592
598.86,-4.94,-0.012659962,0.0056250384,0.8139640837907791,7,197,0.012505791,524.8257133960724,1.7572554,0.0,114688
606.63,-4.94,-0.012262769,0.0067765736,0.8165632635354996,6,203,0.011637801,528.5676484107971,1.72422,0.0,118784
613.15,-4.93,-0.013313562,0.008129151,0.7961802184581757,7,210,0.015154597,532.3128178119659,1.7090799,0.0,122880
609.26,-4.93,-0.014028504,0.00735394,0.8048897534608841,6,216,0.014437843,536.2459630966187,1.6952345,0.0,126976
619.43,-4.87,-0.014894592,0.0073626963,0.806056797504425,6,222,0.016055644,540.032797574997,1.6790805,0.0,131072
617.01,-4.87,-0.013157506,0.0055186395,0.8232391774654388,6,228,0.012167795,543.796147108078,1.7212967,0.0,135168
611.96,-4.87,-0.015721545,0.008675699,0.8113228380680084,8,236,0.012778086,547.5309355258942,1.6859125,0.0,139264
619.34,-4.88,-0.014287287,0.0050147786,0.8047782629728317,6,242,0.0130621735,551.2519948482513,1.6654046,0.0,143360
623.54,-4.88,-0.017054467,0.0069615724,0.8108697086572647,6,248,0.012301166,555.170845746994,1.6440369,0.0,147456
627.85,-4.89,-0.017905287,0.0072536515,0.8457200825214386,6,254,0.010677132,558.8969430923462,1.6426845,0.0,151552
625.84,-4.89,-0.012681577,0.0061537586,0.8509427458047867,7,261,0.010313394,562.6793627738953,1.6664617,0.0,155648
625.33,-4.89,-0.012695782,0.005022306,0.8007730543613434,8,269,0.014284308,566.4001569747925,1.6789825,0.0,159744
613.58,-4.89,-0.012343495,0.007363176,0.8109952658414841,7,276,0.012845628,570.1199014186859,1.661797,0.0,163840
