#{"t_start": 1604396832.0900795, "env_id": "SlimeVolley-v0"}
r,l,t
-5,531,1.102612
-5,632,1.450753
-5,672,1.820658
-5,789,2.257678
-5,630,2.640906
-5,519,2.962093
-5,538,5.065892
-5,537,5.399425
-4,720,5.843214
-5,662,6.254748
-5,451,6.534957
-5,529,6.863399
-5,580,7.2227
-5,542,9.072952
-5,523,9.398036
-5,641,9.795665
-5,557,10.142339
-5,492,10.449741
-5,491,10.755714
-5,624,11.144242
-5,506,11.458992
-5,562,13.319855
-4,914,13.865877
-5,501,14.146262
-4,795,14.586057
-5,587,14.909663
-5,698,15.295075
-5,440,16.922514
-5,590,17.249399
-5,814,17.698198
-5,631,18.047118
-4,530,18.340435
-5,538,18.638154
-5,526,18.929546
-5,678,20.682498
-5,763,21.139965
-5,451,21.419614
-5,482,21.684658
-5,604,22.017114
-5,678,22.390208
-5,843,24.233001
-5,616,24.5915
-5,508,24.9056
-5,428,25.170315
-5,468,25.442603
-5,533,25.735737
-5,459,25.989345
-5,524,26.277806
-5,902,28.166893
-5,600,28.500095
-4,488,28.770076
-5,447,29.017208
-5,579,29.349323
-5,557,29.694694
-5,474,29.988457
-5,522,31.821204
-5,525,32.146307
-5,706,32.585585
-5,611,32.965845
-5,549,33.307658
-5,463,33.593865
-5,468,33.882626
-5,490,34.1872
-5,497,36.011485
-5,551,36.353401
-4,683,36.777495
-5,474,37.071636
-5,522,37.395373
-5,640,37.791057
-5,541,38.127817
-5,491,39.949084
-5,399,40.198124
-5,734,40.655625
-5,630,41.047298
-5,647,41.448384
-5,625,41.83455
-4,958,43.939044
-4,586,44.30318
-5,693,44.733445
-4,528,45.061345
-5,535,45.393025
-5,555,45.735803
-5,498,46.044446
-5,587,46.408938
-5,653,48.332242
-5,741,48.793276
-5,456,49.07738
-4,890,49.631432
-5,721,50.078458
-5,506,50.392614
-3,764,52.380796
-5,605,52.758202
-5,446,53.035316
-5,868,53.573004
-5,625,53.960084
-5,502,54.272821
-5,748,56.246921
-5,547,56.586335
-5,480,56.884119
-5,866,57.420725
-5,420,57.680337
-4,573,58.035439
-5,455,58.318675
-5,685,60.214432
-5,400,60.448264
-5,752,60.865314
-5,681,61.243473
-3,938,61.764175
-5,514,62.049561
-5,438,62.293746
-5,403,63.909161
-5,645,64.267439
-4,609,64.604235
-5,531,64.898248
-5,816,65.350661
-5,574,65.667624
-5,412,65.895326
-5,901,67.778304
-5,645,68.136503
-5,556,68.443867
-5,525,68.732895
-5,703,69.121573
-5,590,69.449652
-5,693,71.229849
-5,714,71.625535
-5,485,71.894651
-5,487,72.164543
-5,592,72.492603
-5,892,72.98779
-5,671,73.358898
-5,548,75.041903
-4,559,75.351145
-4,560,75.661023
-5,737,76.068494
-5,549,76.374019
-5,444,76.620293
-5,675,76.99569
-5,617,78.725577
-5,614,79.065048
-5,587,79.396816
-4,622,79.766496
-4,736,80.219046
-5,620,80.562955
-5,639,82.296518
-5,665,82.662989
-4,865,83.140624
-5,584,83.463006
-5,519,83.748719
-4,620,84.117769
-5,415,84.371652
-5,632,86.098644
-5,466,86.355733
-4,731,86.759144
-5,514,87.04283
-5,610,87.380301
-4,908,87.880975
-5,639,89.613553
-5,448,89.860268
-5,692,90.241476
-5,601,90.573017
-5,842,91.0401
-5,637,91.393069
-5,409,91.618721
-5,593,93.438972
-5,471,93.731024
-5,614,94.10237
-5,505,94.568131
-5,682,94.988084
-5,543,95.323764
-5,670,95.736767
-5,592,96.107411
-5,586,96.468165
-4,717,96.909418
-5,578,97.265104
-5,548,97.60623
-5,367,97.830858
-5,740,98.286252
-5,492,98.588528
-5,568,98.937252
-5,719,99.383209
-5,451,99.68986
-5,573,100.080061
-5,570,100.457512
-5,587,100.858419
-5,500,101.199641
-5,597,101.606012
-5,597,102.01214
-5,655,102.458569
-5,530,102.819854
-5,562,103.202265
-5,514,103.552017
-5,595,103.957377
-4,633,104.388938
-5,391,104.65511
-5,567,105.040915
-5,646,105.480469
-4,611,105.894407
-5,682,106.359616
-5,460,106.646394
-5,595,107.011431
-5,488,107.311268
-5,670,107.724287
-5,605,108.097006
-5,562,108.44332
-5,794,108.932813
-5,588,109.333651
-5,702,109.811416
-4,879,110.410967
-5,697,110.861931
-5,698,111.33966
-5,557,111.683483
-4,619,112.104315
-5,649,112.546735
-5,759,113.029589
-5,717,113.479989
-5,651,113.92194
-4,702,114.399997
-5,566,114.747118
-5,642,115.139868
-5,535,115.467644
-5,561,115.811093
-5,447,116.08467
-5,689,116.507982
-5,718,116.988561
-5,479,117.313297
-4,698,117.785607
-5,697,118.260222
-4,616,118.67814
-5,451,118.983637
-5,770,119.506227
-5,627,119.932792
-5,426,120.222347
-5,572,120.611187
-5,520,120.964201
-4,796,121.505017
-5,677,121.96348
-5,710,122.446054
-5,414,122.712669
-5,582,123.067806
-5,616,123.444231
-5,398,123.687662
-5,510,123.999714
-5,396,124.242331
-5,678,124.656259
-5,523,124.975096
-5,768,125.443519
-5,426,125.703499
-5,529,126.027038
-5,449,126.301244
-5,561,126.644386
-5,684,127.063994
-3,1047,127.707764
-5,526,128.036128
-5,493,128.354835
-5,947,128.937906
-5,746,129.39717
-5,568,129.746003
-5,635,130.136071
-5,407,130.388714
-5,882,130.988882
-5,486,131.319906
-5,772,131.845992
-5,732,132.345156
-4,801,132.890254
-5,724,133.382307
-5,527,133.739013
-5,561,134.113016
-5,533,134.442275
-5,697,134.872946
-5,743,136.842758
-5,435,137.11226
-5,563,137.461429
-5,540,137.795033
-5,578,138.152861
-5,548,138.491977
-5,706,138.927261
-5,510,139.242888
-5,541,141.087064
-5,665,141.498373
-4,599,141.864725
-4,771,142.291819
-5,612,142.629527
-5,688,143.008742
-5,645,144.83555
-5,503,145.115098
-4,676,145.488486
-5,612,145.826074
-5,787,146.261621
-5,544,146.563592
-4,826,148.40445
-5,550,148.707162
-5,479,148.97044
-5,424,149.203637
-5,653,149.564061
-5,638,149.915577
-5,736,150.320153
-5,732,152.105847
-5,754,152.522977
-5,518,152.808501
-4,634,153.15813
-5,631,153.519569
-5,636,153.877682
-5,493,154.149408
-5,474,155.796316
-5,640,156.151327
-5,869,156.633097
-5,715,157.027976
-5,598,157.35896
-5,477,157.621811
-5,388,157.834951
-5,613,159.557303
-4,956,160.084102
-5,783,160.516463
-5,686,160.897757
-5,602,161.231424
-4,972,163.157653
-5,834,163.617537
-5,628,163.964635
-5,605,164.297256
-5,933,164.813691
-5,462,165.068539
-5,569,166.765627
-5,586,167.088601
-5,664,167.456388
-5,851,167.928032
-5,718,168.326766
-5,614,168.686466
-5,640,170.578518
-5,585,170.900872
-5,608,171.23554
-5,418,171.481073
-5,506,171.793456
-5,652,172.184326
-5,497,172.476254
-5,762,174.294938
-5,515,174.580016
-5,522,174.868821
-5,478,175.1455
-5,680,175.56684
-5,1034,176.160149
-5,722,178.090956
-5,670,178.505333
-5,615,178.885085
-5,553,179.226286
-5,556,179.569467
-5,594,179.935946
-5,423,180.197113
-5,660,182.110339
-5,511,182.42704
-4,859,182.957925
-5,424,183.220497
-3,1356,184.058091
-5,481,184.355315
-5,505,186.17695
-5,760,186.64762
-5,542,186.983016
-5,485,187.283192
-5,612,187.662259
-5,806,188.161119
-4,801,190.166095
-5,673,190.583825
-5,488,190.886837
-5,881,191.434242
-5,592,191.800155
-5,558,192.145088
-4,778,192.627536
-4,822,194.648299
-5,442,194.922302
-4,846,195.44659
-4,792,195.937147
-5,587,196.300647
-5,577,196.658846
-5,481,198.470292
-4,752,198.934737
-5,717,199.377676
-5,520,199.699135
-5,699,200.131257
-5,503,200.442421
-5,606,202.329382
-5,664,202.739858
-5,535,203.070971
-5,787,203.557771
-3,1067,204.216559
-4,841,204.736461
-5,807,206.748431
-5,615,207.129159
-5,670,207.543511
-4,817,208.048789
-5,565,208.398327
-5,665,208.809234
-5,645,210.725799
-5,565,211.077096
-5,655,211.483464
-5,695,211.914302
-5,848,212.440056
-5,816,214.367935
-5,523,214.658867
-5,823,215.119395
-5,767,215.545132
-5,806,216.040698
-5,793,216.51444
-5,580,218.223067
-5,690,218.604092
-4,729,219.00534
-5,845,219.471719
-4,826,219.926458
-5,525,220.216015
-5,657,221.955852
-4,768,222.380342
-5,931,222.891575
-4,814,223.340494
-5,685,223.718049
-5,660,225.461279
-5,448,225.706442
-5,634,226.054384
-5,868,226.531635
-5,451,226.779521
-5,463,227.511967
-5,653,227.958229
-4,586,228.35819
-5,636,228.790654
-5,955,229.441021
-4,729,229.937967
-5,521,230.292893
-5,525,230.650181
-5,493,230.985178
-5,972,231.646681
-5,490,231.97997
-4,641,232.417347
-5,593,232.821401
-4,830,233.385708
-5,444,233.686027
-5,564,234.069346
-4,775,234.596648
-5,777,235.124345
-5,681,235.586905
-5,397,235.856449
-5,486,236.186466
-5,714,236.671211
-4,766,237.190919
-5,834,237.756028
-5,646,238.194786
-5,688,238.661773
-5,509,239.007131
-5,669,239.461239
-5,439,239.758925
-5,572,240.146449
-5,559,240.526433
-5,613,240.942665
-5,705,241.420923
-5,681,241.881514
-5,707,242.36139
-5,691,242.830492
-5,522,243.184871
-4,866,243.772124
-5,664,244.221943
-5,610,244.635861
-5,606,245.04775
-5,957,245.695973
-5,728,246.188585
-5,634,246.618832
-4,530,246.978451
-5,580,247.371678
-5,1090,248.112406
-5,639,248.519255
-5,624,248.902207
-5,629,249.287164
-5,764,249.789233
-5,677,250.248757
-5,541,250.615636
-5,701,251.08972
-5,629,251.516546
-4,908,252.135604
-5,749,252.644833
-5,889,253.248595
-5,616,253.666548
-5,707,254.146832
-5,533,254.509574
-5,684,254.973962
-5,884,255.572735
-5,600,255.980276
-4,721,256.469048
-5,654,256.911963
-5,1104,257.659269
-5,632,258.088327
-5,622,258.469472
-4,865,258.996014
-5,533,259.319937
-5,406,259.56802
-5,710,260.00048
-5,799,260.542648
-5,853,261.102004
-5,558,261.442172
-4,604,261.810652
-5,424,262.069534
-5,490,262.368885
-5,942,262.945919
-5,554,263.285968
-5,603,263.655857
-4,1113,264.336428
-5,555,264.675977
-5,486,264.973277
-5,830,265.514228
-5,490,265.845448
-5,572,266.233988
-5,647,266.671747
-5,696,267.143435
-5,815,267.668299
-5,794,268.153285
-5,778,268.677881
-5,687,269.124634
-4,935,269.699386
-5,653,270.099468
-5,554,270.439466
-5,687,270.860346
-5,621,271.241313
-5,899,271.791174
-5,782,273.610618
-5,821,274.063862
-5,559,274.390272
-5,508,274.672365
-5,580,274.992614
-5,557,275.299747
-5,641,275.652987
-5,533,277.33058
-5,390,277.544815
-5,582,277.86411
-4,653,278.222844
-5,602,278.553627
-5,878,279.036129
-5,531,279.330857
-5,568,281.111388
-5,885,281.598402
-5,744,282.007967
-5,614,282.347955
-5,840,282.811628
-5,574,283.128137
-5,490,284.77851
-5,574,285.09457
-5,773,285.52043
-5,1106,286.130926
-5,679,286.506136
-3,1042,288.46364
-5,670,288.832149
-5,520,289.118712
-4,756,289.53626
-5,435,289.776448
-4,955,290.302936
-5,689,292.065297
-5,460,292.320232
-5,664,292.692509
-4,1198,293.429661
-5,695,293.812484
-5,622,294.156985
-5,601,295.867744
-4,818,296.317233
-5,683,296.693026
-5,688,297.072506
-5,544,297.372122
-4,682,297.748484
-5,786,299.56688
-5,576,299.88436
-5,922,300.396597
-5,616,300.778536
-4,758,301.247354
-5,547,301.549263
-5,553,303.243176
-5,571,303.558137
-3,858,304.033839
-3,907,304.557954
-5,628,304.946644
-4,1045,307.105751
-5,514,307.425956
-3,852,307.95622
-5,604,308.332038
-5,628,308.722685
-5,572,309.078765
-5,738,311.048945
-5,605,311.425004
-5,572,311.778259
-5,567,312.129657
-5,716,312.573709
-5,670,312.990469
-5,615,313.371244
-5,725,315.331209
-5,503,315.643564
-5,794,316.135308
-5,577,316.492967
-5,1083,317.162949
-5,660,319.081336
-5,471,319.372758
-5,603,319.745877
-5,726,320.194926
-4,733,320.648678
-5,1135,321.35097
-5,435,323.12715
-5,737,323.584524
-5,1065,324.245148
-5,627,324.634529
-5,842,325.157025
-5,454,325.438796
-5,616,327.328456
-5,770,327.80517
-5,697,328.236756
-5,799,328.73189
-5,746,329.193982
-5,881,331.250719
-5,1005,331.875275
-4,759,332.345951
-5,526,332.671957
-5,676,333.091529
-5,637,333.486639
-5,553,335.344134
-5,639,335.742312
-5,602,336.11703
-4,882,336.667347
