#{"t_start": 1604390890.605474, "env_id": "SlimeVolley-v0"}
r,l,t
-5,594,2.00846
-4,718,2.403232
-5,555,2.708778
-5,465,2.954504
-5,466,3.197255
-5,537,3.478921
-5,646,3.824321
-5,459,5.707348
-5,434,5.943304
-4,902,6.436305
-5,753,6.850375
-5,507,7.129368
-5,728,7.530508
-5,667,9.420386
-5,552,9.731888
-5,570,10.046192
-5,444,10.292653
-5,643,10.658453
-5,455,10.912435
-5,529,11.190804
-5,612,11.508439
-4,740,13.340479
-5,501,13.622632
-5,560,13.941421
-4,815,14.382804
-5,705,14.774325
-5,521,15.060284
-4,696,16.871332
-4,651,17.241212
-5,585,17.573288
-5,517,17.859311
-5,422,18.080882
-4,690,18.445739
-5,528,18.749386
-5,560,20.436284
-5,722,20.820779
-5,554,21.110392
-5,758,21.505571
-5,671,21.864325
-5,461,22.115297
-5,527,22.402366
-5,574,24.172321
-5,863,24.643428
-5,573,24.9592
-5,639,25.309587
-5,768,25.789283
-4,793,26.252387
-5,428,28.02969
-4,748,28.448295
-5,641,28.821663
-5,583,29.210294
-5,554,29.553416
-5,645,29.948927
-4,878,31.871297
-5,564,32.18152
-5,733,32.585466
-3,1282,33.293886
-5,421,33.523402
-5,562,33.834869
-5,696,35.636324
-5,469,35.884083
-5,703,36.248656
-5,599,36.557905
-5,570,36.855374
-5,696,37.222354
-4,744,39.006483
-5,701,39.373996
-4,637,39.708272
-5,598,40.031913
-4,729,40.43323
-4,858,40.90688
-5,810,42.736258
-5,606,43.061321
-5,817,43.507377
-5,511,43.798321
-5,780,44.267849
-5,721,44.682114
-5,698,46.530736
-5,593,46.863448
-5,466,47.116339
-5,1109,47.700878
-4,760,48.098251
-4,772,49.933482
-5,423,50.162221
-5,695,50.544828
-5,543,50.844815
-5,479,51.106175
-5,756,51.517281
-4,576,51.826803
-5,715,53.622986
-5,447,53.85803
-5,632,54.19023
-5,693,54.603446
-5,450,54.849099
-4,930,55.409261
-4,632,55.772801
-5,508,57.498907
-5,609,57.835408
-5,811,58.266378
-5,566,58.589235
-5,671,58.985962
-5,761,59.407675
-5,663,61.30536
-4,643,61.649647
-5,492,61.91845
-5,529,62.20485
-5,696,62.577721
-5,764,62.984359
-4,629,63.310787
-5,724,65.047288
-5,457,65.28427
-5,550,65.568241
-5,658,65.917247
-5,513,66.183391
-5,557,66.486244
-5,1062,68.490915
-4,594,68.805307
-5,707,69.184971
-5,671,69.548265
-5,415,69.770392
-5,532,70.056373
-5,506,70.327238
-5,872,72.178284
-4,688,72.540143
-5,995,73.081503
-5,410,73.320113
-5,668,73.69512
-5,621,74.060904
-5,744,76.052931
-5,696,76.428313
-5,435,76.661308
-5,389,76.871292
-5,444,77.110132
-5,567,77.419109
-5,554,77.716429
-4,852,79.581355
-4,675,79.956191
-5,772,80.384372
-5,655,80.754257
-5,760,81.166353
-5,755,82.968146
-5,632,83.304638
-5,745,83.702459
-5,669,84.058606
-5,770,84.46647
-4,648,84.807979
-5,666,86.577503
-4,857,87.034336
-5,852,87.489215
-5,578,87.800549
-5,743,88.203094
-5,841,88.656235
-5,645,90.395308
-5,551,90.687202
-5,650,91.070379
-5,617,91.573425
-5,672,92.054411
-5,519,92.401178
-5,538,92.737195
-5,795,93.242194
-5,642,93.632629
-4,813,94.162553
-5,621,94.559914
-5,648,94.985201
-4,804,95.51573
-5,461,95.804469
-5,652,96.215267
-5,733,96.660322
-5,719,97.106505
-5,532,97.436434
-5,620,97.841377
-5,701,98.284524
-5,738,98.737056
-5,1003,99.321284
-4,693,99.748426
-5,588,100.128431
-5,543,100.446922
-5,547,100.766435
-5,435,101.024497
-5,660,101.407304
-5,524,101.711616
-5,539,102.025773
-5,592,102.376259
-5,804,102.848714
-5,745,103.288738
-4,875,103.806252
-4,843,104.308326
-4,788,104.782023
-5,480,105.092159
-4,1157,105.842269
-5,879,106.435017
-5,666,106.924408
-5,704,107.393
-5,595,107.78651
-5,649,108.199103
-5,588,108.54592
-4,714,108.9725
-5,551,109.300223
-5,565,109.64431
-5,810,110.127244
-5,609,110.488632
-5,716,110.914756
-5,608,111.27571
-5,734,111.714338
-5,732,112.159419
-5,919,112.718417
-5,658,113.122394
-4,571,113.504242
-5,485,113.79976
-5,494,114.099904
-5,586,114.458632
-4,766,114.937888
-5,620,115.326239
-5,693,115.767694
-5,551,116.137043
-5,683,116.614944
-5,581,117.047531
-5,720,117.509588
-5,570,117.879263
-5,696,118.378548
-5,637,118.831441
-5,633,119.300315
-5,765,119.909438
-5,711,120.631665
-5,571,121.283894
-5,497,121.7357
-5,556,122.206602
-5,545,122.606894
-5,958,123.312439
-5,605,123.700239
-4,749,124.203413
-5,771,124.671134
-5,745,125.119437
-5,503,125.428982
-4,836,125.92964
-5,416,126.183212
-5,596,126.535604
-5,844,127.040065
-4,659,127.421672
-4,955,127.986387
-5,575,128.328857
-5,676,128.73289
-5,693,129.250518
-5,548,129.757516
-4,803,131.174617
-5,639,131.86646
-5,457,132.161833
-5,616,132.565525
-5,638,133.021419
-5,862,133.631157
-5,709,134.226451
-5,521,134.600555
-4,734,135.081337
-5,646,135.474582
-5,768,135.938324
-5,678,136.3324
-4,725,136.71746
-5,856,137.193459
-5,677,138.979343
-5,687,139.347646
-4,779,139.770292
-5,472,140.027359
-5,872,140.493816
-5,610,140.822482
-4,730,142.63442
-5,621,142.974317
-5,573,143.291406
-5,492,143.560482
-5,457,143.807273
-5,436,144.041671
-5,686,144.416492
-5,585,146.192459
-5,842,146.652374
-5,747,147.065497
-5,686,147.441798
-5,919,147.936384
-5,631,149.701889
-5,586,150.035439
-5,739,150.447749
-5,675,150.834428
-5,629,151.193158
-5,612,151.527323
-5,552,151.828444
-5,563,153.585179
-5,461,153.834362
-5,671,154.212638
-5,747,154.612328
-5,539,154.903427
-5,784,155.326475
-5,622,157.307422
-4,599,157.746534
-5,625,158.188325
-4,902,158.816945
-5,488,159.129602
-5,740,159.565636
-5,632,159.944337
-5,412,161.721769
-5,771,162.184496
-5,588,162.504457
-4,808,162.94327
-4,740,163.349066
-5,494,163.616998
-4,854,165.545711
-4,782,165.999432
-5,603,166.368923
-3,755,167.062089
-5,793,168.268088
-5,1045,170.741627
-5,495,171.001496
-5,666,171.357386
-5,766,171.768616
-4,727,172.166332
-5,782,172.59277
-4,730,174.431365
-5,865,174.903295
-5,688,175.303379
-5,488,175.577378
-5,720,175.972663
-5,535,176.262311
-5,565,177.976778
-5,782,178.390615
-5,534,178.789581
-5,847,179.768103
-5,900,180.598101
-5,847,183.154744
-5,590,183.670206
-5,712,184.315729
-5,1272,185.069207
-5,455,185.402876
-5,754,185.881467
-4,1176,188.348096
-5,804,188.829948
-5,515,189.156467
-4,778,189.582418
-5,603,189.912301
-5,1192,192.108608
-5,945,192.673355
-5,741,193.111479
-5,821,193.589252
-5,673,193.96342
-5,887,195.941299
-5,1226,196.652546
-5,808,197.096305
-5,610,197.435448
-5,662,197.810493
-5,761,199.715494
-5,756,200.147565
-5,850,200.616354
-5,555,200.917359
-5,825,201.367006
-5,744,203.298394
-5,660,203.685251
-5,930,204.201479
-5,791,204.640153
-5,618,204.982507
-5,837,206.917405
