#{"t_start": 1603938928.2830193, "env_id": null}
r,l,t
4,578,2.522304
-1,783,3.360111
-1,768,4.151563
-3,677,4.844905
2,739,5.60287
5,430,6.043926
2,657,10.111696
3,524,10.649873
1,710,11.379923
4,527,11.921239
2,628,12.622979
-2,631,13.332687
-1,788,17.10378
1,728,17.919942
-1,765,18.776731
-3,570,19.417031
2,615,20.074759
4,498,20.596683
4,481,21.108826
4,499,24.531861
2,659,25.274666
-2,645,25.997993
-2,654,26.730817
-5,381,27.158191
-4,493,27.712433
3,589,28.374731
-1,699,32.053513
3,597,32.724967
-2,706,33.453846
-2,623,34.096588
4,487,34.597508
1,762,35.381721
1,761,38.973617
5,388,39.37346
-2,740,40.133618
-1,725,40.878609
-2,674,41.577777
3,571,42.194624
4,560,42.770149
-1,707,46.270548
-3,581,46.867436
-1,741,47.639654
-3,552,48.259411
3,526,48.851121
1,711,49.607731
3,564,53.126936
-2,668,53.87905
-2,704,54.670731
1,711,55.46816
-1,703,56.255229
-2,683,56.961068
5,408,57.381058
2,675,60.856851
4,466,61.336551
-3,536,61.887506
-1,723,62.632427
3,567,63.214501
1,843,64.086215
-4,476,64.593518
4,508,67.88621
3,541,68.445192
-1,811,69.282174
2,623,69.924158
-2,798,70.746304
2,660,71.425772
2,736,74.965632
5,435,75.412341
3,560,75.987625
3,580,76.626156
2,647,77.290954
1,774,78.086757
2,682,81.575193
-5,399,81.98453
3,632,82.634212
-2,705,83.385461
-2,665,84.132161
-1,792,85.019374
-1,744,85.852083
-4,542,89.358577
1,820,90.279475
2,781,91.090899
1,735,91.848095
-2,632,92.499293
-2,778,96.096004
-3,557,96.667718
1,889,97.5818
-2,682,98.282908
4,491,98.787106
3,581,99.384047
-3,542,99.941147
2,666,103.409109
-1,688,104.116202
-3,559,104.716591
-2,670,105.422615
-3,554,106.013984
-3,654,106.685553
2,675,110.21806
-4,498,110.775296
-1,747,111.601659
-3,640,112.258305
3,605,112.879546
2,686,113.584083
2,700,114.303042
-1,722,117.831919
4,463,118.347507
-4,537,118.918297
1,804,119.782521
2,633,120.477067
4,602,121.096201
-1,821,124.716391
4,540,125.271229
-4,546,125.831475
-3,584,126.432163
1,787,127.256026
-2,718,127.99483
-2,606,131.405488
4,504,131.924486
-2,717,132.662763
3,554,133.23195
2,652,133.927078
2,670,134.679438
3,600,135.351051
4,544,138.854873
