#{"t_start": 1603936861.9082942, "env_id": null}
r,l,t
5,446,1.212506
-2,721,1.609147
-1,811,2.054555
-3,549,2.366017
3,576,2.721029
3,571,3.034076
1,797,5.167025
3,536,5.46454
1,704,5.852836
2,639,6.206078
3,592,6.532376
-1,726,6.932374
-2,814,8.752235
1,709,9.143409
-2,640,9.495831
-3,560,9.849455
2,615,10.199374
4,532,10.493505
4,452,10.741761
4,526,12.378901
2,634,12.765221
-2,659,13.17772
-1,742,13.588476
-3,539,13.900496
-5,464,14.183767
2,642,14.568181
-1,721,16.312407
3,588,16.635922
-2,640,16.987813
1,701,17.373249
-2,687,17.751101
5,441,17.993543
3,595,19.746608
5,388,19.991143
-2,673,20.415453
-1,725,20.828029
-2,626,21.174584
3,571,21.491112
4,569,21.806278
-2,785,23.59015
-2,649,23.949367
-1,768,24.374864
-3,608,24.711746
3,526,25.003906
1,751,25.420197
1,744,27.187265
-4,507,27.468363
-2,641,27.823758
1,711,28.217986
-1,714,28.614021
-3,548,28.916278
5,403,29.144908
3,580,30.983256
3,567,31.341842
-2,655,31.756033
-1,768,32.24137
-1,780,32.7348
4,501,33.050406
-3,600,34.896978
4,531,35.231196
3,541,35.572772
-2,649,35.983022
1,722,36.439134
-3,585,36.809394
1,731,37.271384
2,731,39.05596
1,754,39.473337
4,539,39.771368
4,602,40.103676
-1,725,40.503573
1,718,40.901127
-2,715,42.648546
1,706,43.038486
-1,758,43.489048
-2,665,43.854245
-4,537,44.149317
3,663,44.514237
-1,777,46.309263
-5,516,46.595277
5,407,46.819998
2,696,47.20489
1,745,47.616394
-2,624,47.9611
-2,697,49.698956
-3,558,50.007567
-1,749,50.420844
-2,657,50.782625
-1,838,51.244395
5,410,51.471251
-3,545,51.771086
2,624,53.466085
1,770,53.891493
-4,526,54.182134
-1,754,54.598786
-4,485,54.86598
1,751,55.27978
3,562,56.937142
-4,506,57.215762
-3,556,57.521567
-2,649,57.879694
3,578,58.198519
2,674,58.569855
2,722,58.966889
-2,668,60.699973
3,573,61.01561
-3,625,61.36063
1,732,61.763684
2,626,62.108784
5,497,62.386877
2,721,62.785248
4,485,64.418253
-4,508,64.713823
-3,578,65.079678
-3,624,65.434385
1,764,65.916494
-3,580,66.283336
1,750,68.149003
1,791,68.585357
3,600,68.915401
3,581,69.234571
3,724,69.632918
2,641,69.984935
4,524,70.272462
2,675,72.002916
2,680,72.399262
-3,604,72.739153
-5,377,72.94667
-2,714,73.341938
1,753,73.757883
-1,784,75.556932
1,817,76.008953
-4,467,76.266971
-1,820,76.719528
1,751,77.133178
-2,703,77.520803
-3,765,79.304901
-1,851,79.774931
-2,638,80.126171
2,664,80.492881
1,774,80.919255
5,430,81.15667
-3,550,82.81882
1,741,83.228248
-4,473,83.489362
4,530,83.781797
-5,466,84.03766
3,569,84.350712
-2,720,84.746996
-4,518,86.398088
5,379,86.607297
4,490,86.877076
3,535,87.171409
-2,709,87.561866
1,806,88.007801
-2,709,88.399819
-1,958,90.288133
-2,685,90.665389
3,571,90.979034
-1,761,91.397644
4,457,91.649457
-3,537,91.945431
-4,552,93.636375
4,455,93.886529
2,753,94.299806
3,569,94.612188
3,536,94.906483
1,721,95.303712
-2,661,95.667667
1,761,97.471916
2,766,97.89361
-4,568,98.211012
-1,703,98.598917
4,509,98.878867
4,582,99.19923
2,666,100.949821
-4,522,101.237382
-1,796,101.674072
-1,814,102.120288
5,414,102.347342
-2,620,102.687885
1,850,104.543707
2,672,104.91186
1,755,105.325812
-1,700,105.725957
3,542,106.067771
-1,755,106.544272
1,783,108.423363
3,693,108.805535
3,703,109.192302
3,546,109.49302
-3,598,109.821956
-1,764,110.244708
5,381,111.975595
-1,815,112.491325
-3,599,112.868113
2,632,113.266945
2,643,113.673365
-5,455,113.961048
2,649,114.372196
1,927,116.27455
1,804,116.720169
3,654,117.083281
1,749,117.498786
-2,664,117.86706
2,678,119.633354
-4,514,119.917145
-3,695,120.3031
-1,768,120.728244
5,373,120.93439
3,655,121.297003
-2,678,121.672154
-1,826,123.52745
-4,530,123.819714
-1,821,124.272524
4,552,124.577813
1,765,125.000309
3,600,125.332815
-4,552,127.030135
3,613,127.383921
1,871,127.882013
1,764,128.306377
3,639,128.659823
2,668,129.027776
4,568,130.68814
-2,891,131.17954
-1,730,131.582778
4,560,131.892223
4,545,132.193465
4,573,132.510627
4,483,132.776728
1,875,134.635525
-4,483,134.900757
-1,817,135.350315
3,592,135.677023
-1,885,136.166549
-5,460,136.421072
2,739,138.173044
1,862,138.647226
1,833,139.1042
-3,595,139.432696
-1,951,139.956282
-3,622,141.646313
1,794,142.081871
-4,438,142.322465
5,386,142.534741
4,504,142.812163
3,622,143.155358
5,391,143.370642
-2,698,145.098532
1,792,145.535192
2,654,145.917138
3,552,146.266765
-3,753,146.743454
-1,820,147.262868
1,780,149.229823
-1,827,149.752279
2,712,150.175752
2,773,150.602644
3,571,150.916492
1,736,151.322905
-1,712,153.064357
-5,421,153.297018
3,623,153.640671
3,610,153.976495
2,695,154.360482
1,897,154.855756
-3,669,156.620705
-3,548,156.922415
-1,815,157.371263
-1,853,157.845259
-2,751,158.262518
3,558,158.572022
-4,575,160.239286
1,735,160.646569
4,542,160.97914
4,481,161.282874
2,633,161.683546
2,716,162.136397
2,690,164.03851
2,668,164.45952
2,808,164.968286
5,434,165.241787
-2,666,165.661391
2,647,166.069095
-2,701,167.980778
-1,683,168.412688
-3,530,168.746697
-1,734,169.208359
2,696,169.646369
-4,491,169.955475
-5,497,170.269156
-2,724,172.196066
-2,803,172.703674
-5,384,172.946455
3,644,173.353626
-3,585,173.722735
-1,776,174.211513
-3,595,176.057571
1,736,176.522836
2,733,176.985429
-1,795,177.487487
-2,649,177.897659
1,707,178.344489
4,501,180.128057
1,714,180.578522
-5,448,180.860497
-3,550,181.207098
-1,839,181.735661
2,687,182.168955
2,739,182.633927
-1,834,184.631093
-3,615,185.019212
4,521,185.347897
5,441,185.626286
-4,504,185.943861
1,775,186.432922
-4,547,188.2485
-3,705,188.693719
5,394,188.941876
1,726,189.39954
4,510,189.721067
2,626,190.11524
2,640,190.51773
3,583,192.35608
-5,599,192.73491
4,563,193.090964
2,698,193.532049
-2,666,193.951199
3,598,194.327821
-5,440,194.604289
2,705,196.516388
-3,637,196.918798
-4,491,197.229188
1,831,197.75535
-1,797,198.259388
3,583,198.626495
-3,676,200.520449
-2,695,200.957537
-1,800,201.460252
-4,621,201.850806
1,858,202.390678
3,611,202.77403
3,611,204.630618
2,666,205.050967
2,824,205.570799
3,582,205.93718
2,662,206.354846
-2,808,206.863116
4,504,208.657302
-4,540,208.998296
-2,721,209.453943
-3,672,209.878405
1,948,210.475864
2,661,210.891205
1,846,212.903103
2,790,213.40295
4,526,213.73472
4,549,214.080822
2,710,214.528115
-3,671,214.949618
3,662,216.843492
3,622,217.236953
-2,678,217.666075
3,648,218.076139
-4,508,218.397627
1,829,218.918937
3,563,220.74264
2,703,221.132514
4,547,221.437055
3,820,221.890699
1,756,222.310708
5,413,222.540737
3,678,222.916909
2,681,224.652098
-1,904,225.152557
-2,775,225.579858
5,418,225.81073
-4,544,226.110508
1,933,227.973929
1,909,228.475868
4,485,228.742601
-3,662,229.10581
1,748,229.519011
3,544,229.818834
-2,669,231.536892
-4,572,231.851918
4,557,232.158535
-3,669,232.528007
-2,873,233.008594
1,675,233.381147
-2,758,235.143373
2,735,235.549042
-1,734,235.952904
3,645,236.308159
2,866,236.785785
2,717,237.181284
1,761,238.943879
3,675,239.315435
-2,717,239.709894
1,745,240.120735
-2,671,240.490663
4,596,240.817979
2,752,242.580629
-2,738,242.985833
1,742,243.394536
2,692,243.775428
1,780,244.206097
2,731,245.955429
-1,820,246.407264
4,517,246.692007
3,596,247.01922
-2,740,247.427818
-2,654,247.788894
-1,756,249.682052
4,568,250.041051
5,441,250.320467
-2,714,250.729847
-3,637,251.106925
3,603,251.453232
2,740,251.862728
-1,788,253.643624
-3,662,254.009031
5,438,254.250952
3,544,254.567444
-2,797,255.068097
-2,692,255.504434
4,639,257.375489
1,798,257.877776
1,891,258.440027
-2,727,258.895332
2,766,259.333029
2,835,261.252057
1,753,261.727922
-2,756,262.204208
3,731,262.665497
-2,823,263.185371
-2,806,263.694855
-1,800,265.530432
-2,731,265.93581
2,659,266.300879
2,710,266.692761
3,632,267.040514
2,646,267.398173
-1,871,269.230828
-2,723,269.632072
-1,769,270.057691
-1,877,270.543602
-3,662,270.909505
2,722,272.664988
1,805,273.148287
1,815,273.664253
-1,953,274.264163
-2,894,274.82784
-1,822,276.821465
3,578,277.186886
1,802,277.693793
-4,535,278.032157
-2,742,278.501275
-3,576,278.86219
5,682,280.753637
-3,574,281.070133
3,551,281.373767
-3,667,281.740805
-3,634,282.089397
4,540,282.417476
2,929,284.398406
-1,808,284.847444
3,663,285.214887
4,467,285.474091
-2,682,285.853248
2,698,286.239814
2,733,287.996001
1,796,288.437028
1,918,288.945207
-3,590,289.272171
2,719,289.669025
-2,639,290.022619
4,455,291.625868
-3,712,292.018543
1,910,292.521161
-1,901,293.018464
3,598,293.349452
-1,825,295.147601
3,728,295.546556
-4,556,295.851508
-5,428,296.085933
3,712,296.476614
2,774,296.901981
2,752,297.315269
-2,742,299.071177
3,704,299.457443
1,772,299.881021
-4,536,300.175587
-1,763,300.594754
3,552,300.899003
3,557,302.553655
-2,782,302.985283
4,482,303.251913
2,715,303.646006
1,849,304.112119
3,622,304.454394
2,780,306.230067
3,729,306.685411
4,718,307.079732
2,903,307.57681
-2,852,308.046479
-2,991,309.940111
1,853,310.408751
4,554,310.712531
5,486,310.978523
4,503,311.255564
-1,786,311.688792
-2,801,313.65084
1,832,314.177358
-2,715,314.597365
4,471,314.857388
2,792,315.293826
1,754,317.057853
4,496,317.332806
3,629,317.681896
-2,797,318.123217
5,387,318.337348
-4,546,318.63909
1,809,319.085046
5,460,320.691641
4,527,320.983397
3,683,321.361885
3,543,321.662215
-3,574,321.979282
1,792,322.416422
4,534,322.71132
-1,921,324.576694
2,845,325.044768
-3,712,325.441928
5,393,325.659586
2,688,326.041013
-2,727,326.444381
5,427,328.034215
3,600,328.368581
2,626,328.714989
-1,825,329.171261
-1,926,329.683581
3,614,330.022464
5,437,331.739196
-3,647,332.146925
3,604,332.48925
3,646,332.845883
-2,864,333.323557
2,798,333.762897
-2,662,335.477389
-2,863,335.965121
3,571,336.324668
1,806,336.832103
-1,890,337.392838
3,660,337.762263
-3,673,339.477859
2,848,339.943733
-4,562,340.252078
-2,794,340.687411
-1,948,341.207142
-2,743,342.956192
2,718,343.35113
3,644,343.704708
4,515,343.986977
2,804,344.428513
2,689,344.807227
-1,797,346.590161
2,747,347.00334
3,634,347.401412
3,663,347.81891
-4,690,348.25504
-4,549,348.600411
-3,760,350.439799
2,695,350.82331
4,488,351.092648
-2,821,351.547079
3,584,351.870654
1,776,352.300821
3,577,353.970761
4,562,354.280417
-2,772,354.706092
-2,752,355.120106
-3,576,355.437293
-1,801,355.879512
-4,507,357.507973
-3,732,357.911491
2,815,358.362167
-3,690,358.742612
4,522,359.030134
3,620,359.373699
2,765,361.164567
-4,595,361.495326
-1,965,362.029936
3,570,362.347196
5,523,362.637593
1,826,363.09625
4,592,364.775705
-1,920,365.283278
1,810,365.730202
4,615,366.069169
-2,733,366.473769
4,452,366.723336
-3,592,368.399394
4,549,368.702044
-4,586,369.024502
-1,791,369.460613
1,817,369.910283
3,591,370.236104
5,441,370.478894
-4,487,372.096438
2,668,372.465744
1,759,372.885565
-2,750,373.300946
4,493,373.574234
4,588,373.941147
-1,861,375.796467
3,595,376.124283
2,751,376.537227
2,723,376.934919
1,885,377.42159
2,805,379.217262
3,632,379.567694
1,729,379.970359
-1,735,380.375827
3,702,380.763394
3,728,381.165328
3,677,382.892992
1,913,383.46315
1,821,383.98027
1,938,384.510584
-1,879,384.994575
1,913,386.86334
1,790,387.301465
1,969,387.838066
2,626,388.185033
-1,698,388.57273
3,598,390.260375
3,734,390.665466
3,582,390.986593
-3,715,391.382853
1,834,391.84471
5,390,392.073409
-3,799,393.90333
3,667,394.32406
3,730,394.784159
2,747,395.254992
2,671,395.678865
4,553,396.028589
-2,731,397.969604
3,604,398.352525
2,888,398.912162
3,626,399.307989
-2,836,399.836908
2,768,400.322025
-4,688,402.23168
2,814,402.744225
4,476,403.043635
1,809,403.555379
5,570,403.914716
4,598,404.292349
-5,525,406.092993
1,901,406.660468
2,686,407.091212
-2,834,407.618445
3,705,408.064471
5,441,408.344063
3,611,410.201975
-1,825,410.722955
-2,716,411.174572
-2,868,411.724123
-3,627,412.120783
2,697,412.56182
-4,660,414.449819
-5,474,414.747486
2,746,415.217404
4,620,415.609403
3,686,416.043055
2,723,416.500612
-1,945,418.573003
3,689,419.005233
-2,782,419.497492
-4,557,419.84902
4,597,420.22586
2,785,420.720748
3,676,422.616402
1,885,423.174244
-1,835,423.7015
-2,942,424.29465
4,600,424.673243
-3,717,426.59644
3,689,427.028209
-5,415,427.29049
1,753,427.766452
-2,709,428.214482
-1,718,428.666919
2,749,430.608397
4,493,430.917579
3,583,431.285114
-2,787,431.782204
-1,1071,432.458629
3,693,432.895082
4,515,434.68686
3,631,435.083705
1,923,435.667733
1,808,436.178386
3,664,436.597882
3,609,436.982498
3,583,438.818877
3,714,439.266606
2,718,439.718074
1,973,440.328642
5,427,440.597118
4,710,442.510209
4,627,442.902634
5,447,443.183838
-5,541,443.524659
2,774,444.011332
-3,675,444.436292
3,718,444.888313
-1,824,446.876411
-1,722,447.331162
4,570,447.691635
-1,918,448.272384
3,698,448.714547
5,461,449.005971
3,594,450.857259
4,513,451.180757
