#{"t_start": 1599888656.909491, "env_id": "SlimeVolley-v0"}
r,l,t
-5,631,0.830416
-5,530,1.036309
-5,518,1.234125
-5,476,1.400864
-5,553,1.605691
-5,599,1.817456
-5,419,1.961707
-5,687,3.518023
-5,464,3.682173
-5,537,3.873984
-5,464,4.073254
-5,600,4.292018
-5,428,4.447412
-4,612,4.690656
-5,580,4.896126
-5,754,6.425058
-5,468,6.598153
-5,484,6.775409
-5,682,7.015048
-5,612,7.237071
-5,510,7.422628
-4,577,7.631832
-5,448,8.951433
-5,544,9.154416
-5,612,9.376831
-5,461,9.53963
-5,493,9.710169
-5,502,9.88188
-5,592,10.086121
-5,623,11.401284
-5,806,11.690155
-5,891,12.007606
-5,636,12.250954
-5,910,12.567819
-5,573,12.769598
-5,515,14.075708
-5,536,14.286425
-5,552,14.500644
-5,562,14.715777
-5,564,14.918279
-5,661,15.174515
-5,496,15.352641
-5,595,16.642704
-5,598,16.856874
-5,861,17.167176
-5,652,17.392334
-5,493,17.563784
-5,641,17.783723
-5,548,17.970245
-5,531,19.271489
-4,794,19.554131
-5,612,19.76868
-5,689,20.009352
-5,448,20.166477
-5,433,20.315061
-5,478,20.479258
-5,575,21.754879
-5,703,22.014969
-4,543,22.279588
-5,499,22.504638
-5,479,22.689055
-5,700,22.941329
-5,521,23.133487
-5,847,24.523309
-4,884,24.845566
-5,599,25.108069
-5,639,25.337931
-5,521,25.537868
-5,965,27.174935
-5,608,27.430132
-5,687,27.701165
-5,1004,28.114416
-5,721,28.425443
-5,439,28.600365
-5,596,29.952844
-5,485,30.13686
-5,517,30.324154
-5,507,30.504562
-5,532,30.715332
-5,761,30.994573
-5,581,31.203529
-5,554,31.416585
-5,405,32.707806
-5,485,32.883865
-5,782,33.183658
-5,463,33.353293
-4,904,33.69341
-5,399,33.845017
-5,720,34.121889
-5,453,35.371738
-5,666,35.606248
-2,981,35.967828
-5,488,36.141035
-5,742,36.403673
-5,731,36.660231
-5,507,37.903305
-5,709,38.149792
-5,456,38.309208
-5,497,38.481418
-5,498,38.653213
-5,548,38.841698
-4,670,39.073783
-5,525,40.327544
-5,503,40.504268
-5,954,40.828248
-5,728,41.081785
-5,668,41.314851
-5,540,41.504397
-5,445,41.663132
-5,619,42.958743
-4,643,43.182066
-5,546,43.372251
-5,714,43.619912
-5,421,43.76647
-5,595,43.987049
-5,780,45.334383
-5,450,45.491967
-5,449,45.647557
-5,564,45.847004
-5,784,46.133881
-5,539,46.335965
-5,479,46.525126
-5,540,46.737802
-5,565,48.024553
-5,453,48.191268
-5,554,48.388826
-5,837,48.685032
-5,621,48.914306
-4,542,49.12191
-5,1427,50.733029
-5,429,50.883678
-5,719,51.136681
-5,626,51.377203
-5,916,51.703618
-5,510,51.898435
-5,548,53.249868
-5,787,53.549479
-5,503,53.737868
-5,761,54.008557
-5,574,54.209922
-5,481,54.388248
-5,853,55.790409
-5,694,56.037767
-5,476,56.218801
-5,648,56.448401
-5,643,56.692742
-5,583,56.921438
-5,697,57.179047
-4,1091,58.716437
-5,602,58.945633
-5,502,59.131155
-5,731,59.404261
-5,765,59.6989
-5,420,59.880091
-5,715,61.293236
-5,633,61.541553
-5,652,61.812957
-5,487,62.008504
-5,639,62.273587
-4,701,62.558645
-5,759,63.995984
-5,547,64.204616
-5,684,64.482633
-5,773,64.76974
-5,446,64.942961
-5,674,65.213838
-5,517,65.401542
-5,698,66.706601
-5,977,67.083409
-5,400,67.230924
-5,572,67.428836
-4,802,67.705925
-5,494,67.875601
-5,603,69.172792
-5,532,69.374579
-5,740,69.648005
-5,563,69.864226
-5,466,70.0277
-5,445,70.186529
-5,599,70.397343
-5,562,71.673158
-5,552,71.873377
-5,560,72.088335
-5,549,72.315277
-5,530,72.52541
-5,437,72.693002
-5,661,72.931815
-4,634,74.285693
-5,762,74.566537
-5,514,74.751408
-5,464,74.922425
-5,885,75.240184
-5,568,75.451573
-5,605,75.677581
-5,667,77.006729
-5,538,77.203703
-5,736,77.461451
-5,667,77.708087
-5,477,77.877755
-5,472,78.046115
-4,1012,79.51377
-5,877,79.850265
-5,580,80.053898
-5,510,80.232111
-5,450,80.389691
-5,509,80.590158
-5,667,80.861138
-5,547,82.226741
-5,842,82.553709
-5,807,82.863127
-4,772,83.155803
-5,446,83.336608
-5,469,83.526819
-5,697,84.969798
-5,455,85.161182
-5,521,85.355251
-5,606,85.604103
-5,593,85.825763
-5,597,86.049507
-5,530,86.248717
-5,557,86.454468
-5,723,87.927386
-5,607,88.189481
-5,571,88.430795
-5,658,88.686368
-5,605,88.975434
-5,472,89.162934
-5,605,90.495274
-5,488,90.670597
-4,695,90.913897
-5,531,91.097878
-4,628,91.327096
-5,741,91.589523
-4,642,91.814557
-5,536,93.077171
-5,576,93.283266
-5,641,93.503954
-5,651,93.730697
-5,625,93.948495
-5,541,94.134735
-5,517,94.31636
-5,546,95.569948
-5,453,95.72667
-4,807,96.011647
-5,479,96.178216
-4,749,96.444046
-5,511,96.621221
-5,441,96.770597
-5,648,98.115835
-5,580,98.32437
-4,759,98.590726
-5,562,98.783041
-5,465,98.947813
-4,692,99.190377
-5,704,99.441455
-5,696,100.773647
-5,549,100.972973
-5,583,101.193246
-5,718,101.453549
-5,698,101.708186
-5,496,101.881182
-5,552,103.149599
-5,713,103.411953
-4,785,103.692048
-5,976,104.048836
-5,620,104.27357
-5,657,104.514445
-5,642,105.80979
-5,535,106.007688
-5,602,106.226822
-3,755,106.495413
-5,1096,106.890819
-5,702,108.21776
-4,913,108.549737
-5,583,108.759142
-5,555,108.950606
-4,648,109.196335
-5,872,109.520398
-5,549,110.793356
-5,571,111.00027
-5,531,111.194931
-5,770,111.473877
-5,790,111.749446
-5,693,111.990979
-5,536,112.187784
-5,456,113.405396
-4,671,113.641585
-4,555,113.834563
-5,545,114.023636
-5,659,114.252017
-5,642,114.478358
-5,740,115.802941
-5,659,116.038464
-5,517,116.227204
-5,570,116.43501
-5,526,116.62555
-4,854,116.936244
-5,695,117.184634
-5,626,118.505065
-5,738,118.766219
-5,914,119.094091
-5,539,119.292265
-5,623,119.52479
-5,965,120.949493
-4,827,121.248333
-5,608,121.464928
-5,665,121.691702
-5,584,121.894982
-5,600,122.109047
-5,613,122.321637
-5,650,123.648921
-5,1020,124.025236
-4,841,124.331168
-5,810,124.641276
-5,605,124.86823
-5,683,126.245948
-5,822,126.564741
-5,448,126.739921
-4,859,127.050064
-5,491,127.232458
-4,1013,127.823535
-5,536,128.046784
-4,924,128.40331
-5,512,128.614567
-5,486,128.807747
-5,858,129.156039
-5,695,129.429618
-4,773,129.766353
-5,587,130.013732
-5,640,130.261157
-5,618,130.502646
-5,590,130.75993
-5,745,131.051045
-5,555,131.269221
-4,905,131.618169
-4,751,131.910301
-5,621,132.156354
-5,638,132.41261
-5,694,132.682027
-5,495,132.874034
-5,1038,133.272482
-5,767,133.564491
-5,591,133.792708
-5,694,134.06357
-5,568,134.287683
-5,697,134.556621
-5,953,134.924857
-5,691,135.190293
-5,585,135.416598
-5,697,135.683165
-5,803,135.994149
-5,759,136.287422
-5,692,136.554723
-5,539,136.761526
-5,510,136.959642
-5,687,137.22247
-5,827,137.591919
-5,522,137.818803
-4,951,138.20269
-4,921,138.571176
-5,543,138.786977
-5,675,139.045975
-3,1162,139.497696
-5,588,139.728552
-5,773,140.024783
-4,586,140.250881
-5,531,140.456053
-5,550,140.67319
-5,1010,141.061984
-5,953,141.437434
-4,967,141.81111
-5,465,141.987328
-5,801,142.29271
-5,561,142.507282
-5,547,142.722454
-5,780,143.018896
-5,619,143.260798
-5,668,143.527854
-5,457,143.710432
-4,912,144.065683
-4,962,144.442976
-5,698,144.717033
