loss_pol_entpen,EpLenMean,loss_kl,EpisodesSoFar,EpRewMean,ev_tdlam_before,TimestepsSoFar,loss_vf_loss,TimeElapsed,loss_pol_surr,loss_ent,EpThisIter
0.0,560.8571428571429,0.010183651,7,-4.857142857142857,0.1528114676475525,4096,0.022763785,5.238788366317749,-0.0060953023,2.0692801,7
0.0,543.8666666666667,0.004483468,15,-4.933333333333334,0.72677081823349,8192,0.017311871,9.867753505706787,-0.0036518718,2.0751655,8
0.0,547.2727272727273,0.004057463,22,-4.818181818181818,0.7509488761425018,12288,0.02274109,14.347754716873169,-0.007332248,2.0762093,7
0.0,553.0689655172414,0.006727598,29,-4.862068965517241,0.7991163581609726,16384,0.017128803,20.129190683364868,-0.005082766,2.0652165,7
0.0,559.75,0.005688815,36,-4.888888888888889,0.8012305051088333,20480,0.018512191,24.613191604614258,-0.008211318,2.0616791,7
0.0,564.0,0.003900202,43,-4.906976744186046,0.8319424837827682,24576,0.015513985,29.017191648483276,-0.0065430794,2.0561411,7
0.0,564.62,0.008976534,50,-4.9,0.7959871888160706,28672,0.019720064,33.48711681365967,-0.006292753,2.036944,7
0.0,577.0178571428571,0.0049897195,56,-4.910714285714286,0.8088765442371368,32768,0.015316564,37.909116983413696,-0.007106932,2.0256023,6
0.0,593.2903225806451,0.005016919,62,-4.887096774193548,0.7620091885328293,36864,0.024329247,42.402066230773926,-0.0057678283,2.0087674,6
0.0,600.8823529411765,0.008436242,68,-4.867647058823529,0.7968785762786865,40960,0.01920907,46.836066007614136,-0.008263907,2.0004785,6
0.0,604.8243243243244,0.0069632633,74,-4.864864864864865,0.8375251442193985,45056,0.018144118,51.327065229415894,-0.007136476,1.9989558,6
0.0,619.9240506329114,0.0061660213,79,-4.822784810126582,0.7274459302425385,49152,0.025312293,55.80323839187622,-0.007831679,1.972026,5
0.0,624.3058823529411,0.0034789166,85,-4.788235294117647,0.8160681426525116,53248,0.019499606,60.15875577926636,-0.005724719,1.9685178,6
0.0,623.8021978021978,0.005528871,91,-4.802197802197802,0.8573337495326996,57344,0.015417323,64.62720108032227,-0.0063316585,1.941494,6
