#{"t_start": 1602810747.6129534, "env_id": "SlimeVolley-v0"}
r,l,t
-5,555,1.202094
-5,468,1.629323
-5,506,2.086202
-4,688,2.700876
-5,480,3.135877
-5,417,3.481875
-5,504,3.915195
-5,644,4.489667
-5,595,5.013377
-5,438,5.375417
-5,572,5.866529
-4,772,6.554328
-5,466,6.940327
-5,539,7.431175
-5,542,7.917518
-5,504,8.365772
-5,896,9.175491
-4,596,9.679527
-5,740,10.302094
-5,570,10.779095
-5,565,11.276699
-5,493,11.701707
-5,606,12.230707
-5,573,12.711708
-5,923,13.502755
-4,555,14.007118
-5,572,14.507177
-5,534,14.961905
-5,668,15.550885
-5,681,16.156044
-5,475,16.576584
-4,786,17.285878
-5,751,17.961107
-5,816,18.683119
-5,543,19.170066
-5,524,19.649096
-5,585,20.165765
-4,500,20.598707
-5,1035,21.5054
-5,572,22.00904
-5,677,22.590422
-5,598,23.113048
-5,623,23.655524
-5,435,24.022642
-5,437,24.410111
-5,898,25.205582
-5,855,25.96176
-5,535,26.435837
-5,468,26.849303
-5,700,27.46983
-5,513,27.953256
-4,560,28.686494
-5,613,29.257462
-5,493,29.779493
-4,556,30.309284
-5,495,30.770719
-4,649,31.374517
-5,472,31.982874
-5,541,32.483511
-5,694,33.118877
-5,576,33.640212
-5,510,34.101674
-5,426,34.485318
-4,712,35.078285
-5,551,35.542284
-5,474,35.945285
-5,602,36.458344
-5,642,37.01332
-5,730,37.642984
-5,637,38.233937
-5,497,38.680169
-5,608,39.23057
-5,515,39.694533
-5,426,40.076775
-4,703,40.694127
-5,606,41.241032
-5,540,41.729318
-5,629,42.296398
-5,586,42.825432
-5,464,43.239204
-5,699,43.865089
-5,526,44.3423
-5,514,44.79171
-5,462,45.200259
-5,612,45.751037
-5,457,46.16093
-5,820,46.867491
-5,576,47.375585
-5,512,47.836002
-5,809,48.578698
-5,723,49.227824
-5,438,49.623851
-5,522,50.093486
-5,625,50.655691
-5,560,51.164744
-5,572,51.681979
-5,590,52.20988
-5,546,52.699912
-5,415,53.069917
-5,547,53.534914
-5,385,53.861879
-4,612,54.375913
-5,526,54.844468
-5,521,55.313397
-5,633,55.883591
-5,631,56.457896
-5,470,56.888905
-5,602,57.434956
-5,577,57.964254
-5,659,58.571493
-5,877,59.365568
-5,467,59.787496
-5,458,60.209582
-5,410,60.589748
-4,898,61.401502
-5,733,62.063853
-5,511,62.529862
-5,484,62.962158
-5,648,63.549918
-5,595,64.067897
-5,480,64.50314
-5,483,64.940314
-5,716,65.58529
-5,518,66.038504
-5,619,66.603767
-5,705,67.248003
-5,785,67.972251
-5,601,68.514747
-5,542,68.99824
-5,671,69.607474
-5,639,70.180688
-5,572,70.694414
-5,952,71.548326
-5,483,71.978852
-5,496,72.407843
-5,632,72.978714
-5,569,73.494241
-5,560,74.003912
-4,686,74.599184
-5,521,75.071144
-5,586,75.599394
-5,590,76.132225
-5,630,76.68759
-5,604,77.228376
-4,806,77.939412
-5,585,78.463687
-5,436,78.847537
-5,564,79.351606
-5,418,79.749803
-5,577,80.265544
-4,648,80.85043
-4,671,81.454947
-5,500,81.900291
-5,561,82.401012
-5,713,83.046684
-5,658,83.62328
-5,464,84.04197
-5,588,84.580489
-4,761,85.218491
-5,440,85.593479
-5,680,86.172487
-5,532,86.620452
-5,400,86.963346
-5,643,87.525685
-5,667,88.117478
-5,619,88.675613
-5,825,89.418811
-5,403,89.784497
-5,653,90.614904
-5,709,90.977904
-5,868,91.420904
-5,555,91.703904
-5,523,91.97194
-5,541,92.247939
-5,907,92.713939
-5,561,92.999902
-4,620,93.32094
-5,511,93.581914
-5,404,93.785903
-4,631,94.107931
-5,559,94.392904
-4,687,94.742936
-5,581,95.039943
-5,890,95.494904
-5,422,95.710919
-5,548,95.987931
-5,700,96.34594
-5,557,96.633939
-5,589,96.933925
-5,612,97.245904
-5,646,97.574904
-5,792,97.979904
-5,618,98.293905
-5,527,98.560966
-5,1014,99.075942
-4,603,99.385904
-5,657,99.720904
-5,433,99.948904
-4,648,100.296134
-5,597,100.599098
-5,592,100.905102
-5,625,101.234097
-5,537,101.506127
-5,657,101.845099
-5,736,102.220127
-5,531,102.489098
-5,637,102.813099
-5,708,103.219098
-5,638,103.5421
-5,463,103.777126
-4,788,104.180134
-5,678,104.5251
-5,585,104.8251
-5,483,105.072099
-5,771,105.469128
-4,541,105.771098
-5,418,106.00114
-5,376,106.200114
-4,773,106.615134
-5,536,106.906135
-5,466,107.150098
-5,533,107.425143
-5,657,107.760098
-5,562,108.0551
-5,517,108.3301
-5,475,108.587126
-5,564,108.888098
-5,458,109.1361
-5,501,109.393129
-5,613,109.708126
-5,597,110.0151
-5,752,110.394098
-5,689,110.7551
-5,841,111.199134
-5,380,111.400135
-5,568,111.691127
-5,548,111.968098
-5,577,112.261129
-5,707,112.620125
-5,731,112.991133
-5,622,113.306098
-5,617,113.625099
-4,881,114.081125
-5,414,114.293098
-5,614,114.607099
-5,682,114.9541
-5,536,115.225125
-5,490,115.476133
-5,650,115.808135
-5,632,116.13015
-5,461,116.3631
-5,848,116.792126
-5,676,117.1381
-5,547,117.419129
-5,578,117.713125
-5,426,117.927098
-5,621,118.246135
-5,681,118.593129
-5,451,118.820099
-3,849,119.250126
-5,702,119.607134
-5,637,119.930126
-5,501,120.186134
-5,615,120.500099
-5,493,120.751099
-5,602,121.0551
-5,491,121.308099
-5,523,121.597578
-4,896,122.056539
-5,457,122.298542
-4,836,122.726569
-5,552,123.007542
-5,645,123.337543
-5,588,123.638542
-5,544,123.915542
-5,611,124.231541
-5,507,124.492568
-4,648,124.823542
-5,684,125.172542
