#{"t_start": 1604511125.9528706, "env_id": "SlimeVolley-v0"}
r,l,t
-5,537,2.579978
-5,754,3.444856
-4,684,4.23016
-4,795,5.142509
-5,511,5.70485
-5,622,6.351316
-5,820,10.532161
-5,513,11.063438
-5,659,11.746154
-5,513,12.276375
-5,393,12.683329
-5,513,13.214216
-5,527,13.759849
-5,614,17.329903
-5,962,18.436181
-4,788,19.3211
-5,648,20.004045
-5,658,20.696455
-5,993,24.626288
-5,533,25.178141
-5,538,25.736854
-5,515,26.279764
-5,570,26.874012
-4,685,27.589864
-5,721,28.3478
-5,601,31.798665
-5,506,32.331131
-5,492,32.849271
-5,596,33.474874
-5,628,34.13543
-5,489,34.675834
-5,1009,35.758444
-5,1024,39.642127
-5,567,40.228335
-5,620,40.869333
-5,443,41.327589
-5,748,42.101964
-5,598,42.721692
-5,560,46.131633
-5,569,46.732762
-3,779,47.55478
-5,557,48.142931
-5,569,48.742442
-5,618,49.394708
-4,723,53.102723
-5,568,53.756336
-5,712,54.549251
-5,603,55.17914
-5,573,55.806383
-5,441,56.264656
-5,563,56.850029
-5,366,57.230692
-5,544,60.65908
-5,387,61.089028
-5,1246,62.466532
-5,468,62.983598
-5,611,63.62959
-5,1104,67.620337
-5,437,68.079544
-5,1068,69.212109
-5,715,69.975482
-5,626,70.634552
-5,799,71.476774
-5,562,76.49757
-5,662,77.186803
-5,970,78.191334
-5,580,78.80169
-5,853,79.738806
-5,423,80.205891
-5,587,83.754222
-5,550,84.361441
-5,858,85.273307
-5,501,85.792672
-5,485,86.294773
-5,686,87.010784
-5,519,87.587814
-5,545,90.971748
-4,781,91.782094
-3,770,92.587008
-5,565,93.182081
-5,564,93.776538
-5,499,94.30213
-5,594,94.926739
-5,591,98.460166
-5,604,99.128002
-5,583,99.773474
-5,711,100.560896
-5,487,101.099839
-5,875,102.068193
-5,560,105.584903
-3,605,106.222268
-5,536,106.79055
-5,529,107.347898
-5,392,107.7606
-5,899,108.706288
-5,474,109.197904
-5,460,112.526299
-5,436,112.984917
-5,648,113.707268
-4,717,114.530877
-4,899,115.523268
-5,827,116.37905
-5,514,116.910822
-5,694,120.488192
-5,494,120.99977
-5,752,121.780594
-5,728,122.534369
-5,525,123.084417
-5,653,123.772658
-5,519,127.137588
-5,794,127.965261
-5,680,128.674826
-5,644,129.353009
-5,683,130.070508
-4,596,130.688859
-5,540,134.092955
-5,848,134.972225
-3,830,135.86895
-5,919,136.886058
-4,600,137.549492
-5,637,138.252561
-5,615,141.849829
-5,633,142.550457
-5,624,143.231034
-5,539,143.799561
-5,871,144.710006
-5,653,145.38684
-5,410,148.700328
-5,722,149.49785
-5,660,150.227883
-5,634,150.928947
-5,414,151.387756
-5,494,151.935191
-5,834,152.856897
-5,547,156.337783
-5,522,156.886313
-5,679,157.589698
-5,535,158.143502
-5,732,158.901723
-5,567,159.489293
-4,819,163.178138
-5,442,163.644771
-4,801,164.491276
-5,527,165.049062
-4,632,165.712304
-5,453,166.189273
-5,668,166.923779
-5,687,170.601113
-5,926,171.625142
-5,453,172.126966
-5,690,172.889343
-5,705,173.669321
-5,625,174.36057
-5,483,174.894441
-4,872,178.787814
-5,577,179.429052
-3,673,180.671953
-5,670,181.451096
-5,722,182.242184
-5,740,183.053299
-5,458,183.556269
-5,777,184.407416
-5,750,185.239216
-5,609,185.918824
-5,875,186.885824
-5,547,187.496181
-5,642,188.211838
-5,602,188.883689
-5,620,189.575113
-5,775,190.438627
-5,842,191.362238
-5,534,191.957253
-5,479,192.490935
-5,719,193.290238
-4,702,194.070491
-5,678,194.812807
-5,651,195.528157
-5,435,196.004793
-5,574,196.635065
-5,623,197.326323
-5,569,197.957441
-5,748,198.780431
-5,768,199.622947
-5,422,200.084532
-5,624,200.775128
-4,757,201.620959
-5,527,202.245434
-5,762,203.16812
-5,552,203.836566
-5,630,204.599197
-5,784,205.50265
-5,497,206.050306
-5,739,206.859946
-4,543,207.466567
-5,388,207.903525
-5,558,208.552939
-5,531,209.144559
-5,543,209.739306
-5,542,210.332448
-5,586,210.973905
-5,498,211.521174
-5,424,211.988785
-5,437,212.480325
-5,702,213.296755
-5,861,214.295596
-4,561,214.910233
-5,1070,216.080589
-5,862,217.026197
-4,678,217.767285
-5,630,218.468268
-5,621,219.160661
-5,655,219.882705
-3,951,220.936058
-5,612,221.639768
-5,455,222.160243
-4,697,222.923515
-5,578,223.561931
-5,604,224.250915
-5,709,225.074149
-5,567,225.73426
-4,655,226.495934
-5,508,227.087369
-5,630,227.819946
-5,527,228.431852
-5,565,229.087993
-5,582,229.764024
-5,425,230.257659
-5,472,230.806366
-5,808,231.704776
-5,895,232.713576
-5,677,233.499227
-5,776,234.39991
-5,518,234.9935
-4,1017,236.119143
-4,741,236.939703
-5,578,237.584515
-5,698,238.362899
-5,460,238.876144
-5,488,239.421485
-5,741,240.24782
-5,460,240.760648
-4,763,241.621306
-5,506,242.175067
-5,542,242.76911
-5,596,243.422697
-5,634,244.117088
-5,439,244.597486
-5,705,245.374778
-5,591,246.023314
-5,816,246.922531
-5,622,247.615448
-5,751,248.438713
-5,614,249.113958
-5,674,249.853132
-5,448,250.34394
-5,470,250.858873
-5,570,251.499504
-5,453,251.969074
-4,739,252.734739
-5,524,253.284606
-5,643,256.882267
-5,629,257.580456
-4,846,258.518382
-5,659,259.248525
-5,523,259.828827
-5,539,260.426243
-5,484,263.88761
-5,492,264.433258
-4,678,265.182808
-5,477,265.710145
-4,486,266.247742
-5,805,267.138908
-5,637,267.843271
-5,469,271.286202
-5,578,271.927764
-5,681,272.681849
-5,610,273.356095
-5,578,273.995339
-3,775,274.852479
-5,449,275.337289
-5,525,278.735436
-5,465,279.217689
-5,710,279.95369
-5,915,280.903764
-5,582,281.507596
-5,770,282.305762
-5,645,285.820134
-5,504,286.342178
-5,651,287.018321
-5,617,287.662718
-5,459,288.137827
-5,407,288.559311
-5,470,289.046036
-5,530,289.595899
-5,621,293.239141
-4,822,294.124499
-5,686,294.848668
-5,890,295.774473
-5,530,296.330767
-5,559,296.920123
-5,665,300.467345
-4,798,301.294565
-5,541,301.855433
-5,514,302.389114
-5,508,302.923452
-5,644,303.60275
-5,642,304.275231
-5,519,307.684685
-5,865,308.655999
-4,605,309.327519
-5,607,310.001138
-5,441,310.489453
-5,460,310.999031
-5,488,311.538915
-5,733,315.205301
-5,595,315.821557
-5,488,316.327471
-5,520,316.866206
-5,657,317.608676
-4,715,318.432483
-5,421,318.919133
-5,502,322.407622
-5,583,323.022691
-5,548,323.592069
-5,456,324.065308
-5,617,324.705604
-3,772,325.518756
-5,866,329.364423
-5,435,329.846189
-5,1040,330.997683
-5,488,331.539278
-4,847,332.478297
-5,588,333.129777
-5,518,333.705188
-5,844,337.543111
-5,730,338.315381
-5,475,338.818163
-5,562,340.644454
-5,535,341.527926
-5,690,342.256327
-5,563,345.71735
-5,409,346.140768
-5,450,346.60673
-5,616,347.244507
-5,652,347.926577
-5,806,348.776854
-5,589,349.396854
-5,888,353.215076
-4,959,354.217955
-5,496,354.733068
-5,432,355.182571
-5,460,355.661529
-4,624,356.320449
-5,541,356.892698
-4,684,360.49613
-5,480,361.002176
-5,491,361.519058
-5,563,362.110958
-5,687,362.823274
-5,782,363.672571
-5,883,367.553999
-5,453,368.055036
-5,583,368.70143
-5,765,369.54773
-5,588,370.198238
-5,658,370.927135
-5,508,371.492139
-5,670,375.178435
-5,791,376.059903
-5,600,376.727878
-5,565,377.356272
-5,512,377.925016
-5,568,378.555509
-5,573,382.145889
-5,711,382.933231
-5,895,383.928289
-5,477,384.457998
-4,917,385.475357
-5,711,386.264185
-3,809,390.111297
-5,578,390.750566
-5,750,391.582735
-5,711,392.370627
-5,523,392.948992
-5,735,393.761751
-5,763,397.553559
-5,609,398.229263
-5,683,398.985712
-5,893,399.976821
-5,757,400.816524
-5,656,401.544213
-5,930,405.52193
-5,528,406.107518
-5,676,406.855456
-5,638,407.563025
-5,658,408.292702
-4,706,409.07588
-5,596,412.683216
-5,476,413.209967
-5,518,413.784164
-5,720,414.579778
-5,417,415.043156
-5,875,416.016572
-5,687,419.726319
-5,625,420.419563
-5,601,421.085618
-5,546,421.690862
-5,976,422.771143
-5,532,423.359196
-5,436,423.840841
-5,566,427.41864
-4,683,428.176173
-5,547,428.782856
-5,607,429.455009
-5,679,430.205263
-5,450,431.291882
-5,599,431.975525
-5,572,432.615839
-4,1196,433.950227
-5,441,434.462462
-5,486,435.008568
-5,918,436.019592
-5,522,436.601877
-5,635,437.311179
-4,831,438.231169
-5,710,439.011317
-5,483,439.542319
-5,701,440.342706
-5,511,440.911176
-5,746,441.760259
-5,647,442.513952
-5,554,443.158876
-5,362,443.579975
-5,463,444.119114
-5,702,444.903219
-5,977,445.976831
-5,754,446.805545
-5,1021,447.937195
-5,623,448.627139
-5,398,449.072421
-5,486,449.608209
-5,699,450.385152
-4,904,451.389372
-5,570,452.016495
-5,812,452.91789
-5,616,453.640203
-5,613,454.385171
-5,534,455.032755
-5,990,456.205642
-5,579,456.880104
-5,795,457.763667
-5,618,458.44796
-3,841,459.385499
-5,584,460.030879
-5,679,460.783164
-5,511,461.343754
-5,441,461.828045
-5,517,462.399219
-5,672,463.149688
-5,577,463.786521
-5,679,464.539554
-5,433,465.022965
-5,645,465.74874
-5,699,466.597365
-5,467,467.131283
-5,923,468.162396
-5,457,468.664663
-5,483,469.225749
-5,521,469.832619
-5,459,470.350649
-4,893,471.34369
-5,522,471.927304
-5,465,472.447515
-5,496,473.00234
-5,928,474.040277
-5,416,474.505525
-5,599,475.173894
-5,567,475.799731
-5,740,476.620985
-5,515,477.190988
-5,548,477.797334
-5,442,478.292473
-5,730,479.095894
-5,552,479.705833
-5,677,480.467331
-5,471,480.995945
-5,782,481.858748
-5,529,482.445826
-5,470,482.971889
-5,525,483.583345
-5,556,484.205209
-5,666,484.950816
-4,738,485.775892
-5,681,486.524762
-4,789,487.391901
-5,676,488.141925
-5,467,488.657082
-5,515,489.224121
-5,921,490.245186
-5,634,490.947515
-5,545,491.546695
-4,913,492.551928
-5,576,493.185267
-5,843,494.125146
-5,698,494.892793
-5,557,495.504861
-4,1075,496.68717
-5,688,497.444985
-5,500,497.996045
-5,709,498.781534
-4,703,499.593485
-5,841,500.541607
-5,641,501.254706
-5,666,501.990161
-4,512,502.557878
-5,469,503.055528
-5,587,506.567607
-5,484,507.079179
-5,499,507.606662
-5,397,508.026086
-5,475,508.52824
-5,663,509.229585
