EpisodesSoFar,loss_vf_loss,EpLenMean,EpThisIter,loss_kl,loss_pol_surr,loss_pol_entpen,TimestepsSoFar,TimeElapsed,ev_tdlam_before,loss_ent,EpRewMean
6,0.02057625,650.5,6,0.008698564,-0.0068704556,0.0,4096,7.974126100540161,-0.2597315311431885,2.070903,-4.666666666666667
13,0.0180865,603.1538461538462,7,0.010824291,-0.008141211,0.0,8192,15.116889238357544,0.6720715761184692,2.0627906,-4.846153846153846
18,0.019290736,639.5,5,0.006930051,-0.0081670275,0.0,12288,22.493412256240845,0.6996271014213562,2.0475864,-4.833333333333333
25,0.016559392,642.64,7,0.004986599,-0.006783707,0.0,16384,29.59140682220459,0.792892798781395,2.038286,-4.84
32,0.01346087,637.09375,7,0.008148004,-0.008574007,0.0,20480,36.76955699920654,0.8592012524604797,2.0167623,-4.875
38,0.016183421,641.7631578947369,6,0.0055370936,-0.0068445923,0.0,24576,43.829689025878906,0.8308243304491043,2.0235736,-4.894736842105263
44,0.019597821,637.25,6,0.008744663,-0.0046078553,0.0,28672,51.089569091796875,0.7936238497495651,1.9992151,-4.863636363636363
52,0.012700012,626.6923076923077,8,0.0065171593,-0.0037511315,0.0,32768,58.34545040130615,0.8445950001478195,1.9671861,-4.865384615384615
57,0.017075958,628.8421052631579,5,0.007431485,-0.0056513376,0.0,36864,65.6222939491272,0.8069120943546295,1.9810777,-4.87719298245614
63,0.01429957,644.3333333333334,6,0.0061813,-0.006269202,0.0,40960,74.3747329711914,0.8453416973352432,1.9621941,-4.888888888888889
69,0.014817199,647.0,6,0.006028711,-0.00508675,0.0,45056,81.65256214141846,0.8393349051475525,1.9425366,-4.898550724637682
76,0.015015296,642.4868421052631,7,0.0062383506,-0.006433123,0.0,49152,88.8322286605835,0.8486902117729187,1.9172635,-4.907894736842105
83,0.01834548,640.3253012048193,7,0.005160832,-0.0059433454,0.0,53248,96.00899052619934,0.8206782191991806,1.8945823,-4.879518072289157
89,0.016648283,640.4269662921348,6,0.0065951846,-0.008696529,0.0,57344,103.44954991340637,0.823981836438179,1.8865974,-4.887640449438202
96,0.019220263,635.34375,7,0.0054041673,-0.006990209,0.0,61440,110.60286664962769,0.82296521961689,1.869531,-4.875
103,0.021808617,635.19,7,0.0060655484,-0.00558868,0.0,65536,117.89208173751831,0.7917865812778473,1.8838354,-4.87
109,0.016469376,634.45,6,0.0065793083,-0.007467041,0.0,69632,124.99343585968018,0.8099640011787415,1.88306,-4.88
115,0.01648763,638.39,6,0.005347687,-0.008729031,0.0,73728,132.11263823509216,0.8337007910013199,1.8871661,-4.87
121,0.0169488,640.55,6,0.007119968,-0.0057859607,0.0,77824,139.47301626205444,0.8010194599628448,1.8572643,-4.85
127,0.012850126,643.92,6,0.0054245093,-0.0062131286,0.0,81920,146.72993898391724,0.8546264469623566,1.8474299,-4.86
134,0.013222977,637.55,7,0.00746278,-0.006922935,0.0,86016,154.15004086494446,0.858497217297554,1.8222384,-4.86
140,0.014872529,637.99,6,0.0070989844,-0.0077930302,0.0,90112,161.24523615837097,0.8439310491085052,1.8018986,-4.86
