#{"t_start": 1603445699.4267945, "env_id": "SlimeVolley-v0"}
r,l,t
-5,517,3.181792
-5,597,4.129816
-5,561,4.982324
-5,633,5.968021
-5,759,7.004733
-5,504,7.752365
-5,466,8.457755
-5,588,9.393225
-4,774,10.541498
-5,542,11.335082
-5,553,12.139743
-5,666,13.071009
-5,537,13.94376
-5,435,14.527726
-4,494,15.265154
-5,771,16.493749
-5,665,17.620035
-5,531,18.481386
-5,610,19.439948
-5,490,20.24835
-5,613,21.302456
-5,448,21.965404
-4,644,23.064579
-5,549,23.943647
-5,770,25.080277
-5,681,26.116878
-5,634,27.011731
-5,586,27.853006
-5,678,28.885486
-5,475,29.635645
-5,581,30.508626
-4,573,31.335775
-5,635,32.320321
-5,458,33.01518
-5,695,33.983099
-5,598,34.927213
-5,690,36.04413
-5,492,36.864275
-4,801,38.039021
-5,484,38.765823
-5,494,39.506137
-5,641,40.501078
-5,454,41.207508
-5,824,42.419259
-4,602,43.279086
-5,765,44.411
-5,488,45.139628
-4,742,46.249947
-5,742,47.357389
-5,713,48.43056
-5,675,49.375019
-4,896,50.865564
-5,504,51.635043
-5,404,52.182271
-5,648,53.180749
-5,662,54.117839
-5,700,55.18063
-5,737,56.291322
-5,657,57.313656
-5,569,58.141508
-5,780,59.295784
-5,639,60.204624
-5,680,61.250311
-5,400,61.884363
-5,528,62.664278
-5,748,63.80722
-5,620,64.783016
-5,411,65.493735
-4,1145,67.177938
-5,734,68.300737
-5,422,68.962986
-5,466,69.583502
-5,744,70.698606
-5,755,71.826919
-5,728,72.923476
-4,679,73.960828
-5,742,75.070021
-5,600,75.928854
-5,759,77.057979
-5,563,77.878423
-5,585,78.725477
-5,422,79.411361
-5,527,80.208938
-5,647,81.221927
-5,402,81.768937
-4,582,82.698162
-5,769,83.844623
-5,701,84.822352
-5,572,85.739341
-5,781,86.898779
-5,597,87.758593
-5,575,88.591209
-5,459,89.292139
-5,403,89.931406
-5,882,91.205066
-5,619,92.086389
-5,578,93.012555
-5,634,93.911853
-5,722,95.00195
-5,627,95.89119
-5,659,96.907219
-5,621,97.792276
-5,542,98.663422
-4,591,99.602321
-5,705,100.668931
-4,763,101.801473
-4,744,102.829125
-5,735,103.933093
-5,516,104.697959
-5,898,106.073556
-5,591,106.922079
-5,531,107.712392
-5,517,108.479131
-5,730,109.575338
-5,626,110.565037
-5,565,111.385841
-5,492,112.123816
-5,821,113.328849
-5,454,114.023787
-5,612,114.895921
-5,696,115.961963
-5,591,116.811237
-3,838,118.033346
-5,509,118.79121
-5,504,119.544402
-5,601,120.497495
-5,684,121.487979
-4,563,122.496163
-5,533,123.366993
-4,862,124.74469
-5,429,125.479959
-5,624,126.462134
-5,563,127.366669
-5,742,128.514785
-5,663,129.545967
-5,808,130.732944
-5,691,131.790649
-5,541,132.597967
-5,616,133.478055
-5,490,134.217473
-5,540,135.009978
-5,547,135.809889
-5,626,136.790454
-5,428,137.368065
-5,685,138.418564
-5,604,139.285631
-5,704,140.37974
-5,678,141.420689
-3,970,143.015725
-5,733,144.231062
-5,724,145.23549
-5,481,145.963827
-4,876,147.319591
-5,1028,148.850508
-5,1068,150.437758
-5,561,151.256285
-5,633,152.156589
-5,475,152.882154
-5,636,154.443952
-5,813,155.419923
-5,539,156.066339
-5,595,156.783895
-5,675,157.594144
-5,473,158.163074
-5,680,158.979875
-5,686,159.803987
-5,938,160.929305
-5,595,161.642811
-5,521,162.268345
-5,604,162.99493
-5,598,163.71166
-5,561,164.384829
-5,531,165.022514
-5,549,165.680293
-4,861,166.711987
-5,745,167.604386
-5,638,168.368722
-4,688,169.200968
-5,722,170.070091
-5,628,170.824543
-5,661,171.617652
-5,603,172.341295
-5,433,172.861027
-5,522,173.486633
-4,650,174.266043
-5,441,174.794887
-5,557,175.46266
-4,917,176.561573
-5,694,177.39481
-5,627,178.146302
-4,787,179.090012
-5,590,179.799984
-5,516,180.419473
-5,600,181.143964
-4,1004,182.360306
-5,425,182.871176
-5,561,183.545321
-5,509,184.158756
-5,439,184.684563
-5,595,185.398409
-5,614,186.134586
-5,677,186.946552
-5,806,187.912976
-5,760,188.825814
-5,626,189.580682
-5,942,190.710606
-5,665,191.508116
-5,739,192.393989
-5,703,193.235729
-5,715,194.095423
-5,542,194.744423
-5,638,195.510294
-5,412,196.003522
-5,770,196.925883
-5,551,197.585179
