#{"t_start": 1604124874.170813, "env_id": "SlimeVolley-v0"}
r,l,t
-5,452,1.107146
-5,564,1.431576
-5,516,1.727231
-5,505,2.017472
-5,669,2.408172
-5,665,2.837575
-5,462,3.136333
-5,619,5.179418
-5,802,5.637506
-5,525,5.937399
-5,454,6.196937
-5,667,6.577406
-5,537,6.883953
-5,562,7.209729
-5,636,9.058265
-5,518,9.390391
-5,499,9.709393
-5,669,10.139587
-5,475,10.443852
-5,569,10.808068
-5,424,11.079793
-5,616,12.994577
-5,557,13.314572
-5,684,13.706028
-5,578,14.037551
-5,476,14.310607
-5,1121,14.95342
-4,858,17.004814
-4,661,17.429127
-5,572,17.795138
-5,685,18.234756
-4,683,18.672626
-5,552,19.027156
-4,615,19.42153
-5,635,21.366692
-5,635,21.772837
-5,582,22.146489
-5,560,22.504834
-5,602,22.889313
-4,747,23.367753
-4,696,25.35343
-5,429,25.627461
-5,723,26.090358
-5,639,26.500294
-5,412,26.764445
-5,523,27.099745
-5,639,27.510353
-5,806,29.567213
-5,448,29.854053
-5,633,30.261086
-5,816,30.785797
-5,1014,31.436695
-5,472,31.739547
-5,597,33.660204
-4,571,34.026658
-5,442,34.31033
-5,575,34.67892
-5,488,34.991699
-5,879,35.555713
-4,1014,37.740144
-3,662,38.164932
-5,589,38.542546
-5,630,38.946537
-5,409,39.208731
-5,806,39.725457
-5,817,40.250491
-5,495,42.106035
-5,549,42.45962
-5,762,42.949468
-5,548,43.270016
-3,899,43.785432
-5,461,44.063598
-5,529,45.796617
-5,560,46.154842
-5,553,46.509373
-5,624,46.90951
-5,651,47.327008
-5,489,47.640459
-5,748,48.120106
-5,572,50.024866
-5,687,50.465081
-4,686,50.904387
-5,617,51.299109
-5,658,51.71999
-5,752,52.201692
-5,750,54.174909
-5,569,54.501048
-5,761,54.937821
-3,963,55.490103
-5,790,55.942141
-5,611,56.292844
-5,670,58.091525
-5,396,58.319705
-5,683,58.713537
-5,537,59.023101
-5,521,59.324062
