#{"t_start": 1603815127.7861204, "env_id": "SlimeVolley-v0"}
r,l,t
-5,494,1.367194
-5,589,1.848064
-5,544,2.258553
-5,748,2.834164
-5,766,3.417098
-5,452,3.734173
-5,466,4.019422
-5,736,4.524301
-5,589,4.951969
-5,507,5.296561
-5,550,5.665948
-4,705,6.115456
-5,613,6.555186
-5,486,6.889266
-4,491,7.225563
-5,795,7.761673
-5,776,8.287376
-5,531,8.645927
-5,662,9.072355
-5,490,9.409425
-5,625,9.856443
-5,406,10.10939
-4,658,10.573527
-5,726,11.072983
-5,545,11.439722
-5,670,11.910807
-5,698,12.357134
-5,513,12.706196
-5,732,13.21002
-5,474,13.538995
-5,421,13.838686
-4,573,14.220192
-5,546,14.588631
-5,472,14.916184
-5,569,15.293728
-5,610,15.693824
-5,615,16.135433
-5,533,16.495192
-5,610,16.90004
-5,531,17.268043
-5,514,17.619556
-5,619,18.063638
-5,497,18.403971
-5,581,18.788432
-5,543,19.153751
-5,564,19.52944
-5,541,19.894193
-5,686,20.430896
-4,752,20.975476
-4,758,21.491748
-5,547,21.857554
-5,629,22.306386
-5,480,22.59961
-5,481,22.932214
-5,531,23.28916
-5,443,23.600668
-5,557,23.971519
-5,625,24.416418
-4,584,24.800446
-5,612,25.199452
-5,522,25.55259
-5,502,25.894139
-5,529,26.286786
-5,442,26.559015
-5,484,26.89086
-5,689,27.4251
-5,542,27.831154
-5,481,28.201058
-4,669,28.683149
-5,658,29.198352
-5,386,29.51058
-5,452,29.819591
-5,547,30.229528
-4,843,30.89906
-5,489,31.27494
-4,699,31.775424
-5,742,32.342577
-5,831,32.962411
-5,542,33.411135
-5,612,33.861274
-5,581,34.293074
-5,423,34.630404
-5,494,35.010594
-5,454,35.36601
-5,402,35.648011
-4,726,36.206335
-5,839,36.832181
-5,703,37.374992
-5,601,37.816177
-5,517,38.207908
-5,488,38.582881
-5,889,39.278523
-5,902,39.940189
-5,578,40.411278
-5,890,41.065259
-5,704,41.607698
-5,534,42.008229
-5,551,42.420356
-5,408,42.747656
-5,605,43.189904
-5,708,43.736927
-5,528,44.135504
-5,542,44.542546
-4,591,44.978964
-5,761,45.558622
-4,968,46.304749
-4,747,46.876478
-5,735,47.440486
-5,522,47.834666
-5,702,48.380419
-5,596,48.819736
-5,468,49.181662
-5,438,49.483617
-5,918,50.199443
-5,642,50.709446
-5,428,51.006271
-5,492,51.382679
-5,755,51.957206
-5,468,52.321551
-5,460,52.681477
-5,696,53.179748
-5,625,53.679211
-3,849,54.31358
-5,527,54.702561
-5,554,55.074965
-5,760,55.595373
-4,1154,56.401156
-5,739,56.909782
-5,755,57.42709
-5,712,57.920393
-5,511,58.269758
-5,631,58.683118
-5,579,59.067276
-5,677,59.543768
-4,768,60.067392
-5,544,60.434283
-5,529,60.794017
-5,491,61.131944
-5,742,61.640692
-5,495,61.980606
-5,549,62.350161
-5,519,62.706204
-5,594,63.098673
-5,428,63.403211
-5,620,63.807616
-5,604,64.244305
-5,648,64.66551
-5,639,65.120106
-4,667,65.549585
-5,548,65.955403
-4,804,66.497381
-5,478,66.827643
-4,808,67.373243
-5,581,67.759987
-5,1004,68.447987
-5,551,68.819871
-5,611,69.220573
-5,457,69.541263
-5,606,69.980387
-5,615,70.383642
-5,796,70.921841
-5,584,71.309096
-5,744,71.819904
-5,641,72.275744
-5,427,72.60497
-5,898,73.133078
-5,596,73.484878
-5,562,73.816724
-5,747,74.255777
-5,574,74.594237
-4,776,75.059662
-5,656,75.491068
-5,562,75.8602
-5,518,76.167437
-5,703,76.593952
-5,793,77.112803
-5,672,77.553649
-5,560,77.921604
-4,638,78.342274
-5,750,78.825195
-4,568,79.18063
-4,744,79.639669
-5,491,79.927629
-5,591,80.296184
-5,539,80.649392
-4,650,81.074936
-5,579,81.45405
-5,730,81.931554
-4,972,82.523006
-5,591,82.869924
-5,499,83.163822
-5,601,83.517925
-4,837,84.009438
-5,539,84.325686
-5,480,84.609007
-5,569,84.96765
-5,474,85.278119
-5,672,85.719587
-5,423,85.996311
-5,462,86.299983
-5,611,86.70142
-5,483,87.018629
-5,740,87.504359
-4,830,88.047969
-5,575,88.424299
-4,665,88.859933
-5,645,89.281628
-5,681,89.728766
-5,595,90.119091
-5,679,90.566219
-5,646,90.991719
-5,500,91.320809
-5,430,91.604027
-5,611,92.003971
-5,501,92.33127
-5,585,92.71339
-4,794,93.231822
-5,451,93.528913
-5,764,94.03163
-5,587,94.418231
-5,570,94.793502
-5,611,95.195912
-5,442,95.486314
-5,493,95.810053
-5,489,96.129785
-5,694,96.583413
-5,537,96.934215
-5,451,97.228671
-5,541,97.582025
-5,600,97.974486
-5,500,98.302502
-5,458,98.603203
-5,391,98.859564
-5,608,99.25673
-5,594,99.644741
-5,475,99.955051
-5,433,100.239189
-5,645,100.660325
-5,548,101.018429
-5,658,101.44854
-5,794,101.96756
-5,501,102.297611
-5,411,102.56867
-5,683,103.016994
-4,766,103.51881
-5,608,103.916901
-5,829,104.458915
-3,1006,105.115826
-4,708,105.58151
-4,794,106.103462
-5,564,106.473534
-5,576,106.852094
-5,495,107.176474
-5,632,107.590607
-5,525,107.934658
-4,678,108.378563
-5,693,108.831839
-5,717,109.300974
-5,648,109.724968
-5,957,110.351955
-5,489,110.672244
-5,470,110.980575
-5,528,111.327682
-5,622,111.736466
-5,448,112.030113
-5,572,112.404614
-5,831,112.948703
-5,680,113.39385
-5,475,113.705201
-5,606,114.102563
-5,501,114.430904
-4,923,115.034878
-2,899,115.624371
-5,470,115.932926
-5,498,116.259695
-5,770,116.764718
-5,673,117.205717
-5,665,117.63996
-5,435,117.924073
-5,572,118.297685
-5,704,118.757723
-5,673,119.197474
-5,668,119.633638
-5,636,120.048879
-5,415,120.320141
-5,597,120.709623
-5,747,121.196886
-5,571,121.570668
-5,662,122.003867
-4,808,122.531004
-5,655,122.959763
-5,595,123.350038
-5,580,123.730263
-5,524,124.07285
-5,639,124.490289
-5,650,124.914826
-5,471,125.222862
-5,650,125.647671
-4,895,126.232036
-5,691,126.683809
-5,602,127.077354
-5,716,127.545041
-4,610,127.9443
-5,776,128.451603
-5,470,128.759263
-5,463,129.06233
-5,723,129.536872
-4,707,130.000634
-5,532,130.349125
-5,735,130.830621
-5,981,131.472427
-5,569,131.84455
-5,626,132.254267
-5,580,132.633476
-5,501,132.961257
-5,563,133.329184
-5,381,133.5784
-5,711,134.04304
-5,644,134.463598
-5,603,134.857713
-4,725,135.332041
-5,579,135.710574
-5,577,136.088022
-5,679,136.531933
-5,575,136.907984
-5,513,137.243422
-5,453,137.539756
-5,678,137.983157
-5,531,138.330567
-5,774,138.83674
-5,584,139.21869
-5,622,139.625249
-5,658,140.054757
-5,482,140.369705
-5,732,140.847483
-5,483,141.163191
-5,757,141.657146
-5,530,142.003133
-5,514,142.338705
-4,654,142.766109
-5,588,143.151644
-5,610,143.55185
-5,487,143.870775
-5,657,144.299909
-5,623,144.707541
-5,730,145.185846
-5,749,145.641424
-5,660,146.064063
-5,510,146.364582
-5,609,146.724705
-4,707,147.142115
-5,736,147.612238
-5,526,147.957705
-4,738,148.441971
-5,515,148.748986
-5,868,149.259171
-4,563,149.591469
-5,762,150.041164
-5,471,150.351551
-5,518,150.657722
-5,387,150.887234
-5,562,151.218301
-5,509,151.518708
-4,522,151.85711
-5,371,152.100852
-5,558,152.467438
-4,969,153.10277
-5,430,153.384418
-5,546,153.742653
-5,625,154.15141
-5,796,154.671023
-5,768,155.173675
-4,641,155.594619
-4,794,156.113475
-5,808,156.641341
-5,443,156.931071
-5,686,157.3808
-5,724,157.85746
-4,841,158.410976
