#{"t_start": 1603199020.8937356, "env_id": "SlimeVolley-v0"}
r,l,t
-5,408,3.372685
-5,567,4.025169
-4,757,6.007468
-5,447,6.69381
-5,552,7.327803
-5,526,8.104042
-5,436,8.604858
-5,546,9.406226
-5,760,10.279362
-5,565,11.099571
-5,530,11.708185
-4,708,12.691482
-5,620,13.573421
-5,622,14.286839
-4,539,15.078408
-5,699,16.053469
-5,539,16.67302
-5,487,17.418669
-5,653,18.316756
-5,643,19.324334
-4,656,20.079339
-5,747,21.131807
-4,656,22.081208
-5,978,23.399302
-5,495,23.969391
-5,550,24.787356
-5,689,25.57912
-5,481,26.351317
-5,434,26.85036
-5,702,27.855866
-5,595,28.893868
-5,595,29.757339
-5,666,30.782069
-5,423,31.251958
-5,783,32.320781
-4,658,33.237317
-5,949,34.503699
-5,583,35.15064
-5,451,35.843942
-5,584,36.663339
-5,421,37.397611
-5,661,38.129892
-5,561,38.928955
-4,791,39.999146
-5,513,40.568071
-5,489,41.344578
-5,574,41.981005
-5,506,42.720784
-4,711,43.509078
-5,636,44.489983
-5,803,45.596613
-5,564,46.22115
-5,546,47.004364
-5,493,47.725228
-5,456,48.643741
-5,435,49.167515
-4,1081,50.603709
-5,775,51.676118
-5,431,52.170418
-5,505,53.007754
-5,477,53.55617
-4,568,54.415571
-5,546,55.042659
-4,728,56.072274
-5,574,57.073155
-5,465,57.764212
-3,865,59.154216
-5,1017,60.47199
-5,505,61.032599
-5,675,61.990026
-5,437,62.661599
-5,834,63.587578
-4,559,64.413106
-4,572,65.048842
-5,649,66.01548
-5,615,66.884351
-5,628,67.581324
-5,489,68.392942
-4,585,69.249747
-4,783,70.352849
-5,676,71.274357
-5,401,71.720769
-4,514,72.47083
-5,653,73.194731
-5,563,73.997381
-5,591,74.652852
-5,582,75.488075
-5,571,76.301431
-5,658,77.031325
-5,599,77.87455
-5,395,78.313346
-5,670,79.23437
-5,456,79.73967
-4,685,80.88635
-5,697,82.170717
-5,623,83.091741
-5,618,83.953297
-5,514,84.521642
-4,686,85.461359
-5,515,86.225411
-5,678,86.976301
-5,554,87.76899
-5,454,88.271668
-5,572,89.084827
-5,503,89.734416
-5,487,90.682813
-5,457,91.351202
-5,612,92.42498
-5,472,92.965047
-5,677,93.924042
-5,483,94.478047
-5,553,95.296419
-5,460,95.825778
-5,563,96.655544
-5,876,97.845095
-5,647,98.58949
-5,628,99.495657
-5,453,100.015475
-5,567,100.851954
-5,520,101.645492
-5,457,102.170899
-5,405,102.634953
-5,550,103.448708
-5,555,104.087937
-5,511,104.85057
-5,486,105.410462
-5,577,106.270476
-4,646,107.207834
-5,624,107.925578
-5,582,108.769433
-5,619,109.51462
-5,626,110.639052
-5,589,111.760947
-5,528,112.540064
-5,636,113.711883
-5,417,114.319468
-5,712,115.583273
-5,686,116.606071
-5,690,117.888171
-5,727,119.15741
-5,429,119.634524
-4,962,120.886012
-5,659,122.086521
-5,754,123.432145
-5,588,124.19319
-5,394,124.82744
-5,832,125.781032
-4,711,126.893181
-5,565,127.72692
-5,540,128.348594
-5,663,129.352542
-5,440,129.967741
-5,578,131.036598
-5,561,131.85842
-5,428,132.58036
-5,658,133.308607
-5,671,134.244122
-5,596,135.09632
-5,666,135.834888
-5,696,136.810379
-5,533,137.399836
-5,625,138.2718
-5,646,139.181022
-5,647,139.898983
-5,638,140.917515
-5,712,142.20155
-5,534,143.907612
-5,586,144.808669
-5,656,145.821695
-5,446,146.491549
-5,816,147.761246
-5,861,149.081199
-5,617,150.04157
-5,470,150.765963
-5,697,151.836709
-5,641,152.800267
-5,581,153.659254
-5,578,154.387836
-4,846,155.566205
-5,491,156.32244
-4,603,157.24906
-5,470,157.837833
-5,889,158.910201
-5,567,159.594237
-5,704,160.443997
-5,651,161.229866
-5,430,161.772487
-5,638,162.76711
-5,466,163.493227
-5,743,164.650675
-5,632,165.602714
-5,524,166.379337
-5,570,167.237736
-5,634,168.225476
-4,715,169.341908
-5,462,169.969829
-5,749,170.876802
-5,579,171.579865
-5,597,172.303216
-5,531,172.945396
-5,484,173.531297
-5,571,174.363084
-5,677,175.374594
-5,538,176.196527
-5,751,177.121761
-5,619,177.870148
-5,591,178.585632
-3,668,179.417626
-5,480,180.001146
-5,545,180.664436
-5,654,181.456203
-5,544,182.95264
-5,500,184.293058
-4,663,185.106957
-5,508,185.720577
-4,576,186.427365
-5,584,187.135668
-4,570,187.971848
-5,484,188.724323
-4,787,189.918072
-5,663,190.930496
-5,642,191.912488
-5,513,192.699963
-5,653,193.512725
-4,895,194.554015
-5,505,195.141991
-5,632,195.875217
-3,1036,197.079452
-5,567,197.739504
-4,608,198.446253
-4,887,199.665277
-5,414,200.297059
-4,570,201.155678
-5,506,201.930253
-5,399,202.551709
-5,572,203.416345
-5,641,204.406324
-5,613,205.355599
-5,564,206.203971
-5,633,207.178947
-5,496,207.912975
-5,587,208.597805
-5,543,209.229653
-5,663,210.004152
-5,718,210.841682
-5,415,211.325396
-5,694,212.135632
-5,588,212.821306
-5,478,213.379298
-4,529,213.996821
-4,584,214.676742
-5,486,215.242085
-5,561,215.897052
-5,676,216.685632
-5,538,217.312675
-5,458,217.847119
-4,625,218.574665
-3,799,219.766188
-5,558,220.623609
-5,544,221.470533
-5,721,222.564356
-5,600,223.459552
-5,487,224.207599
-5,591,225.099673
-5,446,225.794214
-5,714,226.906854
-5,524,227.722893
-5,552,228.470443
-5,477,229.051487
-4,654,229.843369
-5,550,230.50828
-4,700,231.3562
-5,745,232.25727
-5,468,232.824058
-5,652,233.613821
-5,445,234.152351
-5,636,234.921979
-5,541,235.57626
-5,598,236.299264
-5,584,237.006148
-4,664,237.808916
-5,731,238.860417
-5,454,239.56655
-5,478,240.305557
-5,450,240.996605
-4,623,241.759589
-5,490,242.351724
-5,629,243.130041
-5,398,243.736942
-5,847,245.054573
-5,504,245.83845
-5,503,246.599037
-4,913,247.998478
-5,578,248.87443
-5,558,249.731522
-5,442,250.41214
-5,474,250.9836
-5,492,251.556579
-5,602,252.260275
-5,464,252.802551
-5,617,253.522676
-5,484,254.087732
-5,482,254.649252
-5,529,255.265646
-5,470,255.813068
-5,712,256.643602
-5,598,257.340148
-5,525,257.953137
-5,725,259.013719
-5,655,260.020739
-5,636,260.986275
-5,762,262.172587
-5,445,262.853914
-5,677,263.878012
-5,707,264.953409
-5,454,265.648662
-5,495,266.398435
-5,488,267.15202
-5,551,267.997726
-4,672,269.032983
-5,499,269.674817
-5,508,270.268421
-5,459,270.80475
-5,647,271.561202
-5,573,272.230263
-5,565,272.999109
-5,621,273.939597
-5,452,274.6369
-5,466,275.355293
-5,507,276.136594
-5,479,276.8731
-5,678,277.917138
-5,552,278.757028
-5,485,279.490131
-5,504,280.188384
-5,625,280.914868
-4,596,281.607627
-5,518,282.21117
-5,484,282.77425
-5,644,283.524036
-5,489,284.092221
-5,683,284.885951
-5,620,285.607157
-5,385,286.14513
-5,525,286.954558
-5,405,287.567298
-5,540,288.240074
-5,560,288.934581
