#{"t_start": 1603576175.6954255, "env_id": "SlimeVolley-v0"}
r,l,t
-5,493,1.484898
-5,675,2.382487
-5,550,2.739053
-5,734,3.292276
-5,522,3.630398
-5,496,4.026832
-5,466,4.330064
-5,605,4.798398
-5,530,5.143473
-5,505,5.5473
-5,495,5.868929
-4,658,6.354231
-5,546,6.761416
-5,426,7.022894
-4,491,7.32493
-5,646,7.795334
-5,690,8.292007
-5,532,8.618743
-5,691,9.115354
-5,503,9.424264
-5,588,9.857589
-5,426,10.119821
-4,642,10.606029
-5,712,11.234771
-5,543,11.642793
-5,560,12.156708
-5,892,12.801584
-5,576,13.156091
-5,723,13.668499
-5,467,13.953754
-5,473,14.314517
-4,657,14.785019
-5,640,15.177955
-5,460,15.531543
-5,637,15.922601
-5,521,16.314344
-5,615,16.691729
-5,561,17.10796
-5,671,17.589987
-5,502,17.898081
-5,595,18.334728
-5,663,18.73912
-5,486,19.109206
-5,876,19.720114
-5,556,20.062546
-5,683,20.554321
-5,614,20.930206
-5,766,21.472987
-5,821,22.049469
-4,797,22.611093
-5,608,22.984821
-5,724,23.500266
-4,544,23.905154
-5,502,24.214456
-5,531,24.60987
-5,445,24.883024
-5,560,25.301176
-5,951,25.957216
-4,691,26.380378
-5,727,26.899398
-5,522,27.221548
-5,579,27.650399
-4,857,28.249667
-5,400,28.495721
-5,528,28.893851
-5,748,29.353526
-4,648,29.82343
-5,396,30.066242
-5,814,30.637753
-5,508,31.022648
-5,415,31.277823
-5,514,31.664422
-5,869,32.268373
-5,717,32.707726
-4,764,33.249259
-4,913,33.87954
-5,681,34.368102
-5,740,34.821148
-5,786,35.376976
-5,504,35.757942
-5,459,36.040566
-5,446,36.314959
-5,585,36.744969
-5,529,37.069977
-4,470,37.430158
-5,554,37.772741
-4,727,38.293101
-5,633,38.753715
-5,802,39.318199
-5,981,39.994357
-5,701,40.42298
-5,717,40.934305
-5,459,41.21554
-5,515,41.602774
-5,734,42.124754
-5,647,42.522
-5,678,43.011065
-5,571,43.362532
-5,452,43.712869
-5,492,44.015436
-5,463,44.371402
-5,439,44.641425
-5,605,45.0872
-5,517,45.406056
-5,655,45.982816
-4,783,46.665245
-5,996,47.477599
-5,735,47.956539
-5,574,48.405347
-5,619,48.933928
-5,596,49.389854
-5,650,49.903895
-5,527,50.247995
-5,579,50.696258
-5,520,51.032264
-5,545,51.457872
-5,492,51.7764
-5,1153,52.672155
-5,454,52.967049
-5,496,53.289798
-5,692,53.811891
-5,693,54.350482
-3,830,55.092183
-5,509,55.44233
-5,504,55.843972
-5,603,56.232876
-5,652,56.731774
-5,463,57.031084
-5,520,57.442791
-4,714,58.017442
-5,511,58.418977
-5,543,58.932815
-5,634,59.361859
-5,718,59.872968
-4,838,60.456669
-5,577,60.808365
-5,565,61.224671
-5,611,61.597589
-5,540,62.027536
-5,536,62.440133
-5,560,62.969491
-5,751,63.609652
-5,615,64.009052
-5,428,64.362109
-5,769,64.93804
-5,604,65.329105
-5,606,65.797652
-5,716,66.259577
-4,701,66.788914
-5,547,67.218279
-4,925,67.893796
-5,486,68.209405
-4,937,68.89056
-5,622,69.366447
-5,1004,70.020127
-5,638,70.513892
-5,763,71.205521
-5,481,71.583582
-5,555,72.103548
-5,686,72.728382
-5,602,73.195247
-5,797,73.971708
-4,942,74.787786
-5,919,75.591073
-5,449,75.985688
-5,922,76.790396
-4,1104,77.728153
-5,384,78.048339
-5,603,78.542297
-5,692,79.034936
-4,670,79.510992
-5,595,79.935174
-5,774,80.486209
-5,762,81.026943
-4,695,81.519755
-5,603,81.9492
-5,622,82.392613
-4,694,82.887687
-4,968,83.680164
-5,748,84.316596
-5,629,84.836783
-5,576,85.313288
-5,464,85.696384
-5,569,86.165203
-4,650,86.707958
-5,540,87.166552
-5,571,87.644659
-4,934,88.422122
-5,795,89.084829
-5,491,89.49004
-5,671,90.047699
-5,509,90.485975
-5,575,90.962034
-5,581,91.447475
-4,758,92.058979
-5,532,92.436859
-5,503,92.793962
-3,790,93.354024
-5,499,93.708494
-5,564,94.109736
-5,439,94.421327
-5,592,94.842216
-3,1112,95.688711
-5,623,96.231242
-5,576,96.680901
-5,843,97.24727
-5,801,97.787096
-5,759,98.29935
-5,522,98.650352
-5,618,99.066146
-5,670,99.516615
-5,577,99.905227
-5,564,100.285884
-4,809,100.830508
-5,521,101.181082
-2,1014,101.862936
-5,401,102.132655
-5,497,102.466187
-5,491,102.796864
-5,564,103.176917
-4,730,103.667109
-5,440,103.962788
-5,500,104.298733
-5,634,104.723114
-5,817,105.270588
-5,539,105.63149
-5,493,105.963783
-5,528,106.361103
-4,606,106.865681
-5,588,107.357599
-5,426,107.714065
-5,399,108.051858
-5,614,108.575709
-5,702,109.188074
-5,529,109.644995
-5,498,110.073657
-4,1018,110.933197
-5,403,111.268898
-5,944,112.056388
-5,518,112.503445
-5,570,112.911089
-4,597,113.335378
-5,976,114.029068
-5,589,114.446725
-5,624,114.890574
-5,723,115.424543
-5,660,115.997155
-5,503,116.434368
-5,663,116.995811
-5,564,117.462305
-5,648,117.983374
-5,405,118.271718
-5,730,118.863206
-5,525,119.300201
-5,755,119.932681
-5,635,120.463392
-5,661,121.014968
-4,693,121.59207
-5,1214,122.614754
-5,489,123.03777
-5,471,123.444376
-5,519,123.897059
-5,622,124.407931
-5,423,124.778074
-5,661,125.350808
-5,857,126.069814
-5,618,126.594502
-5,475,126.948773
-5,560,127.353496
-5,475,127.761092
-5,873,128.4907
-5,604,128.99028
-4,863,129.703464
-5,513,130.15198
-5,613,130.684103
-5,647,131.245723
-5,436,131.627511
-4,675,132.21839
-5,409,132.573288
-5,583,133.077662
-4,588,133.590316
-5,528,134.032722
-5,701,134.613305
-5,533,135.059039
-5,608,135.564714
-4,726,136.171024
-5,586,136.669858
-5,842,137.391855
-4,1091,138.301609
-5,809,138.988595
-5,604,139.510834
-5,580,140.01608
-5,464,140.403828
-5,724,140.997574
-5,481,141.395965
-5,471,141.786298
-5,605,142.302912
-4,936,143.089905
-5,682,143.658693
-5,641,144.174032
-5,1032,144.86953
-4,570,145.254459
-5,747,145.754406
-5,470,146.070798
-5,479,146.391981
-5,528,146.745416
-4,722,147.233271
-5,509,147.578617
-5,616,147.996068
-5,919,148.617022
-5,611,149.02944
-5,779,149.65813
-5,477,150.057693
-5,451,150.430601
-5,605,150.854753
-5,388,151.11645
-5,711,151.60311
-5,528,152.048097
-5,595,152.567301
-4,726,153.200826
-5,470,153.598622
-5,577,153.985911
-5,709,154.477231
-5,575,154.952847
-5,515,155.378018
-5,453,155.754908
-5,678,156.321722
-5,468,156.697717
-5,642,157.251718
-5,576,157.748975
-5,618,158.278299
-5,704,158.861242
-5,489,159.266609
-5,852,159.996769
-5,483,160.403047
-5,733,160.896396
-5,562,161.274781
-5,517,161.623898
-4,659,162.0684
-5,587,162.463538
-5,610,162.873676
-5,530,163.230755
-5,657,163.671045
-5,574,164.056906
-5,882,164.650413
-4,757,165.160354
-5,685,165.621296
-5,635,166.050669
-5,444,166.350203
-4,671,166.863244
-5,842,167.554973
-5,542,168.014452
-5,500,168.445262
-5,516,168.889613
-5,585,169.319408
-4,563,169.699461
-5,1078,170.425482
-5,499,170.759718
-4,688,171.22317
-5,438,171.517427
-5,844,172.08555
-5,531,172.441954
-5,404,172.714321
-5,371,172.963846
-5,594,173.363592
-4,784,173.889875
-5,473,174.207499
-5,547,174.574947
-5,577,174.961895
-4,698,175.497407
-5,942,176.29928
-5,474,176.713058
-5,752,177.369785
-5,681,177.960643
-5,465,178.34986
-5,995,179.129214
-5,631,179.578576
-5,795,180.144535
-4,824,180.858469
-5,431,181.230223
-5,595,181.724783
-5,526,182.168538
-4,737,182.785568
-5,470,183.177941
-5,614,183.699862
-5,473,184.111627
-5,694,184.712706
-5,581,185.218638
-5,477,185.62883
-4,898,186.369315
-5,548,186.821253
-5,579,187.279833
-5,521,187.632261
-5,563,188.013335
-5,614,188.427106
-5,543,188.793365
-5,634,189.220136
-5,541,189.583294
-5,520,189.933922
-5,538,190.295823
-5,520,190.644346
-5,748,191.147851
-5,853,191.723045
-5,440,192.0201
-5,751,192.527179
-4,791,193.063481
-5,529,193.420264
-5,470,193.737284
-5,931,194.365372
-5,522,194.715957
-5,570,195.099844
-5,582,195.491681
-5,552,195.864109
-5,409,196.140036
-5,634,196.567839
-5,679,197.025849
-5,502,197.365012
-5,490,197.697283
-5,474,198.01867
-5,509,198.362335
-5,490,198.691481
-5,621,199.110242
-5,471,199.42834
-5,551,199.801669
-5,566,200.184754
-5,735,200.681672
-5,536,201.044538
-5,715,201.526424
-5,664,201.976077
-5,721,202.462312
-5,447,202.763041
-5,504,203.115182
-5,743,203.628934
-4,836,204.192477
-5,817,204.74468
-5,562,205.125667
-5,560,205.502888
-5,479,205.825886
-5,690,206.289966
-5,674,206.741799
-4,1134,207.504526
-5,626,207.926117
-4,762,208.438402
-5,423,208.722497
-5,682,209.181544
-5,695,209.649543
-5,662,210.095631
-5,623,210.513786
-4,550,210.88269
-5,508,211.224701
-4,746,211.72746
-5,602,212.133347
-4,613,212.546905
-5,518,212.897009
-5,763,213.410441
-4,632,213.836955
-5,662,214.28267
-5,707,214.75709
-5,602,215.162685
-5,620,215.579942
-5,622,215.998783
-5,532,216.356931
-5,608,216.797014
-5,781,217.454973
-4,573,217.936074
-3,911,218.695943
-5,624,219.221327
-5,600,219.735629
-5,536,220.179849
-5,546,220.630857
-5,730,221.23532
-5,588,221.72707
-5,429,222.086061
-5,709,222.679848
-4,683,223.251102
-3,910,224.008123
-5,864,224.743545
-5,683,225.337265
-5,564,225.827048
-5,533,226.288031
-5,834,227.013017
-4,974,227.862467
-5,720,228.48749
-5,806,229.161727
-5,711,229.76661
-5,384,230.101194
-5,561,230.589894
-5,487,231.012145
-4,673,231.58944
-5,594,232.104626
-5,512,232.534304
-5,588,233.023367
-5,553,233.485876
-5,575,233.966214
-5,834,234.652513
-3,689,235.221127
-4,903,236.002735
-5,618,236.533768
-5,692,237.123201
-5,634,237.654319
-5,690,238.232203
-5,558,238.697555
-5,595,239.193799
-4,683,239.705942
-5,684,240.169824
-5,552,240.542806
-4,892,241.143904
-5,620,241.561658
-5,941,242.196012
-5,589,242.593328
-5,752,243.10076
-5,562,243.480476
-4,737,243.977616
-5,719,244.479876
-5,654,244.959259
-5,611,245.392946
-4,796,245.959188
-5,540,246.344515
-5,793,246.942867
-5,653,247.512892
-5,379,247.843086
-5,565,248.334079
-5,750,248.927124
-5,585,249.321113
-5,865,249.902052
-4,889,250.501503
-5,671,250.951717
-5,560,251.353587
-4,729,251.962635
-5,522,252.412201
-5,601,252.920008
-5,569,253.391972
-5,641,253.923337
-5,404,254.259205
-4,825,254.959534
-5,658,255.527682
