TimestepsSoFar,EpThisIter,EpisodesSoFar,meankl,entloss,optimgain,EpLenMean,TimeElapsed,entropy,explained_variance_tdlam_before,EpRewMean,surrgain
1024,1,1,0.0060676467,0.0,0.02985902,615.0,1.1162266731262207,2.073437,-0.7112737894058228,-5.0,0.02985902
2048,2,3,0.007890913,0.0,0.043186285,666.6666666666666,1.7692956924438477,2.068694,0.1994626522064209,-4.666666666666667,0.043186285
3072,1,4,0.007775843,0.0,0.043747935,616.25,2.4536190032958984,2.0605326,0.6533761024475098,-4.75,0.043747935
4096,2,6,0.0073399963,0.0,0.041010045,592.6666666666666,3.157059669494629,2.04212,0.5642614662647247,-4.833333333333333,0.041010045
5120,2,8,0.008759052,0.0,0.04688905,599.5,3.7986361980438232,2.0504084,0.5321710407733917,-4.875,0.04688905
6144,2,10,0.007161678,0.0,0.043036003,592.4,4.427374601364136,2.0379024,0.6169717907905579,-4.9,0.043036003
7168,2,12,0.007432257,0.0,0.041221395,592.0833333333334,5.055353403091431,2.0430562,0.6708228290081024,-4.916666666666667,0.041221395
8192,1,13,0.007996587,0.0,0.044299796,608.6923076923077,5.685865163803101,2.032792,0.6160179078578949,-4.923076923076923,0.044299796
9216,2,15,0.0067305705,0.0,0.036502957,601.8,6.315966606140137,2.0273085,0.7161909937858582,-4.933333333333334,0.036502957
10240,2,17,0.0075650597,0.0,0.050092332,585.2352941176471,6.9436235427856445,2.0147805,0.5392580330371857,-4.9411764705882355,0.050092332
11264,2,19,0.008214605,0.0,0.038519215,585.6842105263158,7.572751522064209,2.0042744,0.5820523500442505,-4.947368421052632,0.038519215
12288,2,21,0.007853627,0.0,0.048911028,580.3333333333334,8.201202869415283,2.0019922,0.7012155652046204,-4.9523809523809526,0.048911028
13312,1,22,0.00754321,0.0,0.03729082,587.5909090909091,8.832763671875,2.0040553,0.7062598764896393,-4.954545454545454,0.03729082
14336,2,24,0.010173894,0.0,0.046532683,583.8333333333334,9.46395230293274,2.0046988,0.6748904287815094,-4.958333333333333,0.046532683
15360,2,26,0.008596427,0.0,0.0451716,589.7307692307693,10.094436883926392,1.991369,0.6372009217739105,-4.961538461538462,0.0451716
16384,1,27,0.007930605,0.0,0.043806754,590.2962962962963,10.725472211837769,1.9740621,0.7190494239330292,-4.962962962962963,0.043806754
17408,2,29,0.009316902,0.0,0.048923273,597.8965517241379,11.356550931930542,1.9712646,0.6547371745109558,-4.9655172413793105,0.048923273
18432,1,30,0.007750152,0.0,0.049413837,602.1333333333333,11.985738515853882,1.982441,0.642164796590805,-4.966666666666667,0.049413837
19456,2,32,0.007329185,0.0,0.049984165,603.125,12.614819288253784,1.9783618,0.6725412309169769,-4.96875,0.049984165
20480,2,34,0.0077395756,0.0,0.051209137,598.8529411764706,13.246175050735474,1.9705925,0.7473790049552917,-4.970588235294118,0.051209137
21504,1,35,0.009158982,0.0,0.051199824,597.7428571428571,13.87730097770691,1.9636698,0.6935882270336151,-4.942857142857143,0.051199824
22528,2,37,0.008676249,0.0,0.05859366,602.3783783783783,14.525173664093018,1.9542116,0.5988672971725464,-4.945945945945946,0.05859366
23552,1,38,0.008018656,0.0,0.050157376,604.1315789473684,15.180458068847656,1.965204,0.6568035781383514,-4.947368421052632,0.050157376
24576,1,39,0.0074668387,0.0,0.05319848,611.0,15.830730438232422,1.9540981,0.6804105639457703,-4.948717948717949,0.05319848
25600,2,41,0.0086064935,0.0,0.05022625,613.4,16.488260984420776,1.9490192,0.7241133451461792,-4.95,0.05022625
26624,2,43,0.008558891,0.0,0.04922603,605.275,17.14386820793152,1.9420347,0.7006315886974335,-4.975,0.04922603
27648,1,44,0.0074674822,0.0,0.041792803,612.375,17.797993898391724,1.9298505,0.7839722186326981,-4.975,0.041792803
28672,2,46,0.008128418,0.0,0.042418264,613.225,18.47293734550476,1.9452958,0.7215172052383423,-4.975,0.042418264
29696,2,48,0.009316013,0.0,0.048749167,612.425,19.100748300552368,1.9374323,0.7263489365577698,-4.975,0.048749167
30720,2,50,0.008796128,0.0,0.051918846,612.675,19.729079246520996,1.9241217,0.5896719396114349,-4.95,0.051918846
31744,2,52,0.008327918,0.0,0.049070932,611.375,20.35703134536743,1.9239211,0.7055149376392365,-4.95,0.049070932
32768,1,53,0.010055323,0.0,0.054271672,605.65,21.04061532020569,1.9073075,0.7907880395650864,-4.95,0.054271672
33792,2,55,0.007065057,0.0,0.049250934,617.25,21.745294332504272,1.9056689,0.6144019365310669,-4.925,0.049250934
34816,1,56,0.0092537105,0.0,0.0515797,620.05,22.44939160346985,1.8838714,0.7509229779243469,-4.925,0.0515797
35840,2,58,0.008895777,0.0,0.05515141,631.15,23.151179313659668,1.8937153,0.7261473834514618,-4.925,0.05515141
36864,2,60,0.009821137,0.0,0.05185154,622.225,23.85341191291809,1.895313,0.7082425057888031,-4.925,0.05185154
37888,2,62,0.008297043,0.0,0.043225177,620.6,24.54009747505188,1.8715446,0.7629011273384094,-4.925,0.043225177
38912,1,63,0.008771684,0.0,0.049553856,624.925,25.19366693496704,1.8704795,0.7459624707698822,-4.925,0.049553856
39936,3,66,0.0099928845,0.0,0.05009497,614.5,25.8483304977417,1.8784896,0.7791423052549362,-4.925,0.05009497
40960,1,67,0.0075806472,0.0,0.050307833,617.2,26.503737926483154,1.8589063,0.742828905582428,-4.925,0.050307833
41984,1,68,0.0086365035,0.0,0.045181133,619.3,27.16067123413086,1.8520486,0.6647152304649353,-4.925,0.045181133
43008,2,70,0.0086212205,0.0,0.05930365,617.275,27.815396547317505,1.8477569,0.667537271976471,-4.925,0.05930365
44032,2,72,0.008802374,0.0,0.06001965,616.825,28.467745304107666,1.854005,0.5268776714801788,-4.9,0.06001965
45056,1,73,0.009022457,0.0,0.058564246,627.225,29.097784280776978,1.8224189,0.6558228731155396,-4.875,0.058564246
46080,1,74,0.009122624,0.0,0.04904402,630.55,29.727627277374268,1.8207725,0.8243598788976669,-4.875,0.04904402
47104,2,76,0.008279251,0.0,0.054714642,634.5,30.405420780181885,1.8249542,0.670966625213623,-4.9,0.054714642
48128,1,77,0.009401674,0.0,0.060073547,629.525,31.136606216430664,1.8435661,0.7289904654026031,-4.9,0.060073547
49152,2,79,0.008853229,0.0,0.050682973,630.7,31.767348527908325,1.8365982,0.7849221527576447,-4.9,0.050682973
50176,1,80,0.008513903,0.0,0.045368075,625.2,32.39827799797058,1.8614393,0.7781892269849777,-4.9,0.045368075
51200,2,82,0.008023212,0.0,0.051807538,626.95,33.0340461730957,1.8625224,0.8069931119680405,-4.9,0.051807538
52224,2,84,0.010464828,0.0,0.06835975,627.35,33.66332149505615,1.8588457,0.7392827272415161,-4.875,0.06835975
53248,2,86,0.008816866,0.0,0.048963357,627.725,34.30097436904907,1.878335,0.6853904724121094,-4.875,0.048963357
54272,1,87,0.010037115,0.0,0.072302744,627.7,34.93332815170288,1.8613554,0.812471553683281,-4.875,0.072302744
55296,1,88,0.008367123,0.0,0.05318091,631.75,35.563502073287964,1.8266444,0.5224033892154694,-4.875,0.05318091
56320,2,90,0.007808406,0.0,0.051916152,641.325,36.1953125,1.8412514,0.777610182762146,-4.875,0.051916152
57344,2,92,0.009139862,0.0,0.048580404,640.95,36.8268187046051,1.8609371,0.6838183999061584,-4.85,0.048580404
58368,2,94,0.009904685,0.0,0.057257555,633.15,37.45501136779785,1.8322812,0.8432669639587402,-4.85,0.057257555
59392,1,95,0.008660743,0.0,0.049904626,634.95,38.08404278755188,1.8219032,0.6702914535999298,-4.875,0.049904626
60416,1,96,0.008567933,0.0,0.06302256,636.425,38.722816944122314,1.8247638,0.7189943790435791,-4.875,0.06302256
61440,2,98,0.009120185,0.0,0.05396559,631.7,39.37705445289612,1.8386492,0.8075179904699326,-4.875,0.05396559
62464,2,100,0.009350296,0.0,0.061196677,635.65,40.041720390319824,1.8155646,0.8457951992750168,-4.875,0.061196677
63488,2,102,0.009660198,0.0,0.056675084,639.3,40.699132204055786,1.8280984,0.7734969407320023,-4.875,0.056675084
64512,1,103,0.008665128,0.0,0.05435793,637.025,41.35240864753723,1.8316774,0.8387428522109985,-4.875,0.05435793
65536,2,105,0.009366011,0.0,0.05207953,645.0,42.0070059299469,1.8297677,0.7667848318815231,-4.875,0.05207953
66560,2,107,0.010058371,0.0,0.07916701,647.4,42.661770820617676,1.8544624,0.786695271730423,-4.875,0.07916701
67584,1,108,0.0095412005,0.0,0.06153243,641.45,43.31386089324951,1.8693653,0.7659088969230652,-4.875,0.06153243
68608,1,109,0.009807431,0.0,0.060647655,639.575,43.96715331077576,1.8520442,0.5954083502292633,-4.875,0.060647655
69632,2,111,0.00889181,0.0,0.05603735,652.975,44.62328553199768,1.8495803,0.6971559524536133,-4.85,0.05603735
70656,2,113,0.008639006,0.0,0.058240138,645.825,45.278260469436646,1.8742459,0.7948407381772995,-4.9,0.058240138
71680,1,114,0.010714586,0.0,0.06070672,645.475,45.933515548706055,1.8300894,0.6862269639968872,-4.9,0.06070672
72704,2,116,0.011297345,0.0,0.057897642,643.8,46.590940952301025,1.842395,0.8438389152288437,-4.9,0.057897642
73728,1,117,0.009911661,0.0,0.06908563,642.35,47.25121808052063,1.8403015,0.5570468008518219,-4.9,0.06908563
74752,1,118,0.009629255,0.0,0.057598725,651.2,47.879607915878296,1.8132789,0.6427047550678253,-4.875,0.057598725
75776,2,120,0.009705927,0.0,0.061430916,647.025,48.511882305145264,1.8446711,0.7953197509050369,-4.85,0.061430916
76800,2,122,0.010175814,0.0,0.05288562,645.175,49.139206409454346,1.8579907,0.6652817130088806,-4.85,0.05288562
77824,1,123,0.009534188,0.0,0.050897934,642.875,49.76794457435608,1.845012,0.6171169579029083,-4.85,0.050897934
78848,2,125,0.008547668,0.0,0.05798726,645.1,50.394219160079956,1.8347172,0.7836899757385254,-4.875,0.05798726
79872,1,126,0.009200938,0.0,0.052766927,651.425,51.02152156829834,1.8391833,0.7146978974342346,-4.85,0.052766927
80896,2,128,0.010192201,0.0,0.057843328,650.525,51.650718688964844,1.8358419,0.7813729643821716,-4.85,0.057843328
81920,2,130,0.008344325,0.0,0.061030336,641.325,52.28204274177551,1.8569798,0.8303445875644684,-4.875,0.061030336
82944,1,131,0.010499414,0.0,0.056431916,641.825,52.91317534446716,1.8199996,0.8277329057455063,-4.9,0.056431916
83968,3,134,0.009635387,0.0,0.052330166,638.65,53.54544973373413,1.8811994,0.6220964789390564,-4.9,0.052330166
84992,2,136,0.008144399,0.0,0.05657637,627.775,54.17665076255798,1.8464758,0.6736119091510773,-4.9,0.05657637
86016,1,137,0.009954058,0.0,0.061799593,629.825,54.807997941970825,1.8037418,0.7737966477870941,-4.9,0.061799593
87040,1,138,0.008334548,0.0,0.06430076,634.5,55.43866276741028,1.824414,0.7662313729524612,-4.9,0.06430076
88064,2,140,0.01028784,0.0,0.057021294,643.325,56.06754446029663,1.8609464,0.7851518094539642,-4.9,0.057021294
89088,2,142,0.009699533,0.0,0.059235442,640.625,56.69811201095581,1.8229178,0.8139745146036148,-4.9,0.059235442
90112,1,143,0.009962458,0.0,0.06940086,644.675,57.32955551147461,1.8125924,0.8063363134860992,-4.9,0.06940086
91136,1,144,0.0092956675,0.0,0.046529446,644.325,57.95775127410889,1.7951396,0.7239646911621094,-4.9,0.046529446
92160,2,146,0.010397278,0.0,0.05786504,650.925,58.58985710144043,1.7919767,0.7660563141107559,-4.9,0.05786504
93184,2,148,0.00897133,0.0,0.052884214,651.7,59.22056746482849,1.8316101,0.7950906455516815,-4.9,0.052884214
94208,1,149,0.008484704,0.0,0.057973556,653.375,59.84907674789429,1.7990133,0.811344176530838,-4.9,0.057973556
95232,2,151,0.010013016,0.0,0.054005437,644.725,60.47802948951721,1.7857449,0.809531643986702,-4.925,0.054005437
96256,1,152,0.00854192,0.0,0.055791225,641.275,61.10838270187378,1.830766,0.8164025545120239,-4.925,0.055791225
97280,2,154,0.008881819,0.0,0.05952912,639.35,61.73688006401062,1.8018458,0.6687823534011841,-4.925,0.05952912
98304,1,155,0.011471074,0.0,0.07099453,638.725,62.36534357070923,1.8103269,0.7837250083684921,-4.9,0.07099453
99328,2,157,0.010370804,0.0,0.052459456,644.475,62.990532875061035,1.8391079,0.6282825171947479,-4.9,0.052459456
100352,2,159,0.010125872,0.0,0.06306661,623.5,466.4897677898407,1.7990748,0.44974982738494873,-4.95,0.06306661
101376,2,161,0.009880959,0.0,0.05729481,627.3,467.21718668937683,1.7698114,0.7674065828323364,-4.925,0.05729481
102400,1,162,0.008424103,0.0,0.059182137,635.9,467.87270617485046,1.7977412,0.7484889626502991,-4.925,0.059182137
103424,2,164,0.010240538,0.0,0.08968196,633.05,468.52721428871155,1.7426057,0.5932908058166504,-4.9,0.08968196
104448,1,165,0.009270674,0.0,0.06990981,640.475,469.1808850765228,1.7603931,0.6869749128818512,-4.9,0.06990981
105472,2,167,0.009667035,0.0,0.053400576,630.325,469.8371810913086,1.81475,0.7007849216461182,-4.925,0.053400576
106496,1,168,0.01132239,0.0,0.097807035,644.775,470.4944953918457,1.771059,0.5056473016738892,-4.9,0.097807035
107520,1,169,0.009633016,0.0,0.06953484,643.05,471.149290561676,1.8177352,0.6478354632854462,-4.9,0.06953484
108544,2,171,0.008197016,0.0,0.05404219,643.35,471.80645084381104,1.8147981,0.7601641267538071,-4.9,0.05404219
109568,2,173,0.011578856,0.0,0.055867046,649.225,472.4612617492676,1.7762423,0.7278369069099426,-4.9,0.055867046
110592,1,174,0.009338634,0.0,0.05693401,660.375,473.11427879333496,1.8219705,0.5734909772872925,-4.875,0.05693401
111616,2,176,0.010094453,0.0,0.056806047,663.15,473.76934576034546,1.8252456,0.7794146835803986,-4.875,0.056806047
112640,2,178,0.012739122,0.0,0.05500572,649.025,474.424458026886,1.8218689,0.8162689357995987,-4.875,0.05500572
113664,2,180,0.011407727,0.0,0.066389285,647.525,475.1063623428345,1.7956407,0.7616882175207138,-4.875,0.066389285
114688,1,181,0.00895985,0.0,0.062428664,646.1,475.7628426551819,1.7841609,0.5846154689788818,-4.875,0.062428664
115712,1,182,0.0089846505,0.0,0.07757002,649.1,476.419490814209,1.8105114,0.7774706333875656,-4.85,0.07757002
116736,2,184,0.008771863,0.0,0.06855349,645.125,477.0741231441498,1.8042134,0.6349497437477112,-4.825,0.06855349
117760,2,186,0.0090084,0.0,0.05406983,643.625,477.7273256778717,1.7859676,0.7649374455213547,-4.8,0.05406983
118784,1,187,0.009601637,0.0,0.06097512,641.925,478.38148760795593,1.7852881,0.7980444431304932,-4.8,0.06097512
119808,2,189,0.009710016,0.0,0.06693536,643.85,479.03399443626404,1.7594676,0.7870945185422897,-4.8,0.06693536
120832,1,190,0.009274667,0.0,0.066889174,649.05,479.6846444606781,1.771228,0.772048220038414,-4.8,0.066889174
121856,1,191,0.010214703,0.0,0.07039532,654.15,480.3390111923218,1.7799358,0.5333668887615204,-4.775,0.07039532
122880,2,193,0.008083889,0.0,0.054333232,662.375,481.0046103000641,1.7476945,0.6214634478092194,-4.75,0.054333232
123904,1,194,0.010214986,0.0,0.0657836,661.8,481.7095401287079,1.8068602,0.7243137359619141,-4.75,0.0657836
124928,2,196,0.009611748,0.0,0.061555445,660.85,482.41417694091797,1.7978871,0.7972515970468521,-4.725,0.061555445
125952,1,197,0.009949544,0.0,0.060368408,664.65,483.0978572368622,1.7619212,0.7827447652816772,-4.7,0.060368408
126976,2,199,0.009158567,0.0,0.058917385,668.95,483.7262978553772,1.8353593,0.6983664631843567,-4.7,0.058917385
128000,2,201,0.009801184,0.0,0.056065105,661.875,484.3547616004944,1.8021877,0.7420192360877991,-4.7,0.056065105
