#{"t_start": 1603430960.9936693, "env_id": null}
r,l,t
4,522,3.078872
2,662,4.470304
-3,706,5.629843
4,493,8.237024
3,571,10.091161
1,724,18.240057
3,533,19.896041
4,484,27.947162
3,594,29.692823
3,651,32.862081
-1,811,35.019506
3,608,42.661207
-4,510,44.316918
2,659,52.686735
4,537,54.317008
3,594,57.457015
-2,730,59.625402
-4,514,72.247795
-3,631,74.014448
-4,493,76.710721
-1,859,78.920855
-3,646,91.530319
-1,796,93.997994
-2,797,96.887074
2,610,98.751317
4,509,106.685431
3,647,108.618279
-1,758,111.718481
-1,743,113.839962
2,697,121.73236
4,529,123.42435
1,729,132.107785
-5,529,133.822577
-2,697,136.965297
-2,722,138.988487
1,742,151.932558
2,691,153.946735
-2,671,157.116759
1,850,159.372375
-4,524,166.926844
-1,762,169.075846
5,402,171.468013
3,556,173.156111
-3,589,181.324713
-4,491,182.952448
2,654,191.379326
4,477,193.137206
-4,507,194.853744
-1,719,197.421868
1,770,199.518279
2,656,207.330011
-2,705,209.362951
3,594,212.496846
1,833,214.829441
3,543,222.301154
1,806,224.516237
-3,579,227.197971
3,604,229.052839
-4,487,236.955292
4,473,238.544168
-1,750,247.051873
-4,534,248.909495
-2,670,252.388039
-4,542,254.182722
5,432,262.003564
-1,734,264.204991
-2,634,272.072893
-4,522,273.709173
-4,474,276.531483
-1,806,278.73048
-3,552,291.375711
1,696,294.118145
-3,611,297.619759
3,578,299.552739
-1,815,308.454638
-3,552,310.414821
-4,515,319.118788
-1,677,321.266055
-2,676,324.581859
-2,679,326.74411
1,795,335.026535
5,371,336.396556
3,590,340.005633
-2,686,341.970501
-2,679,350.028371
-2,725,352.000465
1,748,360.021013
4,588,361.902606
3,573,364.860756
-4,508,366.559271
-2,725,374.975774
-1,750,377.170665
-2,604,380.129655
2,675,382.290664
2,674,390.913782
3,608,392.874666
4,565,400.910728
3,545,402.593944
4,517,405.467672
3,669,407.396956
-5,460,420.052159
-5,387,421.460425
3,562,424.928853
2,653,426.761648
2,626,434.722399
-3,554,436.400909
-5,408,442.784187
-2,650,445.304712
5,491,446.758249
-2,775,450.152223
2,695,452.201099
-4,518,459.945586
2,619,461.83484
3,573,469.697969
-1,732,471.748451
3,589,479.474152
-2,679,481.490145
-5,424,484.084105
3,605,485.895598
-1,725,499.154045
3,519,500.7913
2,643,503.882439
-2,687,505.855649
-1,764,519.727425
-3,649,521.593867
1,925,524.977905
2,719,527.001961
1,756,540.129235
-2,633,541.900836
1,819,544.992846
3,597,546.8297
3,587,559.883748
4,492,561.522285
-1,719,564.899492
-2,663,566.924702
-3,593,574.786859
-4,497,576.489163
3,556,579.666914
5,444,581.203145
-2,618,589.672758
1,757,591.78781
1,743,599.745636
-2,636,601.564431
3,600,604.607777
2,663,606.465328
1,743,614.611781
-4,490,616.229205
4,466,622.906624
-1,744,625.739153
2,706,627.753644
4,537,635.559682
4,492,637.067501
1,793,640.806934
1,765,643.096457
-2,652,651.010663
-4,457,652.7587
-1,808,656.63271
-3,662,658.733593
1,780,666.895516
-2,634,669.763191
3,544,672.702564
-2,616,674.565173
-3,562,682.545487
2,689,684.538437
-3,556,687.318436
2,617,689.250121
4,523,697.145763
-2,810,699.37237
1,717,707.290778
-5,391,708.686342
-4,547,711.943166
4,534,713.580117
1,797,726.95946
-3,566,728.70151
2,680,731.90334
2,705,733.994356
3,639,741.889053
2,680,743.891053
3,632,746.816795
-4,492,748.494854
2,652,756.756392
2,634,758.718905
4,553,761.613118
3,546,763.313176
-1,721,771.66369
3,650,773.655664
1,758,781.819287
-3,556,783.670531
3,588,791.815223
2,677,793.693285
-3,578,796.471111
4,496,798.02207
-3,555,811.186185
-3,567,812.9269
3,569,815.907557
2,720,817.981075
2,651,825.89272
-1,787,828.209186
2,732,831.399127
2,728,833.596788
-4,472,841.236715
2,698,843.413482
2,706,852.530838
2,765,854.930689
-2,678,857.994709
4,488,859.697419
-2,670,868.106651
-1,819,870.433652
1,763,873.488565
3,590,875.41746
2,645,883.690274
1,765,886.076274
-1,743,889.186274
-3,550,891.045311
-2,721,900.221149
-4,546,902.35215
-5,413,910.292984
1,807,912.820984
5,436,915.297021
4,519,917.134983
4,561,925.643868
-3,598,927.77087
2,647,936.098417
2,764,938.606181
2,781,941.924181
2,731,944.158216
-2,668,952.080832
-1,666,954.234834
-2,667,962.525833
-3,546,964.414833
-4,481,972.545834
-3,612,974.487834
1,815,978.166833
-4,497,979.896834
-3,566,988.31414
1,791,990.663105
-4,454,993.419105
3,601,995.449139
-2,693,1003.816007
-2,710,1006.148008
1,720,1014.321949
2,654,1016.488949
-2,618,1019.647826
-3,550,1021.467794
-2,636,1029.745793
-1,770,1032.103793
-1,776,1035.387678
-2,747,1037.763678
4,508,1045.477524
