#{"t_start": 1603430964.6004727, "env_id": null}
r,l,t
4,522,1.21901
2,749,1.92677
-3,560,2.384154
3,634,7.861119
4,510,10.365652
2,620,15.580074
3,603,18.255495
1,761,23.442582
2,596,26.081029
-2,669,31.19942
1,734,33.983869
-3,553,38.795128
1,743,41.636528
3,614,46.297183
4,490,48.913587
1,750,59.569024
-2,640,62.181628
-4,486,66.779013
-3,540,69.427137
3,563,79.296081
-3,585,81.850682
-3,607,87.070005
-2,672,90.123679
-3,523,94.957514
3,590,97.690958
3,539,102.477052
-2,654,105.303476
-1,732,110.765158
2,734,113.61968
4,532,118.235556
-2,673,121.222879
-3,572,126.135258
-2,700,129.328981
2,673,139.110905
-1,715,141.87426
3,612,147.04629
-4,533,149.648559
-3,581,154.75731
-2,651,157.482788
-2,696,162.412619
5,508,165.167179
3,563,170.257307
2,744,173.045761
-2,692,178.093422
1,759,181.050262
-2,711,186.569706
1,677,189.745403
-4,551,194.733963
-3,580,197.439287
-3,553,202.259499
2,727,205.231146
2,692,210.300629
3,579,213.101916
4,612,218.047004
-1,744,221.040434
3,614,225.934545
-3,617,228.580819
-1,757,233.761489
-2,718,237.523214
-1,831,242.618068
2,715,245.755692
-5,395,250.594
3,559,253.24895
-2,672,258.45298
-1,742,261.421068
-3,581,266.008501
-3,571,268.816061
-3,655,278.834739
-3,591,281.427519
2,683,286.626249
-3,587,289.619341
2,615,295.743935
-1,726,298.804793
-3,583,304.992834
-3,572,308.378108
3,571,314.802473
-2,626,317.763253
-5,401,323.047307
-3,601,325.725161
5,371,330.328291
-1,755,333.325267
5,386,337.944697
-5,414,340.272694
4,473,342.687694
-5,490,347.108568
1,755,350.030661
2,685,354.74025
-1,781,357.807289
4,485,362.458953
-4,551,365.104005
-4,506,369.956115
-3,601,372.737606
-3,533,379.336373
-2,687,382.109336
1,725,387.390979
3,664,390.345375
3,608,395.096314
2,680,398.18863
3,580,407.892339
2,672,410.621062
-4,520,415.273946
-5,407,417.670883
1,763,423.257905
-1,775,426.161923
3,604,430.816255
-4,482,433.309662
-3,649,438.443903
5,385,440.915963
-3,628,451.394739
-1,743,454.414336
-3,623,459.360543
3,598,462.011935
1,742,467.295165
-3,550,469.962754
-1,764,475.194446
4,475,477.763969
-4,481,480.339886
4,506,486.091667
-2,690,488.937649
3,564,493.664211
3,577,496.325132
3,556,506.272338
-2,716,509.108406
-1,833,514.174365
-4,469,516.759622
-2,606,526.946015
4,577,529.652469
2,632,534.634894
-3,567,537.315431
3,563,547.309213
1,763,550.268211
3,586,554.909296
2,633,557.732481
-1,815,563.049436
-2,726,565.958
-3,564,570.750055
-4,545,573.490869
-1,784,579.136523
3,522,581.821959
-4,456,586.850527
1,764,589.844526
1,764,594.724627
-2,686,597.643113
-1,715,602.804577
2,753,605.94985
1,728,612.962401
-5,394,615.250697
3,541,617.945461
-2,664,622.868497
-2,676,625.872545
3,584,630.807603
4,489,633.336698
-1,730,639.184654
1,777,642.176904
-2,660,646.941855
-4,485,649.817896
-3,617,655.388789
-2,645,658.267843
-1,787,663.414713
-3,587,666.245388
3,557,671.371369
3,545,673.895471
-3,544,678.851683
-3,643,681.659632
-5,393,686.495889
-2,623,689.158629
3,582,694.090003
2,712,696.991148
2,666,701.758514
-4,483,704.354538
-2,735,714.712249
4,483,717.257032
2,631,722.367145
-3,616,725.095657
4,482,729.998505
1,721,732.831763
5,465,737.37532
2,754,740.359251
4,507,745.153401
-2,716,747.958581
-5,489,752.55959
3,580,755.258102
4,643,762.788373
4,523,765.328532
-4,482,770.427877
-1,753,773.302009
2,693,778.188146
-1,739,781.247284
-1,716,786.049891
-1,871,789.226937
2,681,798.740339
-3,568,801.276062
1,839,806.546699
-4,625,809.318095
-4,492,814.125502
3,533,816.749862
1,762,822.047813
4,444,824.692383
-4,470,827.467879
1,768,832.320812
2,623,834.989919
-4,514,840.059936
-4,559,842.586637
2,702,848.070199
-1,942,851.765766
-1,765,856.78578
1,798,859.698984
4,486,864.222814
-3,589,867.097851
-5,398,872.207767
-2,648,874.83562
4,562,879.795505
3,548,882.726472
2,712,888.363505
-3,585,891.268504
-3,585,897.487385
-3,615,900.373382
-3,642,905.767216
5,439,908.518216
1,718,914.597214
4,458,917.006029
3,703,922.931029
4,514,925.69887
3,779,931.288613
2,770,934.677377
3,585,940.057376
3,618,942.865031
2,645,951.431029
-2,661,954.232029
-2,636,959.55503
-4,611,962.416029
-2,710,967.68003
-2,694,970.81503
-3,662,976.378028
-2,807,979.388029
-4,614,984.472334
-1,681,987.573303
-3,602,993.0263
3,564,995.647237
-2,709,1001.283205
1,796,1004.469203
-2,735,1009.378146
-3,789,1012.734147
1,779,1018.07699
-2,604,1020.736273
-3,683,1025.903989
1,809,1029.320024
-3,613,1034.520941
1,730,1037.41887
-1,849,1042.81372
1,779,1045.90272
4,563,1050.520721
-3,536,1053.405596
-4,548,1063.337668
-3,760,1066.260667
5,443,1070.749666
1,701,1073.929526
2,676,1079.322566
3,643,1082.167504
-3,567,1087.226029
1,844,1090.947029
1,769,1096.194885
1,762,1099.163663
-5,470,1104.005665
4,565,1106.859665
-3,556,1111.85865
2,679,1115.114651
-1,727,1120.684483
2,771,1123.738344
-4,543,1128.507345
1,762,1131.821345
-2,800,1137.436344
-4,542,1140.017344
5,414,1144.964181
3,671,1148.153183
4,482,1153.188057
3,576,1155.873058
2,616,1161.146926
-4,540,1164.029926
-2,793,1169.657615
-1,681,1172.990614
2,636,1182.425613
-3,650,1185.170614
-3,643,1190.441447
-2,637,1193.188447
1,769,1198.978482
-4,489,1201.545447
5,478,1204.041447
-3,580,1208.806828
1,752,1211.945828
-1,833,1216.981829
4,554,1219.979658
-2,637,1225.609658
2,642,1228.402658
1,800,1234.008523
3,736,1237.06752
-2,686,1241.964358
2,752,1245.579357
2,627,1250.933227
1,767,1253.868227
1,779,1259.146228
-4,527,1261.866085
1,798,1267.621085
3,602,1270.629086
-2,671,1276.123121
-5,383,1278.444086
3,580,1280.959086
-2,673,1285.692085
-3,538,1288.257085
-3,605,1293.292086
-1,684,1296.377085
2,647,1301.715123
1,701,1304.592085
