#{"t_start": 1602811188.361122, "env_id": null}
r,l,t
4,485,4.7874
2,746,6.967812
1,766,7.788369
-3,580,8.763855
4,529,9.715025
5,436,10.193553
3,610,11.102129
-3,631,11.780373
4,513,12.595457
-1,743,13.393703
2,701,14.401646
1,769,15.48444
3,581,16.108296
-1,766,17.180511
1,720,18.302403
-4,472,18.959986
-2,650,20.051102
1,724,21.100703
3,554,21.881558
3,569,22.855809
1,712,23.617986
-2,689,24.607217
-1,747,25.664743
-3,539,26.248796
-5,427,26.97034
-1,805,28.160829
-3,590,28.794665
2,666,29.763194
-2,759,30.834424
1,687,31.572561
-4,502,32.347031
1,841,33.77519
2,603,34.432383
1,793,35.544636
-3,602,36.304595
-4,504,37.215692
2,656,38.333343
4,493,38.861843
3,586,39.768955
-1,747,40.56984
-2,711,41.832647
-2,661,42.966597
-4,502,43.504786
3,588,44.400877
-1,700,45.150633
3,597,46.087751
-4,532,47.060778
-2,692,47.807787
1,737,48.875873
-1,732,49.93064
-3,557,50.728684
5,403,51.489776
3,573,52.292309
3,721,53.517331
-3,552,54.270983
-4,490,55.018839
2,636,55.965707
2,685,56.914795
-2,707,57.941052
-1,730,58.985552
-1,710,59.746884
-1,750,60.798913
4,475,61.383856
-3,649,62.353179
2,705,63.368155
1,796,64.439048
4,466,65.073312
4,506,66.053364
3,704,66.811029
1,769,68.050217
-1,766,69.182883
3,552,69.77544
-5,411,70.478179
4,466,70.97955
1,802,72.08602
-3,621,72.981592
-4,537,73.558326
3,683,74.502382
-3,576,75.121628
-5,395,75.775555
3,559,76.372866
-1,772,77.465636
2,673,78.448894
-2,627,79.119282
-3,581,80.000291
-3,552,80.589437
4,510,81.395925
-4,518,81.950229
-3,593,82.845917
1,717,83.875225
2,650,84.571211
-4,478,85.397958
2,692,86.283786
-1,777,87.390837
-3,562,88.206709
-3,592,88.966197
-2,643,89.928626
2,761,90.925333
-2,626,91.595387
-2,649,92.474494
-4,512,93.022544
3,558,93.865628
1,779,94.91935
-3,556,95.514028
4,480,96.259084
-5,413,96.82929
4,464,97.698418
-4,490,98.223693
-3,666,99.197783
3,563,99.799875
4,486,100.566202
1,756,101.376302
4,511,102.317877
-2,751,103.464157
-2,749,104.266709
-4,462,105.036096
-2,676,106.17425
-2,694,106.925162
1,754,107.996205
-4,596,108.8917
3,595,109.527995
3,571,110.352486
4,510,110.861953
2,627,111.753118
3,584,112.335825
3,708,113.288587
2,672,114.195375
-1,750,114.954763
-5,400,115.605346
1,814,116.667077
1,763,117.426611
-1,877,118.548535
3,572,119.351723
-3,603,119.95267
-5,415,120.737305
-1,722,121.468163
5,383,122.049115
-1,729,123.029012
-4,573,123.601926
-1,757,124.60971
1,732,125.634757
2,695,126.329383
-1,776,127.360487
4,464,127.825048
-2,683,128.774508
3,555,129.578609
-2,627,130.204097
-1,703,131.161064
3,552,131.967996
-2,690,132.67107
-4,479,133.425687
5,379,133.805398
2,688,134.762978
4,456,135.22069
2,718,136.155892
-2,660,136.817918
-2,748,137.923532
-4,512,138.667472
-4,505,139.176013
1,727,140.173858
-2,600,141.045481
4,551,141.654586
-2,628,142.361688
-4,540,142.969328
4,455,143.481236
-1,760,144.328895
3,555,144.915365
4,467,145.408017
1,717,146.163049
1,742,146.943211
-1,772,147.755898
-5,415,148.192138
-4,511,148.730013
-2,650,149.414284
2,626,150.07274
4,518,150.628918
1,871,151.608843
-2,640,152.329624
-1,698,153.115636
1,723,153.928229
-1,728,154.746621
1,780,155.566566
2,647,156.250247
2,698,156.985533
3,557,157.572683
-5,394,157.988438
3,619,158.641206
-1,798,159.482371
-2,718,160.239689
2,623,160.897396
3,581,161.513444
3,546,162.09079
-3,638,162.764899
-1,808,163.617063
5,505,164.150491
-1,748,164.940304
-4,463,165.445204
3,559,166.034436
1,787,166.865555
-4,474,167.37289
2,611,168.016927
1,736,168.790981
-2,663,169.487889
2,718,170.242127
1,703,170.981643
-3,542,171.552145
1,758,172.351479
-4,489,172.867483
-3,559,173.468916
3,517,174.024366
3,533,174.585609
-1,784,175.412469
1,785,176.240238
-3,556,176.825819
-3,610,177.467696
-2,657,178.15861
4,515,178.711721
1,810,179.619488
1,775,180.446427
-1,703,181.186045
2,643,181.863766
2,639,182.537127
4,502,183.066402
1,886,184.010592
3,594,184.679638
3,621,185.378889
-4,446,185.879726
-4,474,186.41331
3,549,187.031405
2,650,187.76211
3,668,188.514544
1,701,189.303173
-4,521,189.888949
-1,725,190.704282
-2,663,191.447395
1,738,192.27633
-3,647,193.001791
1,820,193.920735
1,859,194.883647
2,639,195.600125
-1,778,196.474314
2,674,197.23157
-3,576,197.878737
-1,730,198.698558
-4,438,199.19012
5,381,199.617601
1,710,200.415211
4,458,200.929633
5,389,201.367108
-2,636,202.081943
-1,727,202.898838
1,740,203.728837
-5,407,204.18608
-4,453,204.695031
-2,641,205.415248
1,778,206.288768
-1,728,207.104367
2,640,207.822141
2,683,208.587541
3,569,209.225783
1,760,210.287657
-1,708,212.78909
-5,405,214.497301
1,825,217.355279
2,641,219.507623
3,548,222.058497
-1,745,224.782202
-2,633,226.938347
-1,743,229.53562
-3,586,232.307091
-4,470,234.111103
-1,770,236.752059
4,518,238.844468
-4,482,241.969905
1,750,244.513368
4,458,246.540997
4,565,249.230078
2,633,251.868873
2,699,254.448587
2,624,256.579839
2,647,259.025264
2,666,261.519926
1,781,263.89171
3,567,266.140191
-3,633,269.147598
-2,629,271.219636
-1,695,273.597557
-4,462,275.390383
-2,667,277.737103
-1,728,280.340199
-4,545,282.346634
-2,690,285.395616
-2,710,287.923051
-3,643,290.098406
-4,455,292.070847
4,444,293.833624
-4,476,295.987523
1,708,298.611876
-3,579,300.976356
2,741,303.531206
1,815,305.936266
-3,589,309.047809
-4,488,311.004597
-3,556,313.337668
1,785,315.958444
-3,524,318.230957
-2,693,320.535578
-3,550,322.556946
3,600,325.246014
-4,521,327.72012
-1,774,330.227705
2,698,332.822825
-4,634,336.135286
1,755,338.366047
4,551,340.781423
-4,460,342.782078
2,731,345.230941
-3,559,347.495227
-4,605,349.785632
4,492,351.999945
3,590,354.656301
3,544,357.034883
2,599,359.227937
2,678,362.194409
-1,796,365.048946
-5,422,366.849476
4,524,369.043546
-2,699,372.575658
-1,836,375.218855
-1,718,377.805029
-1,819,380.529229
-2,731,382.835327
-3,571,385.179826
1,739,387.842334
