#{"t_start": 1602811189.0129123, "env_id": null}
r,l,t
4,485,2.34833
1,811,3.623903
-3,638,3.970645
-2,698,4.420964
4,493,4.758212
3,616,5.105464
2,672,5.679746
2,680,6.141675
1,726,6.632073
2,642,7.047833
3,623,7.451258
-1,728,8.024851
-2,719,8.58459
1,688,9.103519
-1,713,9.490077
-1,896,10.040773
1,849,10.58297
3,545,10.875818
3,569,11.254193
1,769,11.761017
-2,677,12.126728
-1,769,12.612827
-3,587,13.003481
-5,439,13.24262
2,738,13.713888
-2,698,14.161888
2,667,14.540481
1,798,15.041966
-2,692,15.487428
-4,490,15.757343
-2,834,16.280262
2,651,16.70249
1,836,17.177259
-3,574,17.627085
-2,634,18.129775
3,561,18.50415
2,721,19.098105
4,580,19.474119
-2,715,19.929813
-2,638,20.456365
-2,664,20.898912
-1,702,21.45277
1,754,21.993922
4,486,22.257493
1,755,22.736736
-2,684,23.178465
-3,606,23.510555
-2,634,23.923744
-2,689,24.368058
1,704,24.7647
4,473,25.092849
3,594,25.417002
-1,749,25.947175
1,770,26.550648
3,571,26.91285
1,742,27.407942
-3,544,27.774647
2,609,28.105799
1,729,28.571668
-2,660,29.015966
4,475,29.273138
-3,598,29.668163
2,675,30.03581
1,774,30.557917
4,510,30.903104
4,506,31.177248
3,637,31.693102
1,742,32.17412
-1,793,32.788761
-1,739,33.309245
1,754,33.78699
3,629,34.127247
-1,754,34.617196
-3,573,34.927961
3,689,35.421705
-3,592,35.927127
-4,527,36.290896
4,482,36.691185
-1,772,37.190965
-1,770,37.735767
-3,684,38.177132
-3,591,38.498375
-3,600,38.918468
4,463,39.240038
-3,702,39.621927
-4,511,39.969715
1,704,40.357676
2,743,40.941855
-4,472,41.344551
2,655,41.780986
-1,793,42.322583
-3,560,42.695372
-3,599,43.019582
-2,641,43.440015
2,647,43.797
-4,560,44.176673
-2,606,44.576631
-5,427,44.820795
1,785,45.314664
4,458,45.562369
-1,806,46.069272
2,656,46.49545
-5,413,46.719373
4,544,47.085743
-4,553,47.387221
1,728,47.856835
2,633,48.200938
3,562,48.576609
-1,924,49.219169
-1,802,49.840081
-5,399,50.106895
-2,610,50.603274
-2,719,51.115096
-2,701,51.661992
-1,728,52.252424
3,642,52.685009
1,717,53.244594
3,570,53.704363
4,514,54.05028
2,657,54.473274
4,477,54.730553
3,578,55.125711
2,660,55.557429
-1,710,56.110304
-5,405,56.357951
-2,676,56.79318
3,562,57.170895
2,636,57.514078
-3,560,57.886485
3,558,58.189563
-4,467,58.512743
-1,737,58.980122
1,725,59.373218
1,725,59.841773
-4,525,60.195874
4,565,60.519169
-4,471,60.89759
1,690,61.280526
4,501,61.620572
1,757,62.02945
-1,755,62.517165
-2,746,62.988593
-2,634,63.400661
4,478,63.70479
-5,411,63.984266
3,552,64.43208
-1,822,65.068335
-4,466,65.338136
4,489,65.674476
4,490,65.940232
4,495,66.279058
1,732,66.688747
-1,734,67.240424
-4,600,67.671704
-4,471,67.92652
-3,624,68.399455
4,465,68.930344
-2,721,69.358983
2,631,69.739357
-2,667,70.135683
2,675,70.536148
2,654,70.926704
1,743,71.367248
4,480,71.651992
1,722,72.100543
1,684,72.575485
-1,757,73.022184
-5,452,73.290656
-4,483,73.633011
-2,643,74.027206
2,626,74.39778
5,527,74.708327
1,763,75.202475
-4,456,75.473037
-3,639,75.851411
-2,622,76.224546
3,600,76.582064
-3,557,76.912863
-2,689,77.322028
2,692,77.738727
-3,608,78.098764
2,663,78.491508
-3,578,78.833354
4,483,79.122459
-2,630,79.495643
-1,775,79.953743
3,610,80.316983
4,488,80.613491
3,612,80.974773
-3,572,81.312784
2,835,81.822619
3,524,82.133021
-1,735,82.567606
-3,570,82.904835
3,559,83.25927
1,766,83.712355
-3,598,84.065695
2,652,84.473624
-4,462,84.796157
1,732,85.306857
4,465,85.606368
3,638,85.983402
-2,616,86.349197
-1,729,86.781049
-1,814,87.312687
-2,730,87.7606
3,509,88.110513
3,532,88.479459
2,726,89.003823
1,726,89.432394
-3,532,89.74636
-4,482,90.056605
4,581,90.435132
-2,671,90.831929
3,654,91.217716
1,713,91.706276
-3,563,92.038496
3,560,92.369863
1,825,92.8958
1,809,93.371661
3,639,93.747313
2,795,94.267159
4,510,94.566801
-1,729,94.996533
-2,643,95.447135
3,586,95.855854
2,635,96.293664
3,634,96.735464
2,652,97.125408
-3,561,97.455401
-1,749,97.896641
3,606,98.258099
3,615,98.623106
-1,712,99.042075
-2,837,99.53573
3,581,99.879851
1,852,100.380615
-2,660,100.76983
1,809,101.285331
-2,617,101.715567
-1,724,102.215408
-2,652,102.697144
5,381,102.922394
1,782,103.385783
2,621,103.767581
-1,725,104.297144
1,748,104.813013
2,704,105.299894
3,536,105.619771
-4,545,105.940843
-2,634,106.315043
-1,715,106.748935
2,643,107.129983
2,741,107.567406
-1,795,108.046623
4,476,108.331581
4,487,108.709183
-3,540,218.055274
-1,741,222.238862
-4,535,226.148935
4,541,230.078926
2,682,234.70088
3,556,238.777007
-4,527,243.380775
-2,656,247.788522
-4,512,252.004181
2,631,255.810767
-1,825,259.881948
-2,647,264.538611
1,701,268.633267
-4,482,272.20137
1,715,276.941418
4,568,280.597692
3,608,284.299219
2,645,288.178423
-1,727,293.137831
-1,713,297.644332
5,422,301.08228
2,645,304.887745
5,399,308.279603
-2,736,313.307275
2,645,317.648854
-2,649,321.504227
-1,730,325.97064
-3,530,330.001696
-1,799,334.060467
-1,706,338.198918
-4,477,343.417491
-5,416,347.199344
-1,774,351.698757
-2,711,356.124264
-5,376,360.151153
3,537,364.459853
-4,465,368.274084
1,814,374.378494
-4,484,378.355197
1,763,382.382723
2,673,386.197946
-1,761,390.809867
-2,649,394.936785
1,709,399.022575
4,546,403.085396
1,729,407.285552
-4,460,410.769356
-1,771,416.95637
-2,721,421.069817
1,757,425.137075
-1,758,429.109662
-1,795,433.423676
2,676,437.647306
4,535,441.436861
-4,460,444.955752
-1,738,449.212773
-4,473,452.994461
-2,768,457.143667
5,440,460.949866
1,734,468.411316
4,466,471.875931
2,637,475.92212
2,664,479.674213
-1,890,483.905998
-2,723,487.90821
-1,740,491.810966
-4,502,495.362127
2,758,499.331286
-4,462,503.561836
4,497,507.645486
-3,587,511.423521
-4,517,515.163091
3,641,519.108925
3,574,523.031652
-2,689,531.339069
4,461,535.528448
-4,458,539.645772
-1,810,544.036464
-4,507,548.012156
-1,826,552.706099
-4,512,556.878611
3,593,561.476304
5,444,565.070072
2,690,569.137427
3,556,573.066797
3,596,577.124046
1,793,581.48587
2,644,586.250022
4,484,590.482663
2,635,594.449145
-1,722,598.499789
1,698,602.543403
2,673,607.087912
1,750,616.422529
-1,705,620.566384
1,787,624.725063
4,485,628.376533
-1,847,632.502707
-1,798,636.593526
1,778,640.566619
3,543,644.1122
2,761,648.054972
2,670,651.754403
3,610,655.743261
-4,477,659.705692
1,744,664.007259
2,661,668.14777
1,805,672.345475
2,647,676.175561
2,606,679.988842
3,542,683.776187
1,788,688.377291
2,640,692.918552
-2,616,697.182879
3,581,700.910108
-4,533,704.617824
1,834,714.981209
1,730,719.412279
4,550,723.170319
-3,565,726.7312
-3,649,730.487627
3,579,734.148319
-1,753,738.144649
-3,548,741.853197
4,513,745.398986
-4,497,750.003554
2,626,753.864759
-1,799,757.919281
4,480,761.416418
-1,704,765.261439
4,509,768.817475
-1,736,772.661615
1,758,776.580259
-1,715,780.43811
1,705,784.637529
5,474,788.328921
-4,515,791.995108
-1,675,796.238442
-1,909,800.668622
2,648,805.301504
-1,739,809.959517
2,659,813.715634
-1,793,817.727663
1,727,821.535199
2,663,825.550059
-3,562,836.01023
4,506,839.537247
-2,653,843.30819
3,608,846.897608
-3,579,850.475046
-1,813,854.496432
-1,722,858.268329
-2,720,862.105659
4,558,865.700918
-5,434,869.048396
-5,413,872.43309
2,710,879.371983
2,657,883.026111
-1,761,886.824607
-3,627,890.512517
3,562,894.132667
3,539,897.689164
1,700,901.572145
-2,660,905.351531
3,561,908.903548
-2,830,912.873987
4,485,916.383799
1,809,920.382054
-2,650,924.179225
-4,484,927.722589
3,607,931.418653
2,702,935.246262
2,735,939.126002
3,614,942.832039
-1,801,946.807443
-1,740,950.701498
-4,563,962.684754
2,658,966.381316
3,605,969.979663
4,465,973.396187
3,590,976.946789
2,632,980.551196
-3,557,984.052664
-1,792,987.875725
-5,410,991.188726
-1,703,994.932014
-5,413,998.314501
2,642,1002.044361
5,436,1005.469669
2,682,1009.259127
-2,665,1013.012967
-1,956,1017.186814
1,754,1021.051565
-1,723,1024.884537
2,724,1028.713091
-3,584,1032.339683
-3,563,1035.952584
-2,685,1039.740497
1,731,1043.681077
1,744,1047.613812
1,733,1051.576965
-3,542,1055.258843
-3,548,1058.986649
4,584,1062.737776
-1,746,1066.778587
-2,630,1070.493992
1,755,1074.461198
4,509,1078.065251
-1,770,1082.062645
4,558,1085.740063
-2,689,1089.600813
1,732,1093.479082
1,760,1097.354761
-4,471,1100.811668
2,666,1114.933763
-1,771,1118.969796
5,379,1122.464995
-3,575,1126.119989
4,623,1129.761743
2,682,1133.464774
-4,513,1136.928662
4,471,1140.345719
-1,722,1144.127313
-3,582,1147.689617
-5,418,1151.02776
-4,579,1154.60342
4,550,1158.151464
-2,709,1161.875812
2,666,1165.53774
-1,744,1169.282987
1,838,1173.168399
-2,621,1176.790037
-1,695,1180.535074
3,568,1184.051216
4,503,1187.465134
-2,658,1191.118393
1,754,1194.916389
5,396,1198.221017
-1,746,1202.007918
4,523,1205.503181
-1,744,1209.351482
3,535,1212.922045
-2,676,1216.660802
2,647,1220.473284
4,555,1224.166326
-2,650,1227.987321
4,573,1231.711853
1,794,1235.788987
3,563,1239.571733
4,473,1243.231322
3,558,1247.015119
-4,461,1250.6541
-4,493,1254.193049
-3,627,1257.956248
2,701,1261.846152
2,729,1265.776083
1,791,1269.826602
4,616,1273.540392
4,570,1277.600892
3,608,1281.545836
-2,645,1285.548623
3,558,1289.417822
2,749,1293.480364
1,690,1311.84383
4,501,1315.610548
1,727,1319.819661
4,485,1324.129211
-2,618,1328.09753
3,638,1332.453724
3,542,1336.95935
-1,749,1341.689821
3,591,1345.359999
-3,598,1349.124812
3,601,1353.195472
1,816,1357.487604
-1,866,1361.828907
2,662,1366.201246
3,620,1370.180689
3,636,1374.13562
-3,657,1377.984359
-1,753,1382.519359
3,584,1386.429439
4,465,1390.017544
-5,403,1393.445097
-1,770,1397.672468
1,706,1401.607736
-2,724,1405.688098
1,857,1409.865776
-3,587,1413.821147
1,759,1417.936468
3,668,1421.93767
-4,452,1425.440745
-1,887,1429.651849
3,660,1433.492441
-4,488,1437.273279
-1,744,1441.400445
-5,389,1444.913111
-2,628,1448.723905
-4,471,1452.679996
2,662,1456.987472
2,738,1461.496069
2,672,1465.696504
3,624,1469.475298
1,763,1473.723741
3,563,1477.88212
3,559,1482.15573
1,764,1486.736722
2,700,1491.282927
-1,746,1495.374269
-1,734,1499.353112
-3,581,1503.217462
2,698,1507.147947
3,588,1511.237411
-1,706,1515.987007
3,608,1519.870984
-4,489,1523.805973
3,560,1527.962628
3,630,1531.986257
2,688,1535.770353
-2,722,1540.605475
-1,672,1545.168727
-3,627,1549.361984
-5,385,1552.945634
-4,498,1556.67064
-3,582,1560.388016
-2,639,1564.472354
4,476,1568.110851
-2,707,1572.178917
2,642,1576.601627
-1,756,1580.941368
-3,553,1584.945275
1,795,1606.629948
3,626,1610.789149
-4,473,1614.673277
4,555,1618.648078
-2,686,1623.465543
1,730,1627.594012
2,775,1631.981175
-3,607,1636.420906
2,707,1641.676803
-3,560,1645.504109
1,734,1650.597139
-3,596,1654.786563
2,630,1659.240013
-3,554,1663.182269
4,489,1666.915472
1,774,1671.685133
1,718,1675.944718
-1,751,1680.221194
-1,812,1684.623017
-1,721,1688.974331
4,531,1692.679636
-2,630,1696.697663
4,487,1700.962415
2,671,1705.131374
-4,464,1708.818692
-1,784,1712.903564
2,676,1717.047304
2,654,1720.919335
-2,635,1725.397152
-3,529,1728.993796
2,633,1732.996648
-3,588,1737.111958
3,604,1740.889304
1,886,1745.04533
2,663,1749.378553
-2,618,1753.126102
-2,713,1757.278724
1,774,1761.560946
-4,517,1765.286855
-1,705,1769.378902
-3,608,1773.437517
1,744,1777.388742
-1,720,1781.477814
-1,716,1785.371068
4,505,1789.063012
4,504,1792.821449
-3,614,1796.660658
3,579,1800.592538
4,475,1804.05871
-3,633,1807.78975
2,651,1812.32169
-2,677,1816.255411
-2,650,1820.146835
3,539,1823.918117
1,741,1827.864246
-2,639,1831.762002
4,483,1835.397405
-4,477,1839.020045
-1,724,1842.999633
1,757,1847.078824
-1,702,1851.529197
2,688,1855.411916
4,517,1859.073965
3,568,1862.790352
3,643,1866.5242
3,534,1870.179
-4,503,1873.697056
-2,593,1877.531754
2,649,1881.42782
-1,683,1885.533666
3,596,1890.380086
4,576,1895.008085
-1,695,1899.082351
-2,670,1903.011937
-3,553,1906.816221
-2,655,1910.48687
-2,720,1914.159583
3,595,1917.757881
-4,534,1921.305597
-5,434,1924.620258
1,863,1928.572408
-2,622,1932.147614
3,618,1938.576095
2,701,1942.297453
-4,474,1966.062206
-3,613,1969.783193
-1,723,1973.626626
-3,613,1977.303014
5,387,1980.706379
2,796,1984.73028
3,607,1988.464121
2,666,1992.333365
-3,563,1995.925529
-1,769,1999.831516
2,682,2003.611478
1,765,2007.50298
-1,787,2011.418249
-2,656,2015.15634
-1,751,2018.985906
-5,404,2022.333907
3,644,2026.016695
3,539,2029.522078
3,574,2033.090875
-3,589,2036.751477
-1,750,2040.578908
3,645,2044.213228
4,488,2047.632961
4,505,2051.061192
-2,682,2054.756906
2,612,2058.478021
1,789,2062.335824
-2,632,2065.948388
3,609,2069.553125
-1,703,2073.3556
5,403,2076.736263
2,636,2080.465004
1,709,2084.309124
2,731,2088.186007
2,672,2091.875861
-1,859,2095.813683
1,805,2099.66991
-3,569,2103.215407
1,819,2107.13289
-4,503,2110.641078
1,747,2114.532925
3,551,2118.037997
-3,544,2121.536157
-2,794,2125.392421
4,550,2128.915398
3,559,2132.450009
5,451,2135.835391
-1,826,2139.744672
2,594,2143.34078
-1,740,2147.145201
-1,709,2150.93829
-3,569,2154.526875
-1,865,2158.624401
-3,558,2162.160173
-3,596,2165.77685
-1,783,2169.673944
3,576,2173.32777
-2,707,2177.209043
-1,774,2181.13166
-3,565,2184.782776
4,593,2188.448511
-2,730,2192.325952
2,689,2196.074259
4,483,2199.496586
2,670,2203.173299
2,696,2206.879489
2,617,2210.491893
2,602,2214.212744
2,658,2217.869006
-3,646,2221.538762
-4,479,2224.989625
4,516,2228.498441
-5,444,2231.879312
1,772,2235.750437
-3,522,2239.247601
1,732,2243.045
-5,374,2246.365884
-4,432,2249.775642
2,721,2253.61656
1,675,2257.378092
-1,802,2261.337738
2,707,2265.166069
-3,568,2268.791069
1,776,2272.736615
5,457,2276.196815
3,623,2279.916453
-3,625,2283.645081
-2,688,2287.454775
1,759,2291.350536
2,687,2295.067396
2,616,2298.666971
-2,707,2328.500875
3,644,2332.449714
-3,738,2336.398697
4,470,2339.99697
5,391,2343.442545
4,467,2346.989029
-3,593,2350.738033
-1,766,2354.789223
1,723,2358.71249
1,691,2362.691606
1,785,2367.385212
2,663,2371.544091
3,554,2375.410261
-1,947,2379.99164
-2,720,2384.214718
2,703,2388.225814
2,754,2392.233916
-4,491,2395.780938
-5,468,2399.272902
-3,683,2403.370622
-5,416,2406.901117
2,767,2410.828002
4,491,2414.594805
-4,474,2418.922094
3,628,2423.455528
-1,870,2428.16598
2,701,2432.003781
-2,784,2436.214862
-1,824,2440.294535
-2,692,2444.245048
-1,827,2448.74344
2,718,2452.961572
3,543,2456.811295
1,773,2460.934605
5,400,2464.670597
1,807,2469.693819
1,851,2474.000941
1,754,2477.967817
-3,639,2481.870795
-5,473,2485.386478
1,763,2490.026914
2,695,2494.059359
3,569,2497.775183
1,915,2502.474214
-4,487,2506.40102
-4,516,2510.136838
5,386,2513.859537
1,761,2518.140994
-2,638,2522.158601
1,703,2526.221631
1,805,2530.871116
4,469,2534.515279
-5,411,2538.063594
-3,634,2542.494885
-2,658,2546.601186
2,778,2551.496575
2,629,2555.502258
-4,476,2559.088066
-3,643,2563.023289
1,744,2566.977457
-2,788,2570.971014
-1,717,2575.284896
-4,536,2579.362005
-4,549,2583.656766
5,415,2587.315733
-2,683,2591.045639
3,584,2595.047235
-1,885,2600.626446
2,747,2604.52914
-4,619,2608.295314
4,455,2611.965482
2,628,2615.73235
3,569,2619.403158
-1,748,2623.416291
-4,545,2627.032829
2,698,2631.032606
4,492,2634.911157
2,634,2639.053923
1,705,2643.262482
3,559,2647.258432
1,703,2651.503856
1,702,2655.341108
-2,666,2659.930993
1,751,2664.105932
3,631,2668.081727
1,752,2672.482603
2,678,2676.553825
-4,483,2680.829103
-1,728,2684.863527
-2,652,2689.036064
2,830,2693.610045
2,706,2697.767985
