#{"t_start": 1603272153.6356466, "env_id": null}
r,l,t
4,500,2.934801
-1,729,4.282011
-1,771,5.701933
-4,500,6.627002
3,661,7.876829
4,489,8.754484
2,653,9.973888
2,610,11.136389
-2,675,12.340085
3,630,13.539879
1,742,14.920076
2,669,16.230037
-1,777,17.684936
1,728,19.02382
-1,734,20.429107
-1,703,21.727352
1,723,23.069084
3,546,24.069339
3,576,25.12498
1,798,26.603872
-2,688,27.867761
-1,760,29.255589
-2,626,30.397482
-3,574,31.472629
-1,747,32.879958
-5,386,33.599476
3,600,34.684219
-2,640,35.837596
1,697,37.130536
-4,491,38.03809
1,765,39.410038
2,665,40.670824
1,739,42.045132
-3,711,43.40136
-2,652,44.610442
3,555,45.628888
5,411,46.401792
3,586,47.537598
-1,702,48.846051
-4,515,49.768476
-2,688,51.000462
-5,387,51.686998
4,491,52.552586
-3,609,53.659858
3,571,54.736808
1,762,56.133208
1,752,57.511918
-1,734,58.864738
-2,681,60.125502
-2,683,61.392001
3,557,62.397338
3,564,63.507087
2,727,64.867879
-3,535,65.863261
-4,548,66.86514
2,634,68.017645
2,649,69.24662
-1,855,70.869462
2,609,71.978899
-1,718,73.315801
-2,687,74.596613
4,495,75.457944
-2,664,76.681748
2,685,77.930383
-1,790,79.382512
3,567,80.440077
2,655,81.626149
5,445,82.457481
-1,818,83.978474
2,686,85.26214
-2,629,86.405436
1,725,87.75147
-2,630,88.911592
-2,704,90.260791
-3,662,91.496197
3,662,92.691442
-3,552,93.692435
-5,395,94.407202
3,606,95.520721
-1,953,97.300215
-1,750,98.691754
-3,582,99.761093
-3,618,100.91667
-3,648,102.129993
4,463,102.998457
-4,518,103.949254
-3,706,105.282212
1,727,106.639191
2,648,107.867438
-4,494,108.775746
2,693,110.072599
-1,805,111.584134
-3,633,112.722742
-3,643,113.899549
-2,678,115.131193
1,740,116.497311
-2,641,117.657229
-2,645,118.841902
-4,505,119.771457
2,646,120.949625
-1,769,122.360202
-3,551,123.383087
5,378,124.087344
-5,468,124.959475
3,548,125.931301
-5,503,126.86504
2,675,128.092267
2,756,129.491545
3,562,130.520496
1,730,131.876685
-2,736,133.213004
-4,521,134.17284
-3,568,135.273781
-3,686,136.580815
-3,585,137.645747
-2,652,138.86685
2,634,139.980116
1,758,141.383006
2,723,142.686983
3,647,143.884277
2,614,145.010655
3,598,146.094187
3,578,147.15445
2,749,148.497594
-1,698,149.774989
-5,502,150.729463
-3,587,151.812687
4,541,152.787809
1,746,154.179863
-4,495,155.13466
3,555,156.171714
-3,650,157.403919
-5,419,158.163556
-2,719,159.496696
5,429,160.296
1,856,161.93392
-4,515,162.862299
-1,769,164.292256
-2,746,165.690662
2,629,166.845771
1,832,168.380621
4,462,169.226812
-4,473,170.119024
1,715,171.384678
-4,473,172.274485
4,518,173.174732
-5,398,173.901448
3,578,174.97401
-2,689,176.206166
-4,479,177.070089
5,379,177.779273
4,491,178.722587
3,613,179.873752
-2,669,181.110993
-1,858,182.673987
-2,784,184.099867
-4,530,185.079177
-4,505,186.008198
1,692,187.238651
-1,776,188.634972
1,717,189.922152
-3,574,190.989217
-4,488,191.893605
4,455,192.674942
2,691,193.927702
2,691,195.189805
4,467,196.021318
1,717,197.322227
1,716,198.612907
-1,717,199.915275
-5,415,200.663359
-4,611,201.789847
-2,720,203.082951
2,626,204.273906
4,525,205.255907
1,744,206.654541
-4,546,207.662881
-1,698,208.934169
-2,637,210.097352
5,417,210.832817
-4,524,211.784233
-2,646,212.948995
2,695,214.264172
-3,647,215.443748
2,738,216.798141
-4,480,217.68745
3,542,218.668623
-2,657,219.886779
-2,662,221.052759
3,579,222.137959
4,475,223.016635
2,658,224.212088
-2,620,225.363273
-1,730,226.659842
5,377,227.356634
-2,685,228.641566
-4,472,229.527755
1,777,230.946514
3,596,232.026593
-2,677,233.242139
2,608,234.348576
-3,581,235.374419
1,773,236.791608
4,494,237.688296
3,626,238.84771
-2,717,240.134239
-1,753,241.529117
-1,715,242.821466
-3,556,243.794053
-3,629,244.935879
-1,748,246.302717
1,816,247.776938
2,646,248.916418
-3,586,249.992452
-3,614,251.095883
-2,678,252.353307
4,483,253.240486
1,736,254.571817
1,714,255.842188
-1,842,257.423104
2,684,258.702282
2,639,259.90355
4,675,261.135661
2,730,262.476611
3,564,263.49161
2,683,264.720228
-4,509,265.661975
-4,471,266.497938
3,564,267.500712
2,682,268.774033
3,640,269.951299
1,702,271.234889
-4,520,272.208856
-1,856,273.796254
-2,660,275.048393
2,676,276.314843
-3,568,277.323921
1,774,278.756268
3,586,279.866269
2,780,281.263351
-2,658,282.506956
1,884,284.208053
-2,666,285.434228
-1,831,286.933958
-5,377,287.626569
3,548,288.639634
-1,712,289.923846
4,505,290.835082
2,637,292.023342
-4,551,293.03896
-3,617,294.111708
1,711,295.408988
-2,628,296.605521
-3,542,297.590515
2,633,298.797279
-1,878,300.448159
-2,659,301.685546
-1,738,303.057321
1,718,304.34321
3,739,305.668789
-2,629,306.823117
-1,785,308.280894
-4,504,309.18188
4,499,310.103078
3,598,311.194701
2,680,312.464294
-1,741,313.864684
-2,632,315.056776
2,655,316.268487
-4,480,317.142715
-3,611,318.235379
-1,839,319.740923
3,647,320.89509
-4,482,321.799459
1,790,323.233287
4,458,324.129543
5,465,324.985514
3,556,326.006
4,540,326.999273
-3,630,328.149895
-2,674,329.394113
5,386,330.083007
3,613,331.224692
5,399,331.939227
-2,697,333.222707
2,669,334.434645
-2,702,335.755819
-1,749,337.122655
-3,570,338.150801
-1,849,339.707595
-1,754,341.09665
-4,524,342.063804
-5,440,342.853455
-2,681,344.079001
-3,644,345.292996
-5,385,345.999025
1,673,347.236849
-4,549,348.232232
-2,693,349.477977
-3,559,350.474735
1,774,351.917387
-1,715,353.242293
-2,671,354.504908
-2,707,355.741332
-2,681,356.966498
1,730,358.327442
-2,677,359.524571
-4,487,360.373146
-1,781,361.818227
1,716,363.118262
2,667,364.336727
-2,694,365.613646
-2,670,366.875292
1,744,368.220772
4,540,369.183266
-4,460,370.011004
-1,778,371.412642
-5,445,372.215817
4,592,373.259785
3,621,374.374318
3,643,375.534497
3,610,376.662912
2,601,377.782761
2,662,378.976157
4,563,380.033474
-3,546,381.058761
3,618,382.164405
2,674,383.409083
-2,732,384.773144
3,522,385.679174
-5,502,386.614848
4,579,387.704108
-2,656,388.968682
-3,639,390.141627
1,738,391.499852
-3,727,392.803762
-1,758,394.184612
-3,616,395.302821
-2,674,396.530402
-3,620,397.671183
-3,603,398.757774
-3,540,399.754085
3,561,400.778865
5,401,401.53493
1,778,402.97816
3,556,403.949342
3,550,404.966577
-2,681,406.241106
1,714,407.617279
4,490,408.518462
2,634,409.659227
-1,815,411.192399
1,708,412.524628
2,668,413.7676
2,632,414.880058
-3,573,415.94963
-2,762,417.381862
2,621,418.511226
-2,666,419.727916
-2,738,421.111148
-5,486,421.996086
1,799,423.466356
4,471,424.332509
4,478,425.229696
2,683,426.44087
1,726,427.768314
-3,660,428.954027
4,493,429.847382
1,802,431.32263
3,603,432.454638
3,577,433.506017
1,761,434.921432
2,730,436.280961
5,405,437.000776
-1,775,438.409363
3,556,439.404057
-4,525,440.325967
5,418,441.087021
-4,509,442.007136
1,838,443.590598
1,824,445.085318
4,517,446.052702
-3,638,447.292353
-3,579,448.356872
3,605,449.472692
-1,836,450.975256
1,746,452.33945
-1,707,453.667461
-2,673,454.867135
3,534,455.856858
2,654,457.01174
-2,669,458.256549
1,740,459.572455
1,758,460.99142
1,746,462.377742
2,723,463.689417
3,554,464.678646
3,592,465.743839
-3,582,466.837593
-1,686,468.089088
-1,743,469.402702
4,556,470.398268
3,598,471.535717
-2,699,472.794428
1,718,474.105921
3,554,475.100502
1,705,476.371276
2,667,477.562746
-3,596,478.662164
2,659,479.876494
-1,778,481.275167
-3,614,482.396531
2,681,483.602532
-1,711,484.891963
-5,398,485.612792
-1,829,487.118917
-3,555,488.137836
-4,473,488.993434
-1,779,490.420165
1,862,491.966921
-3,601,493.066194
-2,680,494.310407
1,740,495.642534
3,596,496.718026
1,749,498.075612
-2,681,499.308537
3,603,500.427669
-3,573,501.50164
3,539,502.476108
-3,603,503.564368
-4,495,504.438527
-3,561,505.464583
-2,657,506.658326
-1,789,508.090791
2,776,509.508652
4,477,510.36878
2,733,511.726912
-5,507,512.655424
-2,700,513.942166
-2,644,515.075922
4,517,516.053272
3,607,517.183885
4,499,518.075637
1,717,519.415142
-1,818,520.898838
-1,705,522.16636
-4,517,523.110857
1,795,524.53367
-5,391,525.258517
-4,551,526.284243
3,571,527.298231
4,541,528.286977
-3,554,529.321387
3,554,530.322977
-4,499,531.222453
-1,817,532.728425
-1,727,534.072007
3,546,535.034301
-2,667,536.234916
-4,494,537.169792
-3,634,538.29021
-1,729,539.666498
4,534,540.61182
-4,543,541.590127
3,617,542.710828
-3,624,543.829597
-3,549,544.844223
3,567,545.917897
1,788,547.353377
-2,695,548.594778
1,727,549.919455
1,751,551.308774
-2,700,552.646475
2,656,553.828923
-1,812,555.311406
-1,799,556.826875
-2,733,558.165981
1,745,559.559094
-3,618,560.648759
2,607,561.775795
-5,540,562.733651
2,676,563.928367
2,644,565.10833
-1,864,566.665602
1,777,568.151084
-1,765,569.498174
-4,538,570.472312
-5,435,571.274198
-1,810,572.736026
2,683,573.969162
-2,658,575.14608
1,721,576.467384
1,796,577.93691
-2,777,579.352759
-2,667,580.567857
1,766,581.916573
5,465,582.76341
-3,549,583.756484
1,707,585.045252
5,401,585.79714
-1,746,587.185311
4,501,588.083413
-2,676,589.318639
2,682,590.529592
-2,764,591.970501
2,673,593.205202
2,682,594.461435
-4,490,595.338844
