#{"t_start": 1603190452.914524, "env_id": null}
r,l,t
4,485,1.406111
2,665,2.086054
-2,693,2.793018
-3,575,3.378442
3,655,4.047252
3,573,4.631505
2,698,5.344586
2,610,5.96696
1,760,6.743712
2,642,7.401205
-1,781,8.195889
2,635,8.843707
-3,635,9.495676
-3,586,10.094865
2,643,10.752682
-5,401,11.162142
1,811,11.990841
2,696,12.702903
3,541,13.256996
4,501,13.772527
2,623,14.410577
-1,767,15.197123
-2,675,15.887879
-5,405,16.300561
-4,662,16.975788
4,486,17.472018
-1,716,18.202466
-1,811,19.034121
-3,673,19.721978
-2,623,20.357728
-1,680,21.050922
3,560,21.623375
4,552,22.186094
2,660,22.859192
-3,559,23.429855
-2,643,24.085432
-5,471,24.566073
2,690,25.267213
4,489,25.76546
-2,665,26.442033
-1,766,27.223767
1,767,28.004269
-4,486,28.499559
2,623,29.133627
-2,626,29.770105
3,623,30.407381
-1,741,31.161485
3,655,31.830108
-1,729,32.573963
-2,637,33.220538
-2,637,33.870931
3,571,34.452927
3,539,35.003949
4,487,35.501569
-2,635,36.146592
-4,491,36.647504
2,696,37.354366
2,747,38.116484
-1,758,38.889227
-2,637,39.540111
-1,788,40.338536
-1,757,41.111083
4,475,41.594087
-3,558,42.162323
2,707,42.881447
1,764,43.661865
4,466,44.135902
4,460,44.605211
3,663,45.280967
1,837,46.13495
-1,777,46.927701
-1,730,47.669181
1,762,48.445036
-2,636,49.094426
-1,896,50.010211
-4,537,50.558548
-1,898,51.473903
-3,564,52.048868
-5,395,52.4519
5,474,52.934918
-1,819,53.768762
-1,741,54.524626
-3,566,55.102098
-3,581,55.693677
-3,593,56.305103
4,592,56.910096
-4,602,57.522556
1,721,58.257976
2,679,58.950462
-1,749,59.714347
1,749,60.476319
1,702,61.190869
-4,479,61.678796
-2,670,62.362442
-3,576,62.949387
1,725,63.687966
3,612,64.312284
-4,534,64.856543
-3,618,65.487247
-4,576,66.072638
2,646,66.732984
2,699,67.444889
1,741,68.201891
-1,723,68.938206
4,511,69.460159
-3,688,70.162969
2,633,70.809721
2,633,71.453039
3,562,72.024653
1,764,72.802969
-1,781,73.600566
-5,491,74.100291
-1,714,74.824709
-2,700,75.537911
-2,693,76.242662
-2,609,76.862437
-1,758,77.635943
3,565,78.209493
3,570,78.790063
4,485,79.284651
1,805,80.103935
2,747,80.862535
