EpisodesSoFar,loss_kl,EpThisIter,TimestepsSoFar,loss_pol_entpen,loss_vf_loss,ev_tdlam_before,TimeElapsed,loss_ent,loss_pol_surr,EpRewMean,EpLenMean
0,0.0017425995,0,256,-0.02077717,0.01956901,-0.5724225044250488,2.754138231277466,2.0777173,-0.010139149,,
0,0.0022173524,0,512,-0.020730596,0.022549603,0.4560948610305786,3.385845899581909,2.0730598,-0.00890037,,
0,0.0007767286,0,768,-0.020698145,0.023476705,0.4425601363182068,3.9926514625549316,2.0698147,-0.0026695281,,
1,0.0014137663,1,1024,-0.02065903,0.022697259,0.6355494260787964,7.03227686882019,2.065903,-0.00619781,-5.0,827.0
1,0.0019290252,0,1280,-0.020615235,0.052650142,0.23480767011642456,7.646287441253662,2.0615234,-0.0045875544,-5.0,827.0
1,0.0022926796,0,1536,-0.020622462,0.02560272,0.6125151813030243,8.257286787033081,2.0622463,-0.008008132,-5.0,827.0
2,0.002278977,1,1792,-0.020651069,0.018256823,0.6321817934513092,8.88132095336914,2.0651069,-0.009625158,-5.0,829.0
2,0.0013006851,0,2048,-0.020698026,0.041170895,0.5160634517669678,12.821877002716064,2.0698025,-0.003873583,-5.0,829.0
2,0.00017821323,0,2304,-0.020718578,0.016837144,0.7430444359779358,14.848331212997437,2.071858,-0.0028831027,-5.0,829.0
2,0.00066762697,0,2560,-0.02068887,0.026697004,0.7019683718681335,15.491358757019043,2.0688872,-0.0033638645,-5.0,829.0
3,0.00097517483,1,2816,-0.020671152,0.012399668,0.8368333727121353,16.188676834106445,2.0671153,-0.005596988,-5.0,854.6666666666666
