#{"t_start": 1603628782.4831948, "env_id": null}
r,l,t
4,485,3.520172
-1,779,5.477434
-1,805,6.49209
-4,461,6.975505
4,493,7.492374
2,663,8.355411
2,668,9.224378
3,524,9.775877
1,843,10.829232
-1,846,11.883542
4,477,12.384052
-3,574,13.154398
-1,838,14.215022
1,725,14.975808
-2,698,15.875632
-4,481,16.54472
3,600,17.175175
2,650,18.022057
3,542,18.591324
4,511,19.292612
2,626,19.949818
-2,709,20.856912
-1,720,21.77685
-5,418,22.214834
-5,406,22.805893
3,576,23.410479
-1,742,24.451224
-2,727,25.377526
-2,712,26.125007
-2,643,26.976777
-1,692,27.865432
3,556,28.448425
3,601,29.241404
3,601,29.872326
-3,568,30.64699
-2,692,31.53579
-2,676,32.245929
3,615,33.068064
3,649,33.910946
1,725,34.673319
-4,535,35.413891
-1,755,36.206975
-4,469,36.862538
3,557,37.445966
-2,680,38.351362
4,493,39.061764
-1,770,39.8694
-3,594,40.691123
-3,579,41.476011
-2,724,42.23425
-2,640,43.081591
1,747,44.040867
4,473,44.536074
3,589,45.330518
-3,562,45.91941
-4,467,46.575091
2,683,47.290864
2,700,48.20169
4,519,48.745937
-4,496,49.428936
3,625,50.261072
-1,718,51.014789
-2,611,51.817845
4,492,52.332792
-3,727,53.272805
2,750,54.222785
1,764,55.18864
4,489,55.70417
4,497,56.402567
3,652,57.086695
1,745,58.043593
-1,730,58.974961
-1,736,59.748249
1,790,60.755044
-2,669,61.636647
-1,892,62.747278
-4,538,63.311876
3,713,64.331043
-3,621,64.981661
-5,395,65.599361
3,605,66.23393
-3,632,67.072151
-2,648,67.926922
-1,784,68.748156
-2,745,69.704073
-3,620,70.530516
4,463,71.01621
-4,518,71.735277
-3,553,72.314221
1,696,73.331941
2,670,74.208834
-4,481,74.713219
2,620,75.541432
-1,764,76.34831
-3,574,77.142581
-3,613,77.965759
-2,699,78.700139
1,750,79.692282
-2,631,80.533064
-2,649,81.214679
-2,712,82.324066
3,602,83.199085
1,788,84.100804
1,760,85.264832
-4,555,86.099598
3,588,86.77213
-4,490,87.513846
1,794,88.421845
2,699,89.485217
3,562,90.370154
1,723,91.164291
-1,786,92.235491
-5,397,92.671144
-2,654,93.593728
-2,635,94.453272
-2,638,95.123604
-1,730,96.080483
-1,802,97.155387
3,563,97.747271
3,570,98.537616
3,597,99.388555
3,548,99.964933
3,598,100.77114
3,607,101.407679
2,700,102.359124
-1,735,103.387502
-5,459,103.869505
-3,617,104.804963
-1,763,105.606394
4,512,106.430561
-3,594,107.271416
3,586,107.887082
-4,541,108.644839
-1,781,109.466383
1,706,110.493648
1,790,111.527415
-4,536,112.137531
-1,817,113.18393
-2,647,114.05265
1,753,115.018398
2,652,115.702556
3,560,116.522153
-4,494,117.040433
2,625,117.874258
-4,514,118.413785
4,520,119.137108
-3,620,119.787554
5,398,120.395384
-2,693,121.302258
-4,485,121.810432
5,379,122.207337
4,490,122.896842
3,542,123.464286
-4,557,124.238605
2,789,125.256768
1,911,126.39036
-4,508,126.922318
-5,446,127.580454
-1,719,128.333338
5,398,128.939812
-2,661,129.632522
3,548,130.494551
-3,614,131.138614
-4,502,131.867763
4,455,132.345013
-3,617,133.27984
2,701,134.202451
3,536,134.763973
-1,903,135.885308
1,726,136.847353
-1,696,137.576615
-2,687,138.486241
-5,466,139.191145
-3,588,139.807935
2,673,140.687639
4,517,141.229259
2,713,142.266478
-4,451,142.73909
-1,773,143.751646
-2,637,144.596078
2,817,145.696864
-2,649,146.37751
1,754,147.357407
2,682,148.263595
1,753,149.053217
-3,590,149.957484
3,590,150.577156
-2,636,151.446723
-2,662,152.356521
2,631,153.017015
4,514,153.827053
3,580,154.434251
-2,641,155.394204
-1,753,156.467588
4,464,156.954107
-2,734,157.953317
-4,467,158.44279
2,700,159.411773
1,714,160.394167
-4,474,160.891521
2,614,161.822552
-3,597,162.448274
1,731,163.473226
4,465,164.247047
3,593,164.867717
-2,616,165.704117
-2,669,166.405287
4,508,167.195984
-5,398,167.612777
-3,566,168.493404
-1,763,169.522356
4,481,170.027402
-1,810,171.079905
3,578,171.685969
-3,531,172.526979
-3,677,173.455122
-1,805,174.300846
4,496,175.104401
2,645,176.052217
1,720,176.807854
-1,705,177.83719
2,686,178.843903
2,653,179.529881
4,500,180.340436
2,730,181.106551
2,708,182.052835
3,633,182.920895
-4,455,183.398833
-4,470,184.182149
2,674,184.890045
2,638,185.764522
3,584,186.552718
-3,581,187.164303
-3,608,187.994762
-1,760,188.795601
1,772,189.854114
-1,734,190.843655
-4,517,191.38694
1,793,192.506567
2,722,193.551197
1,737,194.582784
-3,615,195.229327
2,658,196.109943
-2,627,196.768452
1,747,197.743439
-4,467,198.520865
5,386,198.925981
-3,613,199.774132
3,563,200.36699
4,444,201.120651
-4,458,201.603782
1,706,202.630134
2,651,203.314769
3,531,204.16006
-4,520,204.705483
-2,707,205.637245
-1,715,206.673041
2,788,207.757525
1,849,208.649296
-2,645,209.612972
4,495,210.133484
3,627,210.982903
-3,519,211.797096
-2,669,212.562422
-3,642,213.523566
4,514,214.111561
5,517,214.913843
1,834,216.159559
-1,741,216.985259
-2,672,217.976477
2,761,219.065949
-4,480,219.571898
-3,655,220.550189
-1,781,221.658539
3,599,222.28947
-4,530,223.132732
1,773,224.230892
4,593,224.855386
4,481,225.6483
2,670,226.353904
2,798,227.487016
2,624,228.333432
2,736,229.108213
2,645,229.977792
4,481,230.485358
1,728,231.441262
-1,831,232.491706
-3,573,233.284405
-1,694,234.014781
-4,501,234.731459
-2,641,235.406399
-4,496,236.130489
-3,616,236.777996
-5,411,237.398165
-1,748,238.374595
-3,618,239.023764
-4,507,239.843781
1,695,240.574346
-4,515,241.293748
1,716,242.235147
-5,439,242.69621
1,713,243.636304
1,771,244.447419
-1,800,245.574924
-2,696,246.594991
1,707,247.514512
2,634,248.181701
1,745,249.169476
-3,565,249.763217
1,756,250.742165
-2,665,251.618602
-1,803,252.654467
2,684,253.374361
-3,578,254.157804
2,738,255.107433
3,624,255.762253
-4,487,256.449898
1,736,257.221805
-2,675,258.093659
1,822,259.132231
2,722,260.065789
3,636,260.734162
2,603,261.555358
2,691,262.28178
5,424,262.905637
-3,541,263.473918
2,684,264.368095
2,676,265.25349
-1,764,266.056104
4,437,266.691266
-5,388,267.099034
4,502,267.802285
-2,725,268.563167
-3,571,269.354275
1,895,270.468851
-1,745,271.495203
2,634,272.15976
-4,458,272.830546
-2,656,273.518136
-1,764,274.510172
-4,516,275.229524
-3,595,275.855633
3,558,276.617785
4,477,277.118095
2,656,278.01189
1,864,279.151218
3,522,279.698864
1,757,280.723366
-3,609,281.551475
4,475,282.048556
1,804,283.08164
-1,691,283.805067
-1,716,284.839258
-1,761,285.827402
3,610,286.465355
-3,717,287.421709
-2,700,288.386381
4,528,288.939933
-3,532,289.728304
2,715,290.697355
-5,388,291.106448
1,776,292.209266
4,471,292.70407
4,476,293.408457
2,683,294.12625
-4,527,294.869617
-2,659,295.562933
2,655,296.456425
-3,653,297.331029
3,612,297.972411
3,573,298.750562
1,748,299.809573
5,398,300.227531
2,681,301.131763
2,662,301.827004
1,720,302.758353
-4,546,303.521328
4,492,304.037494
-1,823,305.076261
2,723,306.038937
2,622,306.692371
2,641,307.554061
-4,476,308.053105
1,751,309.045587
2,634,309.997806
-5,387,310.403261
-4,466,310.892621
3,554,311.646758
-4,531,312.378497
-2,669,313.078891
1,680,313.994594
1,712,314.917761
-1,758,315.712521
-1,706,316.62845
3,605,317.440604
-2,638,318.109501
1,836,319.191209
2,741,320.144849
3,534,320.703864
-3,549,321.510368
-1,698,322.242149
-3,571,323.03158
4,509,323.742767
1,714,324.491334
-1,797,325.501687
1,709,326.435236
-3,597,327.06235
2,624,327.907049
-3,580,328.514677
1,795,329.632544
3,550,330.398051
3,636,331.064595
-2,635,331.939868
1,815,332.998399
-3,547,333.574331
2,673,334.4594
-2,631,335.342385
-3,556,335.927574
1,800,336.959799
1,861,338.04203
-2,619,338.694154
-2,646,339.659248
3,575,340.498573
3,539,341.064772
3,593,341.919519
-2,729,342.685955
2,698,343.608826
-1,728,344.658591
2,694,345.388822
-3,552,346.160097
1,728,347.128317
-4,496,347.650363
2,639,348.579139
1,706,349.323217
3,695,350.229185
3,560,351.093556
-2,741,351.873356
-4,504,352.687873
-2,662,353.575206
-3,587,354.193942
3,584,355.013636
3,538,355.579227
1,711,356.544769
-1,690,357.474005
-3,687,358.196484
-3,602,359.113793
-4,492,359.629634
-1,703,360.655228
-5,435,361.113381
2,651,362.082205
4,488,362.812601
1,774,363.626334
1,717,364.611768
-4,494,365.30845
-2,730,366.076813
-5,401,366.730691
3,546,367.305074
5,421,367.950775
-3,547,368.525436
-4,546,369.301263
-1,711,370.047425
2,731,371.017926
4,526,371.854756
-5,429,372.304957
-1,760,373.31777
-1,758,374.112933
-1,707,375.044178
1,711,375.98367
2,718,376.954338
-1,716,377.704174
4,518,378.436872
-3,602,379.068433
2,674,379.95244
-1,687,380.864605
-2,607,381.50197
-3,546,382.262326
-1,772,383.261961
2,740,384.038599
-2,640,384.899148
4,495,385.418876
-5,377,385.992301
2,676,386.700544
2,668,387.688108
-4,455,388.164564
4,537,388.984843
-3,605,389.834474
-1,854,390.728393
-5,418,391.412854
-5,405,391.837273
-1,780,392.862121
-1,810,393.901472
-1,689,394.624871
3,548,395.487669
-1,893,396.64459
-3,546,397.218583
-2,617,398.044285
1,805,399.176094
5,409,399.606574
-3,556,400.380061
1,705,401.120002
5,396,401.739228
-2,705,402.737964
4,563,403.329929
2,755,404.409369
1,723,405.169165
-2,647,406.108199
2,736,407.082911
2,667,408.000389
-4,537,408.563942
2,654,409.537979
2,676,410.246947
4,466,410.953564
4,488,411.466192
2,736,412.41632
-4,473,412.914617
-1,732,413.875079
-2,625,414.79127
-4,477,415.292457
3,634,416.217156
-4,460,416.699337
-2,663,417.587585
3,615,418.424466
-1,810,419.276125
1,821,420.409289
1,765,421.401639
-1,753,422.436669
2,641,423.111108
-2,696,424.033269
4,532,424.591928
4,483,425.302528
-3,615,426.125248
3,588,426.74329
2,619,427.597464
1,716,428.348776
-4,492,429.11201
-4,510,429.647731
5,393,430.264332
2,652,430.950589
1,812,432.007012
3,531,432.76687
3,629,433.429326
3,550,434.182367
-2,677,435.179793
-1,738,435.954558
3,547,436.745765
5,392,437.158606
-5,403,437.773551
-1,764,438.576479
-1,746,439.557302
1,833,440.706805
-1,734,441.746169
-3,549,442.376133
-4,521,443.168396
2,670,443.934406
-3,535,444.75708
-2,684,445.54186
2,651,446.580769
-4,488,447.432151
-1,711,448.246433
-5,389,448.901392
-2,636,449.629836
1,746,450.690958
1,785,451.813823
3,583,452.426531
2,681,453.414749
-1,717,454.358847
3,586,454.974644
1,788,456.00448
-1,729,457.053876
2,803,458.184282
2,647,458.865277
2,629,459.736096
-4,490,460.250602
-3,540,461.008933
4,467,461.498269
3,585,462.329278
3,635,462.995609
1,721,463.941316
-4,489,464.741042
3,518,465.284281
3,584,466.086669
1,869,467.215587
-2,741,467.992849
-2,583,468.841141
-2,648,469.52107
-5,387,470.133443
-4,482,470.639376
-4,458,471.296414
-3,532,471.853271
2,636,472.724923
-1,722,473.770112
2,640,474.441111
-3,656,475.414769
-3,631,476.077156
-4,535,476.828669
5,429,477.279883
-1,730,478.290236
4,560,479.164698
5,426,479.612463
-1,719,480.656071
3,546,481.231706
2,677,482.191149
-5,458,482.672946
3,579,483.470545
-3,540,484.32761
1,711,485.074724
-2,646,485.96906
2,615,486.614376
-3,634,487.566116
4,535,488.345261
-2,648,489.025585
1,729,490.022146
-2,715,491.059008
1,719,491.813041
1,743,492.823644
4,481,493.61579
-2,643,494.291171
3,570,495.175219
2,629,495.83711
-4,464,496.514019
-1,724,497.274892
-3,557,498.103555
1,750,499.083492
-2,635,499.75036
2,741,500.812825
2,636,501.699074
-3,618,502.349154
1,728,503.397199
-3,593,504.30144
-1,702,505.038832
-2,652,506.010377
-2,621,506.878638
3,572,507.47864
-3,557,508.348413
-3,628,509.006355
-4,524,509.840799
-1,742,510.908149
5,387,511.323768
-4,474,511.82231
-2,673,512.733508
4,504,513.465655
4,450,513.937997
-3,567,514.533195
3,599,515.44771
4,473,516.234236
-3,728,516.998364
2,694,518.013544
-2,658,518.881916
-1,698,519.614077
3,556,520.389107
-1,806,521.451669
1,714,522.201454
1,762,523.289243
-3,582,524.188233
2,728,524.951486
-2,608,525.777513
-2,655,526.69636
2,639,527.366996
4,476,528.152207
1,740,528.929034
4,468,529.705961
5,426,530.153569
-5,377,530.83809
-3,511,531.374447
2,675,532.273243
-1,682,532.989064
3,570,533.872115
3,651,534.841404
-2,616,535.487788
-2,668,536.475014
-3,553,537.055893
-2,655,537.948676
-2,638,538.909155
-1,713,539.656307
-4,489,540.374359
-5,391,540.784409
3,653,541.758404
4,613,542.403684
3,556,543.275637
3,683,544.28114
-3,549,544.859334
-4,536,545.710346
-4,505,546.241725
3,551,547.109172
1,726,547.872505
3,608,548.79679
1,729,549.780779
-2,687,550.50225
-1,733,551.504087
-1,712,552.468943
4,463,552.955613
-3,592,553.784062
3,627,554.444098
-5,430,555.089044
-2,634,555.960254
-1,720,556.717566
-5,374,557.382878
4,611,558.025395
2,621,558.89506
