EpThisIter,EpRewMean,entropy,EpisodesSoFar,TimestepsSoFar,entloss,surrgain,meankl,optimgain,EpLenMean,TimeElapsed,explained_variance_tdlam_before
1,2.3999999999998867,1.7585583,1,1024,0.16174082,0.07700123,0.032601774,0.23874205,740.0,0.9627535343170166,-9.57575511932373
1,-0.9499999999999977,1.7480443,1,1024,0.11815235,0.06090474,0.044703696,0.17905709,405.0,0.8912487030029297,-2.8934736251831055
1,0.5700000000000041,1.7501497,1,1024,0.05395052,0.07731389,0.042293,0.13126442,557.0,0.8811061382293701,-2.859184741973877
2,-0.10499999999999776,1.7773612,2,1024,0.0531394,0.056943208,0.01427649,0.11008261,489.5,0.8619956970214844,-2.365572214126587
1,1.0300000000000036,1.7816348,1,1024,0.15651304,0.04135915,0.010277005,0.19787219,603.0,0.9092531204223633,-0.6413275003433228
1,3.0699999999998884,1.7345517,1,1024,0.09034547,0.09518139,0.056236498,0.18552686,807.0,0.864220142364502,-1.3270025253295898
2,-0.5849999999999975,1.741308,2,1024,0.10131956,0.0859309,0.051027372,0.18725047,441.5,0.9037814140319824,-1.811936378479004
1,0.47000000000000397,1.7411253,1,1024,0.08577757,0.09425266,0.051953226,0.18003023,547.0,0.8569996356964111,-0.5867161750793457
1,-0.13999999999999602,1.7393556,1,1024,0.09143833,0.08681296,0.054030243,0.1782513,486.0,0.8570857048034668,-0.40236151218414307
1,1.3599999999999974,1.7457091,1,1024,0.09139938,0.078202486,0.046448544,0.16960186,636.0,0.8649992942810059,-2.7413270473480225
1,0.4100000000000039,1.735671,1,1024,0.09650435,0.10009102,0.05720175,0.19659537,541.0,0.8606266975402832,-2.6217572689056396
2,-0.10499999999999649,1.733422,2,1024,0.08935086,0.10082306,0.058985934,0.19017392,489.5,0.8835248947143555,-0.5907268524169922
1,1.130000000000002,1.7309424,1,1024,0.12614997,0.08526795,0.05982019,0.21141791,613.0,0.8602168560028076,-2.5213675498962402
1,1.0900000000000027,1.7387497,1,1024,0.08962805,0.08540073,0.05265644,0.17502877,609.0,0.8738536834716797,-4.3401031494140625
1,3.6199999999998607,1.7401917,1,1024,0.12188745,0.08914214,0.05186052,0.21102959,862.0,0.8734800815582275,-0.06234443187713623
1,2.209999999999912,1.7440137,1,1024,0.12632647,0.07254565,0.049296673,0.19887212,721.0,0.8779547214508057,-3.0582237243652344
1,0.5900000000000034,1.7417947,1,1024,0.11495012,0.074666575,0.050683014,0.1896167,559.0,0.9126389026641846,-0.27931761741638184
2,-0.14499999999999702,1.7438805,2,1024,0.13616535,0.083701454,0.050907593,0.21986681,485.5,0.899958610534668,-0.15995526313781738
1,1.1400000000000021,1.7425032,1,1024,0.092231944,0.086473346,0.05296428,0.17870529,614.0,0.8807528018951416,-1.2523107528686523
1,1.010000000000005,1.747095,1,1024,0.09527706,0.07935021,0.04527417,0.17462727,601.0,0.8930764198303223,-1.3238389492034912
